Date,ProjectID,TotalTask,StartedTask,OnGoingTask,DelayedTask,CompletedTask,WorkDay,TotalSpent,StartDate,EndDate,ActualStartDate,ActualEndDate,WeatherAssessment,Progress,Weekend,DayCount,Delay
2019-02-18,27,119,4,1,1,3,30,4247.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,2.5210084033613445,0,20,372
2019-02-19,27,119,4,1,1,3,31,4247.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,2.5210084033613445,0,21,372
2019-02-20,27,119,5,2,1,3,31,4247.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,2.5210084033613445,0,22,372
2019-02-21,27,119,5,2,1,3,32,4247.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,2.5210084033613445,0,23,372
2019-02-22,27,119,6,2,1,4,34,4770.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,3.361344537815126,0,24,372
2019-02-23,27,119,7,2,1,5,35,5583.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,4.201680672268908,1,25,372
2019-02-24,27,119,7,2,1,5,36,5583.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,4.201680672268908,1,26,372
2019-02-25,27,119,7,2,1,5,36,5583.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,4.201680672268908,0,27,372
2019-02-26,27,119,7,2,1,5,36,5583.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,4.201680672268908,0,28,372
2019-02-27,27,119,7,2,2,5,38,5583.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,4.201680672268908,0,29,372
2019-02-28,27,119,7,2,2,5,38,5583.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,4.201680672268908,0,30,372
2019-03-01,27,119,7,2,2,5,40,5583.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,4.201680672268908,0,31,372
2019-03-02,27,119,7,2,2,5,41,5583.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,4.201680672268908,1,32,372
2019-03-03,27,119,7,2,2,5,41,5583.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,4.201680672268908,1,33,372
2019-03-04,27,119,7,2,2,5,41,5583.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,4.201680672268908,0,34,372
2019-03-05,27,119,7,2,2,5,41,5583.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,4.201680672268908,0,35,372
2019-03-06,27,119,7,2,2,5,41,5583.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,4.201680672268908,0,36,372
2019-03-07,27,119,8,2,2,6,44,6479.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,5.042016806722689,0,37,372
2019-03-08,27,119,8,2,2,6,44,6479.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,5.042016806722689,0,38,372
2019-03-09,27,119,8,2,2,6,44,6479.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,5.042016806722689,1,39,372
2019-03-10,27,119,8,2,2,6,44,6479.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,5.042016806722689,1,40,372
2019-03-11,27,119,8,2,2,6,44,6479.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,5.042016806722689,0,41,372
2019-03-12,27,119,8,2,2,6,45,6479.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,5.042016806722689,0,42,372
2019-03-13,27,119,8,2,2,6,46,6479.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,5.042016806722689,0,43,372
2019-03-14,27,119,8,2,2,6,46,6479.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,5.042016806722689,0,44,372
2019-03-15,27,119,8,2,2,6,46,6479.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,5.042016806722689,0,45,372
2019-03-16,27,119,8,2,2,6,46,6479.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,5.042016806722689,1,46,372
2019-03-17,27,119,8,2,2,6,46,6479.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,5.042016806722689,1,47,372
2019-03-18,27,119,8,2,2,6,46,6479.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,5.042016806722689,0,48,372
2019-03-19,27,119,8,2,2,6,46,6479.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,5.042016806722689,0,49,372
2019-03-20,27,119,8,2,2,6,46,6479.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,5.042016806722689,0,50,372
2019-03-21,27,119,8,2,2,6,46,6479.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,5.042016806722689,0,51,372
2019-03-22,27,119,8,2,2,6,46,6479.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,5.042016806722689,0,52,372
2019-03-23,27,119,8,2,2,6,46,6479.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,5.042016806722689,1,53,372
2019-03-24,27,119,8,2,2,6,46,6479.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,5.042016806722689,1,54,372
2019-03-25,27,119,8,2,2,6,46,6479.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,5.042016806722689,0,55,372
2019-03-26,27,119,9,2,2,7,48,7033.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,5.88235294117647,0,56,372
2019-03-27,27,119,10,2,2,8,49,7253.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,6.722689075630252,0,57,372
2019-03-28,27,119,10,2,2,8,50,7253.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,6.722689075630252,0,58,372
2019-03-29,27,119,10,2,2,8,52,7253.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,6.722689075630252,0,59,372
2019-03-30,27,119,10,2,2,8,52,7253.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,6.722689075630252,1,60,372
2019-03-31,27,119,10,2,2,8,52,7253.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,6.722689075630252,1,61,372
2019-04-01,27,119,11,2,2,9,54,7936.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,7.563025210084033,0,62,372
2019-04-02,27,119,11,2,2,9,56,7936.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,7.563025210084033,0,63,372
2019-04-03,27,119,11,2,2,9,58,7936.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,7.563025210084033,0,64,372
2019-04-04,27,119,11,2,2,9,60,7936.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,7.563025210084033,0,65,372
2019-04-05,27,119,11,2,2,9,62,7936.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,7.563025210084033,0,66,372
2019-04-06,27,119,12,2,2,10,64,8187.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,8.403361344537815,1,67,372
2019-04-07,27,119,12,2,2,10,64,8187.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,8.403361344537815,1,68,372
2019-04-08,27,119,12,2,2,10,66,8187.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,8.403361344537815,0,69,372
2019-04-09,27,119,12,2,2,10,66,8187.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,8.403361344537815,0,70,372
2019-04-10,27,119,13,2,2,11,68,9162.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,9.243697478991598,0,71,372
2019-04-11,27,119,13,2,2,11,69,9162.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,9.243697478991598,0,72,372
2019-04-12,27,119,13,2,2,11,71,9162.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,9.243697478991598,0,73,372
2019-04-13,27,119,13,2,2,11,72,9162.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,9.243697478991598,1,74,372
2019-04-14,27,119,13,2,2,11,72,9162.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,9.243697478991598,1,75,372
2019-04-15,27,119,13,2,2,11,74,9162.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,9.243697478991598,0,76,372
2019-04-16,27,119,14,2,2,12,76,9707.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,10.084033613445378,0,77,372
2019-04-17,27,119,14,2,2,12,76,9707.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,10.084033613445378,0,78,372
2019-04-18,27,119,15,2,2,13,78,10663.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,10.92436974789916,0,79,372
2019-04-19,27,119,15,2,2,13,78,10663.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,10.92436974789916,0,80,372
2019-04-20,27,119,15,2,2,13,78,10663.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,10.92436974789916,1,81,372
2019-04-21,27,119,16,2,2,14,80,11295.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,11.76470588235294,1,82,372
2019-04-22,27,119,16,2,2,14,81,11295.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,11.76470588235294,0,83,372
2019-04-23,4,91,1,1,0,0,1,0.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664,0.0,0,0,340
2019-04-23,8,118,2,2,0,0,2,0.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285,0.0,0,0,364
2019-04-23,27,119,16,2,2,14,82,11295.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,11.76470588235294,0,84,372
2019-04-24,4,91,1,1,0,0,2,0.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664,0.0,0,1,340
2019-04-24,8,118,2,2,0,0,3,0.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285,0.0,0,1,364
2019-04-24,27,119,16,2,2,14,83,11295.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,11.76470588235294,0,85,372
2019-04-25,4,91,1,1,0,0,3,0.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664,0.0,0,2,340
2019-04-25,8,118,2,2,0,0,4,0.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285,0.0,0,2,364
2019-04-25,27,119,17,2,2,15,86,12263.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,12.605042016806722,0,86,372
2019-04-26,4,91,1,1,0,0,4,0.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664,0.0,0,3,340
2019-04-26,8,118,2,2,0,0,6,0.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285,0.0,0,3,364
2019-04-26,27,119,18,2,2,16,88,12531.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,13.445378151260504,0,87,372
2019-04-27,4,91,1,1,0,0,4,0.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664,0.0,1,4,340
2019-04-27,8,118,2,2,0,0,8,0.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285,0.0,1,4,364
2019-04-27,27,119,18,2,2,16,90,12531.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,13.445378151260504,1,88,372
2019-04-28,4,91,1,1,0,0,4,0.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664,0.0,1,5,340
2019-04-28,8,118,2,2,0,0,8,0.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285,0.0,1,5,364
2019-04-28,27,119,19,2,2,17,92,13412.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,14.285714285714285,1,89,372
2019-04-29,4,91,1,1,0,0,5,0.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664,0.0,0,6,340
2019-04-29,8,118,2,2,0,0,9,0.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285,0.0,0,6,364
2019-04-29,27,119,20,2,2,18,95,13612.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,15.126050420168067,0,90,372
2019-04-30,4,91,2,2,0,0,7,0.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664,0.0,0,7,340
2019-04-30,8,118,2,2,0,0,10,0.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285,0.0,0,7,364
2019-04-30,27,119,21,2,2,19,98,13896.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,15.966386554621847,0,91,372
2019-05-01,4,91,2,2,0,0,9,0.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664,0.0,0,8,340
2019-05-01,8,118,2,2,0,0,12,0.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285,0.0,0,8,364
2019-05-01,27,119,21,2,2,19,98,13896.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,15.966386554621847,0,92,372
2019-05-02,4,91,2,2,0,0,11,0.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664,0.0,0,9,340
2019-05-02,8,118,2,2,0,0,14,0.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285,0.0,0,9,364
2019-05-02,27,119,21,2,2,19,98,13896.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,15.966386554621847,0,93,372
2019-05-03,4,91,2,2,0,0,13,0.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664,0.0,0,10,340
2019-05-03,8,118,2,2,0,0,16,0.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285,0.0,0,10,364
2019-05-03,27,119,21,2,2,19,99,13896.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,15.966386554621847,0,94,372
2019-05-04,4,91,2,2,0,0,13,0.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664,0.0,1,11,340
2019-05-04,8,118,2,2,0,0,17,0.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285,0.0,1,11,364
2019-05-04,27,119,21,2,2,19,99,13896.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,15.966386554621847,1,95,372
2019-05-05,4,91,2,2,1,0,13,0.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664,0.0,1,12,340
2019-05-05,8,118,2,2,1,0,17,0.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285,0.0,1,12,364
2019-05-05,27,119,21,2,2,19,99,13896.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,15.966386554621847,1,96,372
2019-05-06,4,91,2,2,1,0,15,0.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664,0.0,0,13,340
2019-05-06,8,118,2,2,1,0,18,0.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285,0.0,0,13,364
2019-05-06,27,119,22,2,2,20,101,14164.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,16.80672268907563,0,97,372
2019-05-07,4,91,2,1,0,1,17,1667.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664,1.098901098901099,0,14,340
2019-05-07,8,118,3,2,0,1,21,2448.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285,0.847457627118644,0,14,364
2019-05-07,27,119,22,2,2,20,101,14164.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,16.80672268907563,0,98,372
2019-05-08,4,91,2,1,0,1,17,1667.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664,1.098901098901099,0,15,340
2019-05-08,8,118,3,2,0,1,21,2448.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285,0.847457627118644,0,15,364
2019-05-08,27,119,23,2,2,21,104,14950.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,17.647058823529413,0,99,372
2019-05-09,4,91,3,2,1,1,19,1667.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664,1.098901098901099,0,16,340
2019-05-09,8,118,3,2,0,1,22,2448.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285,0.847457627118644,0,16,364
2019-05-09,27,119,24,2,2,22,107,15291.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,18.487394957983195,0,100,372
2019-05-10,4,91,3,1,0,2,20,3743.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664,2.197802197802198,0,17,340
2019-05-10,8,118,3,2,0,1,24,2448.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285,0.847457627118644,0,17,364
2019-05-10,27,119,24,2,2,22,107,15291.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,18.487394957983195,0,101,372
2019-05-11,4,91,4,2,0,2,20,3743.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664,2.197802197802198,1,18,340
2019-05-11,8,118,3,2,0,1,25,2448.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285,0.847457627118644,1,18,364
2019-05-11,27,119,24,2,2,22,107,15291.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,18.487394957983195,1,102,372
2019-05-12,4,91,4,2,0,2,20,3743.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664,2.197802197802198,1,19,340
2019-05-12,8,118,3,2,0,1,25,2448.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285,0.847457627118644,1,19,364
2019-05-12,27,119,24,2,2,22,107,15291.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,18.487394957983195,1,103,372
2019-05-13,4,91,4,2,0,2,20,3743.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664,2.197802197802198,0,20,340
2019-05-13,8,118,3,2,2,1,27,2448.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285,0.847457627118644,0,20,364
2019-05-13,27,119,24,2,2,22,107,15291.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,18.487394957983195,0,104,372
2019-05-14,4,91,4,2,0,2,21,3743.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664,2.197802197802198,0,21,340
2019-05-14,8,118,3,2,2,1,29,2448.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285,0.847457627118644,0,21,364
2019-05-14,27,119,24,2,2,22,107,15291.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,18.487394957983195,0,105,372
2019-05-15,4,91,4,2,1,2,23,3743.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664,2.197802197802198,0,22,340
2019-05-15,8,118,4,2,1,2,32,3249.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285,1.694915254237288,0,22,364
2019-05-15,27,119,24,2,2,22,108,15291.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,18.487394957983195,0,106,372
2019-05-16,4,91,4,2,1,2,24,3743.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664,2.197802197802198,0,23,340
2019-05-16,8,118,4,2,1,2,34,3249.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285,1.694915254237288,0,23,364
2019-05-16,27,119,24,2,2,22,109,15291.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,18.487394957983195,0,107,372
2019-05-17,4,91,4,2,1,2,25,3743.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664,2.197802197802198,0,24,340
2019-05-17,8,118,5,2,1,3,36,4088.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285,2.5423728813559325,0,24,364
2019-05-17,27,119,25,2,2,23,111,15616.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,19.327731092436977,0,108,372
2019-05-18,4,91,4,2,1,2,25,3743.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664,2.197802197802198,1,25,340
2019-05-18,8,118,5,2,1,3,37,4088.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285,2.5423728813559325,1,25,364
2019-05-18,27,119,25,2,2,23,112,15616.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,19.327731092436977,1,109,372
2019-05-19,4,91,4,2,1,2,25,3743.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664,2.197802197802198,1,26,340
2019-05-19,8,118,5,2,1,3,37,4088.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285,2.5423728813559325,1,26,364
2019-05-19,27,119,25,2,2,23,113,15616.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,19.327731092436977,1,110,372
2019-05-20,4,91,5,2,1,3,28,4574.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664,3.296703296703297,0,27,340
2019-05-20,8,118,5,2,1,3,38,4088.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285,2.5423728813559325,0,27,364
2019-05-20,27,119,25,2,2,23,115,15616.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,19.327731092436977,0,111,372
2019-05-21,4,91,5,2,1,3,29,4574.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664,3.296703296703297,0,28,340
2019-05-21,8,118,6,2,2,4,41,6941.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285,3.389830508474576,0,28,364
2019-05-21,27,119,25,2,2,23,115,15616.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,19.327731092436977,0,112,372
2019-05-22,4,91,5,2,2,3,30,4574.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664,3.296703296703297,0,29,340
2019-05-22,8,118,6,2,2,4,42,6941.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285,3.389830508474576,0,29,364
2019-05-22,27,119,25,2,2,23,116,15616.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,19.327731092436977,0,113,372
2019-05-23,4,91,5,2,2,3,32,4574.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664,3.296703296703297,0,30,340
2019-05-23,8,118,6,2,2,4,43,6941.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285,3.389830508474576,0,30,364
2019-05-23,27,119,26,2,2,24,119,16080.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,20.168067226890756,0,114,372
2019-05-24,4,91,6,2,1,4,33,5457.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664,4.395604395604396,0,31,340
2019-05-24,8,118,6,2,2,4,44,6941.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285,3.389830508474576,0,31,364
2019-05-24,27,119,26,2,2,24,120,16080.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,20.168067226890756,0,115,372
2019-05-25,4,91,6,2,1,4,33,5457.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664,4.395604395604396,1,32,340
2019-05-25,8,118,6,2,2,4,44,6941.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285,3.389830508474576,1,32,364
2019-05-25,27,119,26,2,2,24,120,16080.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,20.168067226890756,1,116,372
2019-05-26,4,91,6,2,1,4,33,5457.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664,4.395604395604396,1,33,340
2019-05-26,8,118,6,2,2,4,44,6941.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285,3.389830508474576,1,33,364
2019-05-26,27,119,26,2,2,24,120,16080.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,20.168067226890756,1,117,372
2019-05-27,4,91,6,2,2,4,34,5457.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664,4.395604395604396,0,34,340
2019-05-27,8,118,6,2,2,4,44,6941.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285,3.389830508474576,0,34,364
2019-05-27,27,119,27,2,2,25,122,17043.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,21.008403361344538,0,118,372
2019-05-28,4,91,6,2,2,4,35,5457.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664,4.395604395604396,0,35,340
