TotalTask,StartedTask,OnGoingTask,DelayedTask,CompletedTask,WorkDay,TotalSpent,WeatherAssessment,Progress,Weekend,DayCount,Delay
119.0,8.0,2.0,2.0,6.0,46.0,6479.0,50.0,5.042016806722689,1.0,46.0,372.0
119.0,8.0,2.0,2.0,6.0,46.0,6479.0,50.0,5.042016806722689,1.0,47.0,372.0
119.0,8.0,2.0,2.0,6.0,46.0,6479.0,50.0,5.042016806722689,0.0,48.0,372.0
119.0,8.0,2.0,2.0,6.0,46.0,6479.0,50.0,5.042016806722689,0.0,49.0,372.0
119.0,8.0,2.0,2.0,6.0,46.0,6479.0,50.0,5.042016806722689,0.0,50.0,372.0
119.0,8.0,2.0,2.0,6.0,46.0,6479.0,50.0,5.042016806722689,0.0,51.0,372.0
119.0,8.0,2.0,2.0,6.0,46.0,6479.0,50.0,5.042016806722689,0.0,52.0,372.0
119.0,8.0,2.0,2.0,6.0,46.0,6479.0,50.0,5.042016806722689,1.0,53.0,372.0
119.0,8.0,2.0,2.0,6.0,46.0,6479.0,50.0,5.042016806722689,1.0,54.0,372.0
119.0,8.0,2.0,2.0,6.0,46.0,6479.0,50.0,5.042016806722689,0.0,55.0,372.0
119.0,9.0,2.0,2.0,7.0,48.0,7033.0,50.0,5.88235294117647,0.0,56.0,372.0
119.0,10.0,2.0,2.0,8.0,49.0,7253.0,50.0,6.722689075630252,0.0,57.0,372.0
119.0,10.0,2.0,2.0,8.0,50.0,7253.0,50.0,6.722689075630252,0.0,58.0,372.0
119.0,10.0,2.0,2.0,8.0,52.0,7253.0,50.0,6.722689075630252,0.0,59.0,372.0
119.0,10.0,2.0,2.0,8.0,52.0,7253.0,50.0,6.722689075630252,1.0,60.0,372.0
119.0,10.0,2.0,2.0,8.0,52.0,7253.0,50.0,6.722689075630252,1.0,61.0,372.0
119.0,11.0,2.0,2.0,9.0,54.0,7936.0,50.0,7.563025210084033,0.0,62.0,372.0
119.0,11.0,2.0,2.0,9.0,56.0,7936.0,50.0,7.563025210084033,0.0,63.0,372.0
119.0,11.0,2.0,2.0,9.0,58.0,7936.0,50.0,7.563025210084033,0.0,64.0,372.0
119.0,11.0,2.0,2.0,9.0,60.0,7936.0,50.0,7.563025210084033,0.0,65.0,372.0
119.0,11.0,2.0,2.0,9.0,62.0,7936.0,50.0,7.563025210084033,0.0,66.0,372.0
119.0,12.0,2.0,2.0,10.0,64.0,8187.0,50.0,8.403361344537815,1.0,67.0,372.0
119.0,12.0,2.0,2.0,10.0,64.0,8187.0,50.0,8.403361344537815,1.0,68.0,372.0
119.0,12.0,2.0,2.0,10.0,66.0,8187.0,50.0,8.403361344537815,0.0,69.0,372.0
119.0,12.0,2.0,2.0,10.0,66.0,8187.0,50.0,8.403361344537815,0.0,70.0,372.0
119.0,13.0,2.0,2.0,11.0,68.0,9162.0,50.0,9.243697478991598,0.0,71.0,372.0
119.0,13.0,2.0,2.0,11.0,69.0,9162.0,50.0,9.243697478991598,0.0,72.0,372.0
119.0,13.0,2.0,2.0,11.0,71.0,9162.0,50.0,9.243697478991598,0.0,73.0,372.0
119.0,13.0,2.0,2.0,11.0,72.0,9162.0,50.0,9.243697478991598,1.0,74.0,372.0
119.0,13.0,2.0,2.0,11.0,72.0,9162.0,50.0,9.243697478991598,1.0,75.0,372.0
119.0,13.0,2.0,2.0,11.0,74.0,9162.0,50.0,9.243697478991598,0.0,76.0,372.0
119.0,14.0,2.0,2.0,12.0,76.0,9707.0,50.0,10.084033613445378,0.0,77.0,372.0
119.0,14.0,2.0,2.0,12.0,76.0,9707.0,50.0,10.084033613445378,0.0,78.0,372.0
119.0,15.0,2.0,2.0,13.0,78.0,10663.0,50.0,10.92436974789916,0.0,79.0,372.0
119.0,15.0,2.0,2.0,13.0,78.0,10663.0,50.0,10.92436974789916,0.0,80.0,372.0
119.0,15.0,2.0,2.0,13.0,78.0,10663.0,50.0,10.92436974789916,1.0,81.0,372.0
119.0,16.0,2.0,2.0,14.0,80.0,11295.0,50.0,11.76470588235294,1.0,82.0,372.0
119.0,16.0,2.0,2.0,14.0,81.0,11295.0,50.0,11.76470588235294,0.0,83.0,372.0
91.0,1.0,1.0,0.0,0.0,1.0,0.0,16.666666666666664,0.0,0.0,0.0,340.0
118.0,2.0,2.0,0.0,0.0,2.0,0.0,14.285714285714285,0.0,0.0,0.0,364.0
119.0,16.0,2.0,2.0,14.0,82.0,11295.0,50.0,11.76470588235294,0.0,84.0,372.0
91.0,1.0,1.0,0.0,0.0,2.0,0.0,16.666666666666664,0.0,0.0,1.0,340.0
118.0,2.0,2.0,0.0,0.0,3.0,0.0,14.285714285714285,0.0,0.0,1.0,364.0
119.0,16.0,2.0,2.0,14.0,83.0,11295.0,50.0,11.76470588235294,0.0,85.0,372.0
91.0,1.0,1.0,0.0,0.0,3.0,0.0,16.666666666666664,0.0,0.0,2.0,340.0
118.0,2.0,2.0,0.0,0.0,4.0,0.0,14.285714285714285,0.0,0.0,2.0,364.0
119.0,17.0,2.0,2.0,15.0,86.0,12263.0,50.0,12.605042016806722,0.0,86.0,372.0
91.0,1.0,1.0,0.0,0.0,4.0,0.0,16.666666666666664,0.0,0.0,3.0,340.0
118.0,2.0,2.0,0.0,0.0,6.0,0.0,14.285714285714285,0.0,0.0,3.0,364.0
119.0,18.0,2.0,2.0,16.0,88.0,12531.0,50.0,13.445378151260504,0.0,87.0,372.0
91.0,1.0,1.0,0.0,0.0,4.0,0.0,16.666666666666664,0.0,1.0,4.0,340.0
118.0,2.0,2.0,0.0,0.0,8.0,0.0,14.285714285714285,0.0,1.0,4.0,364.0
119.0,18.0,2.0,2.0,16.0,90.0,12531.0,50.0,13.445378151260504,1.0,88.0,372.0
91.0,1.0,1.0,0.0,0.0,4.0,0.0,16.666666666666664,0.0,1.0,5.0,340.0
118.0,2.0,2.0,0.0,0.0,8.0,0.0,14.285714285714285,0.0,1.0,5.0,364.0
119.0,19.0,2.0,2.0,17.0,92.0,13412.0,50.0,14.285714285714285,1.0,89.0,372.0
91.0,1.0,1.0,0.0,0.0,5.0,0.0,16.666666666666664,0.0,0.0,6.0,340.0
118.0,2.0,2.0,0.0,0.0,9.0,0.0,14.285714285714285,0.0,0.0,6.0,364.0
119.0,20.0,2.0,2.0,18.0,95.0,13612.0,50.0,15.126050420168067,0.0,90.0,372.0
91.0,2.0,2.0,0.0,0.0,7.0,0.0,16.666666666666664,0.0,0.0,7.0,340.0
118.0,2.0,2.0,0.0,0.0,10.0,0.0,14.285714285714285,0.0,0.0,7.0,364.0
119.0,21.0,2.0,2.0,19.0,98.0,13896.0,50.0,15.966386554621847,0.0,91.0,372.0
91.0,2.0,2.0,0.0,0.0,9.0,0.0,16.666666666666664,0.0,0.0,8.0,340.0
118.0,2.0,2.0,0.0,0.0,12.0,0.0,14.285714285714285,0.0,0.0,8.0,364.0
119.0,21.0,2.0,2.0,19.0,98.0,13896.0,50.0,15.966386554621847,0.0,92.0,372.0
91.0,2.0,2.0,0.0,0.0,11.0,0.0,16.666666666666664,0.0,0.0,9.0,340.0
118.0,2.0,2.0,0.0,0.0,14.0,0.0,14.285714285714285,0.0,0.0,9.0,364.0
119.0,21.0,2.0,2.0,19.0,98.0,13896.0,50.0,15.966386554621847,0.0,93.0,372.0
91.0,2.0,2.0,0.0,0.0,13.0,0.0,16.666666666666664,0.0,0.0,10.0,340.0
118.0,2.0,2.0,0.0,0.0,16.0,0.0,14.285714285714285,0.0,0.0,10.0,364.0
119.0,21.0,2.0,2.0,19.0,99.0,13896.0,50.0,15.966386554621847,0.0,94.0,372.0
91.0,2.0,2.0,0.0,0.0,13.0,0.0,16.666666666666664,0.0,1.0,11.0,340.0
118.0,2.0,2.0,0.0,0.0,17.0,0.0,14.285714285714285,0.0,1.0,11.0,364.0
119.0,21.0,2.0,2.0,19.0,99.0,13896.0,50.0,15.966386554621847,1.0,95.0,372.0
91.0,2.0,2.0,1.0,0.0,13.0,0.0,16.666666666666664,0.0,1.0,12.0,340.0
118.0,2.0,2.0,1.0,0.0,17.0,0.0,14.285714285714285,0.0,1.0,12.0,364.0
119.0,21.0,2.0,2.0,19.0,99.0,13896.0,50.0,15.966386554621847,1.0,96.0,372.0
91.0,2.0,2.0,1.0,0.0,15.0,0.0,16.666666666666664,0.0,0.0,13.0,340.0
118.0,2.0,2.0,1.0,0.0,18.0,0.0,14.285714285714285,0.0,0.0,13.0,364.0
119.0,22.0,2.0,2.0,20.0,101.0,14164.0,50.0,16.80672268907563,0.0,97.0,372.0
91.0,2.0,1.0,0.0,1.0,17.0,1667.0,16.666666666666664,1.098901098901099,0.0,14.0,340.0
118.0,3.0,2.0,0.0,1.0,21.0,2448.0,14.285714285714285,0.847457627118644,0.0,14.0,364.0
119.0,22.0,2.0,2.0,20.0,101.0,14164.0,50.0,16.80672268907563,0.0,98.0,372.0
91.0,2.0,1.0,0.0,1.0,17.0,1667.0,16.666666666666664,1.098901098901099,0.0,15.0,340.0
118.0,3.0,2.0,0.0,1.0,21.0,2448.0,14.285714285714285,0.847457627118644,0.0,15.0,364.0
119.0,23.0,2.0,2.0,21.0,104.0,14950.0,50.0,17.647058823529413,0.0,99.0,372.0
91.0,3.0,2.0,1.0,1.0,19.0,1667.0,16.666666666666664,1.098901098901099,0.0,16.0,340.0
118.0,3.0,2.0,0.0,1.0,22.0,2448.0,14.285714285714285,0.847457627118644,0.0,16.0,364.0
119.0,24.0,2.0,2.0,22.0,107.0,15291.0,50.0,18.487394957983195,0.0,100.0,372.0
91.0,3.0,1.0,0.0,2.0,20.0,3743.0,16.666666666666664,2.197802197802198,0.0,17.0,340.0
118.0,3.0,2.0,0.0,1.0,24.0,2448.0,14.285714285714285,0.847457627118644,0.0,17.0,364.0
119.0,24.0,2.0,2.0,22.0,107.0,15291.0,50.0,18.487394957983195,0.0,101.0,372.0
91.0,4.0,2.0,0.0,2.0,20.0,3743.0,16.666666666666664,2.197802197802198,1.0,18.0,340.0
118.0,3.0,2.0,0.0,1.0,25.0,2448.0,14.285714285714285,0.847457627118644,1.0,18.0,364.0
119.0,24.0,2.0,2.0,22.0,107.0,15291.0,50.0,18.487394957983195,1.0,102.0,372.0
91.0,4.0,2.0,0.0,2.0,20.0,3743.0,16.666666666666664,2.197802197802198,1.0,19.0,340.0
118.0,3.0,2.0,0.0,1.0,25.0,2448.0,14.285714285714285,0.847457627118644,1.0,19.0,364.0
119.0,24.0,2.0,2.0,22.0,107.0,15291.0,50.0,18.487394957983195,1.0,103.0,372.0
91.0,4.0,2.0,0.0,2.0,20.0,3743.0,16.666666666666664,2.197802197802198,0.0,20.0,340.0
118.0,3.0,2.0,2.0,1.0,27.0,2448.0,14.285714285714285,0.847457627118644,0.0,20.0,364.0
119.0,24.0,2.0,2.0,22.0,107.0,15291.0,50.0,18.487394957983195,0.0,104.0,372.0
91.0,4.0,2.0,0.0,2.0,21.0,3743.0,16.666666666666664,2.197802197802198,0.0,21.0,340.0
118.0,3.0,2.0,2.0,1.0,29.0,2448.0,14.285714285714285,0.847457627118644,0.0,21.0,364.0
119.0,24.0,2.0,2.0,22.0,107.0,15291.0,50.0,18.487394957983195,0.0,105.0,372.0
91.0,4.0,2.0,1.0,2.0,23.0,3743.0,16.666666666666664,2.197802197802198,0.0,22.0,340.0
118.0,4.0,2.0,1.0,2.0,32.0,3249.0,14.285714285714285,1.694915254237288,0.0,22.0,364.0
119.0,24.0,2.0,2.0,22.0,108.0,15291.0,50.0,18.487394957983195,0.0,106.0,372.0
91.0,4.0,2.0,1.0,2.0,24.0,3743.0,16.666666666666664,2.197802197802198,0.0,23.0,340.0
118.0,4.0,2.0,1.0,2.0,34.0,3249.0,14.285714285714285,1.694915254237288,0.0,23.0,364.0
119.0,24.0,2.0,2.0,22.0,109.0,15291.0,50.0,18.487394957983195,0.0,107.0,372.0
91.0,4.0,2.0,1.0,2.0,25.0,3743.0,16.666666666666664,2.197802197802198,0.0,24.0,340.0
118.0,5.0,2.0,1.0,3.0,36.0,4088.0,14.285714285714285,2.5423728813559325,0.0,24.0,364.0
119.0,25.0,2.0,2.0,23.0,111.0,15616.0,50.0,19.327731092436977,0.0,108.0,372.0
91.0,4.0,2.0,1.0,2.0,25.0,3743.0,16.666666666666664,2.197802197802198,1.0,25.0,340.0
118.0,5.0,2.0,1.0,3.0,37.0,4088.0,14.285714285714285,2.5423728813559325,1.0,25.0,364.0
119.0,25.0,2.0,2.0,23.0,112.0,15616.0,50.0,19.327731092436977,1.0,109.0,372.0
91.0,4.0,2.0,1.0,2.0,25.0,3743.0,16.666666666666664,2.197802197802198,1.0,26.0,340.0
118.0,5.0,2.0,1.0,3.0,37.0,4088.0,14.285714285714285,2.5423728813559325,1.0,26.0,364.0
119.0,25.0,2.0,2.0,23.0,113.0,15616.0,50.0,19.327731092436977,1.0,110.0,372.0
91.0,5.0,2.0,1.0,3.0,28.0,4574.0,16.666666666666664,3.296703296703297,0.0,27.0,340.0
118.0,5.0,2.0,1.0,3.0,38.0,4088.0,14.285714285714285,2.5423728813559325,0.0,27.0,364.0
119.0,25.0,2.0,2.0,23.0,115.0,15616.0,50.0,19.327731092436977,0.0,111.0,372.0
91.0,5.0,2.0,1.0,3.0,29.0,4574.0,16.666666666666664,3.296703296703297,0.0,28.0,340.0
118.0,6.0,2.0,2.0,4.0,41.0,6941.0,14.285714285714285,3.389830508474576,0.0,28.0,364.0
119.0,25.0,2.0,2.0,23.0,115.0,15616.0,50.0,19.327731092436977,0.0,112.0,372.0
91.0,5.0,2.0,2.0,3.0,30.0,4574.0,16.666666666666664,3.296703296703297,0.0,29.0,340.0
118.0,6.0,2.0,2.0,4.0,42.0,6941.0,14.285714285714285,3.389830508474576,0.0,29.0,364.0
119.0,25.0,2.0,2.0,23.0,116.0,15616.0,50.0,19.327731092436977,0.0,113.0,372.0
91.0,5.0,2.0,2.0,3.0,32.0,4574.0,16.666666666666664,3.296703296703297,0.0,30.0,340.0
118.0,6.0,2.0,2.0,4.0,43.0,6941.0,14.285714285714285,3.389830508474576,0.0,30.0,364.0
119.0,26.0,2.0,2.0,24.0,119.0,16080.0,50.0,20.168067226890756,0.0,114.0,372.0
91.0,6.0,2.0,1.0,4.0,33.0,5457.0,16.666666666666664,4.395604395604396,0.0,31.0,340.0
118.0,6.0,2.0,2.0,4.0,44.0,6941.0,14.285714285714285,3.389830508474576,0.0,31.0,364.0
119.0,26.0,2.0,2.0,24.0,120.0,16080.0,50.0,20.168067226890756,0.0,115.0,372.0
91.0,6.0,2.0,1.0,4.0,33.0,5457.0,16.666666666666664,4.395604395604396,1.0,32.0,340.0
118.0,6.0,2.0,2.0,4.0,44.0,6941.0,14.285714285714285,3.389830508474576,1.0,32.0,364.0
119.0,26.0,2.0,2.0,24.0,120.0,16080.0,50.0,20.168067226890756,1.0,116.0,372.0
91.0,6.0,2.0,1.0,4.0,33.0,5457.0,16.666666666666664,4.395604395604396,1.0,33.0,340.0
118.0,6.0,2.0,2.0,4.0,44.0,6941.0,14.285714285714285,3.389830508474576,1.0,33.0,364.0
119.0,26.0,2.0,2.0,24.0,120.0,16080.0,50.0,20.168067226890756,1.0,117.0,372.0
91.0,6.0,2.0,2.0,4.0,34.0,5457.0,16.666666666666664,4.395604395604396,0.0,34.0,340.0
118.0,6.0,2.0,2.0,4.0,44.0,6941.0,14.285714285714285,3.389830508474576,0.0,34.0,364.0
119.0,27.0,2.0,2.0,25.0,122.0,17043.0,50.0,21.008403361344538,0.0,118.0,372.0
91.0,6.0,2.0,2.0,4.0,35.0,5457.0,16.666666666666664,4.395604395604396,0.0,35.0,340.0
118.0,6.0,2.0,2.0,4.0,44.0,6941.0,14.285714285714285,3.389830508474576,0.0,35.0,364.0
119.0,27.0,2.0,2.0,25.0,123.0,17043.0,50.0,21.008403361344538,0.0,119.0,372.0
91.0,6.0,2.0,2.0,4.0,36.0,5457.0,16.666666666666664,4.395604395604396,0.0,36.0,340.0
118.0,6.0,2.0,2.0,4.0,44.0,6941.0,14.285714285714285,3.389830508474576,0.0,36.0,364.0
119.0,27.0,2.0,2.0,25.0,124.0,17043.0,50.0,21.008403361344538,0.0,120.0,372.0
91.0,7.0,2.0,2.0,5.0,38.0,5921.0,16.666666666666664,5.4945054945054945,0.0,37.0,340.0
118.0,7.0,2.0,2.0,5.0,45.0,7429.0,14.285714285714285,4.23728813559322,0.0,37.0,364.0
119.0,27.0,2.0,2.0,25.0,125.0,17043.0,50.0,21.008403361344538,0.0,121.0,372.0
91.0,7.0,2.0,2.0,5.0,39.0,5921.0,16.666666666666664,5.4945054945054945,0.0,38.0,340.0
118.0,7.0,2.0,2.0,5.0,46.0,7429.0,14.285714285714285,4.23728813559322,0.0,38.0,364.0
119.0,27.0,2.0,2.0,25.0,126.0,17043.0,50.0,21.008403361344538,0.0,122.0,372.0
91.0,7.0,2.0,2.0,5.0,39.0,5921.0,16.666666666666664,5.4945054945054945,1.0,39.0,340.0
118.0,7.0,2.0,2.0,5.0,46.0,7429.0,14.285714285714285,4.23728813559322,1.0,39.0,364.0
119.0,27.0,2.0,2.0,25.0,127.0,17043.0,50.0,21.008403361344538,1.0,123.0,372.0
91.0,7.0,2.0,2.0,5.0,39.0,5921.0,16.666666666666664,5.4945054945054945,1.0,40.0,340.0
118.0,7.0,2.0,2.0,5.0,46.0,7429.0,14.285714285714285,4.23728813559322,1.0,40.0,364.0
119.0,27.0,2.0,2.0,25.0,128.0,17043.0,50.0,21.008403361344538,1.0,124.0,372.0
91.0,8.0,2.0,2.0,6.0,40.0,6274.0,16.666666666666664,6.593406593406594,0.0,41.0,340.0
118.0,7.0,2.0,2.0,5.0,47.0,7429.0,14.285714285714285,4.23728813559322,0.0,41.0,364.0
119.0,27.0,2.0,2.0,25.0,128.0,17043.0,50.0,21.008403361344538,0.0,125.0,372.0
91.0,8.0,2.0,2.0,6.0,40.0,6274.0,16.666666666666664,6.593406593406594,0.0,42.0,340.0
118.0,7.0,2.0,2.0,5.0,48.0,7429.0,14.285714285714285,4.23728813559322,0.0,42.0,364.0
119.0,28.0,2.0,2.0,26.0,130.0,17930.0,50.0,21.84873949579832,0.0,126.0,372.0
91.0,8.0,2.0,2.0,6.0,42.0,6274.0,16.666666666666664,6.593406593406594,0.0,43.0,340.0
118.0,7.0,2.0,2.0,5.0,50.0,7429.0,14.285714285714285,4.23728813559322,0.0,43.0,364.0
119.0,28.0,2.0,2.0,26.0,131.0,17930.0,50.0,21.84873949579832,0.0,127.0,372.0
91.0,8.0,2.0,2.0,6.0,42.0,6274.0,16.666666666666664,6.593406593406594,0.0,44.0,340.0
118.0,7.0,2.0,2.0,5.0,52.0,7429.0,14.285714285714285,4.23728813559322,0.0,44.0,364.0
119.0,28.0,2.0,2.0,26.0,133.0,17930.0,50.0,21.84873949579832,0.0,128.0,372.0
91.0,8.0,2.0,2.0,6.0,43.0,6274.0,16.666666666666664,6.593406593406594,0.0,45.0,340.0
118.0,7.0,2.0,2.0,5.0,53.0,7429.0,14.285714285714285,4.23728813559322,0.0,45.0,364.0
119.0,28.0,2.0,2.0,26.0,133.0,17930.0,50.0,21.84873949579832,0.0,129.0,372.0
91.0,8.0,2.0,2.0,6.0,43.0,6274.0,16.666666666666664,6.593406593406594,1.0,46.0,340.0
118.0,8.0,2.0,2.0,6.0,54.0,8129.0,14.285714285714285,5.084745762711865,1.0,46.0,364.0
119.0,28.0,2.0,2.0,26.0,133.0,17930.0,50.0,21.84873949579832,1.0,130.0,372.0
91.0,8.0,2.0,2.0,6.0,43.0,6274.0,16.666666666666664,6.593406593406594,1.0,47.0,340.0
118.0,8.0,2.0,2.0,6.0,54.0,8129.0,14.285714285714285,5.084745762711865,1.0,47.0,364.0
119.0,28.0,2.0,2.0,26.0,134.0,17930.0,50.0,21.84873949579832,1.0,131.0,372.0
91.0,8.0,2.0,2.0,6.0,44.0,6274.0,16.666666666666664,6.593406593406594,0.0,48.0,340.0
118.0,8.0,2.0,2.0,6.0,55.0,8129.0,14.285714285714285,5.084745762711865,0.0,48.0,364.0
119.0,28.0,2.0,2.0,26.0,134.0,17930.0,50.0,21.84873949579832,0.0,132.0,372.0
91.0,9.0,2.0,2.0,7.0,46.0,7158.0,16.666666666666664,7.6923076923076925,0.0,49.0,340.0
118.0,9.0,2.0,2.0,7.0,58.0,8509.0,14.285714285714285,5.932203389830509,0.0,49.0,364.0
119.0,28.0,2.0,2.0,26.0,134.0,17930.0,50.0,21.84873949579832,0.0,133.0,372.0
91.0,9.0,2.0,2.0,7.0,46.0,7158.0,16.666666666666664,7.6923076923076925,0.0,50.0,340.0
118.0,9.0,2.0,2.0,7.0,58.0,8509.0,14.285714285714285,5.932203389830509,0.0,50.0,364.0
119.0,28.0,2.0,2.0,26.0,134.0,17930.0,50.0,21.84873949579832,0.0,134.0,372.0
91.0,9.0,2.0,2.0,7.0,47.0,7158.0,16.666666666666664,7.6923076923076925,0.0,51.0,340.0
118.0,9.0,2.0,2.0,7.0,59.0,8509.0,14.285714285714285,5.932203389830509,0.0,51.0,364.0
119.0,28.0,2.0,2.0,26.0,134.0,17930.0,50.0,21.84873949579832,0.0,135.0,372.0
91.0,9.0,2.0,2.0,7.0,49.0,7158.0,16.666666666666664,7.6923076923076925,0.0,52.0,340.0
118.0,10.0,2.0,2.0,8.0,62.0,8970.0,14.285714285714285,6.779661016949152,0.0,52.0,364.0
119.0,28.0,2.0,2.0,26.0,135.0,17930.0,50.0,21.84873949579832,0.0,136.0,372.0
91.0,9.0,2.0,2.0,7.0,49.0,7158.0,16.666666666666664,7.6923076923076925,1.0,53.0,340.0
118.0,10.0,2.0,2.0,8.0,62.0,8970.0,14.285714285714285,6.779661016949152,1.0,53.0,364.0
119.0,28.0,2.0,2.0,26.0,136.0,17930.0,50.0,21.84873949579832,1.0,137.0,372.0
91.0,9.0,2.0,2.0,7.0,49.0,7158.0,16.666666666666664,7.6923076923076925,1.0,54.0,340.0
118.0,10.0,2.0,2.0,8.0,62.0,8970.0,14.285714285714285,6.779661016949152,1.0,54.0,364.0
119.0,28.0,2.0,2.0,26.0,136.0,17930.0,50.0,21.84873949579832,1.0,138.0,372.0
91.0,10.0,2.0,2.0,8.0,51.0,7582.0,16.666666666666664,8.791208791208792,0.0,55.0,340.0
118.0,10.0,2.0,2.0,8.0,63.0,8970.0,14.285714285714285,6.779661016949152,0.0,55.0,364.0
119.0,29.0,2.0,2.0,27.0,139.0,18786.0,50.0,22.689075630252102,0.0,139.0,372.0
91.0,10.0,2.0,2.0,8.0,52.0,7582.0,16.666666666666664,8.791208791208792,0.0,56.0,340.0
118.0,12.0,2.0,2.0,10.0,67.0,10188.0,14.285714285714285,8.47457627118644,0.0,56.0,364.0
119.0,30.0,2.0,2.0,28.0,141.0,19005.0,50.0,23.52941176470588,0.0,140.0,372.0
108.0,1.0,1.0,0.0,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,332.0
