ID,Name,StartDate,EndDate,ParentTaskID,Cost,Priority,Progress,ProjectID,ActualStartDate,ActualEndDate,Status,Duration,AssigneeID,Trade,CreateDate,WorkerScore
22,example,2020-07-23,2020-07-27,21.0,670.00,Normal,0,1,,,Not Started,4,1,4,2024-07-09,46
23,but,2020-07-29,2020-08-01,22.0,247.00,Normal,0,1,,,Not Started,3,1,21,2024-07-09,45
24,rest,2020-07-31,2020-08-04,23.0,241.00,Normal,0,1,,,Not Started,4,1,13,2024-07-09,73
25,other,2020-08-04,2020-08-12,24.0,776.00,Normal,0,1,,,Not Started,8,1,15,2024-07-09,40
26,color,2020-08-12,2020-08-19,25.0,840.00,Normal,0,1,,,Not Started,7,1,7,2024-07-09,83
27,people,2020-08-19,2020-08-25,26.0,712.00,Normal,0,1,,,Not Started,6,1,10,2024-07-09,64
28,one,2020-08-27,2020-09-01,27.0,360.00,Normal,0,1,,,Not Started,5,1,4,2024-07-09,72
29,eight,2020-09-01,2020-09-03,28.0,553.00,Normal,0,1,,,Not Started,2,1,4,2024-07-09,69
30,any,2020-09-03,2020-09-11,29.0,716.00,Normal,0,1,,,Not Started,8,1,11,2024-07-09,71
31,whole,2020-09-12,2020-09-19,30.0,219.00,Normal,0,1,,,Not Started,7,1,4,2024-07-09,66
32,respond,2020-09-20,2020-09-22,31.0,848.00,Normal,0,1,,,Not Started,2,1,20,2024-07-09,33
33,number,2020-09-23,2020-10-12,,2613.00,Critical,0,1,,,Not Started,19,1,28,2024-07-09,60
34,medical,2020-10-14,2020-10-22,33.0,847.00,Normal,0,1,,,Not Started,8,1,9,2024-07-09,44
35,statement,2020-10-22,2020-10-26,34.0,905.00,Normal,0,1,,,Not Started,4,1,6,2024-07-09,37
36,I,2020-10-28,2020-11-01,35.0,547.00,Normal,0,1,,,Not Started,4,1,12,2024-07-09,42
37,site,2020-10-31,2020-11-06,36.0,843.00,Normal,0,1,,,Not Started,6,1,8,2024-07-09,91
38,teacher,2020-11-06,2020-11-08,37.0,784.00,Normal,0,1,,,Not Started,2,1,2,2024-07-09,89
39,spring,2020-11-09,2020-11-13,38.0,408.00,Normal,0,1,,,Not Started,4,1,12,2024-07-09,79
40,indeed,2020-11-12,2020-11-15,39.0,391.00,Normal,0,1,,,Not Started,3,1,19,2024-07-09,72
41,whether,2020-11-16,2020-11-21,40.0,632.00,Normal,0,1,,,Not Started,5,1,22,2024-07-09,80
42,human,2020-11-20,2020-11-23,41.0,970.00,Normal,0,1,,,Not Started,3,1,20,2024-07-09,80
43,family,2020-11-23,2020-11-28,42.0,403.00,Normal,0,1,,,Not Started,5,1,10,2024-07-09,50
44,speak,2020-11-28,2020-12-01,43.0,615.00,Normal,0,1,,,Not Started,3,1,9,2024-07-09,69
45,decade,2020-12-02,2020-12-05,44.0,529.00,Normal,0,1,,,Not Started,3,1,20,2024-07-09,69
46,our,2020-12-04,2020-12-08,45.0,290.00,Normal,0,1,,,Not Started,4,1,10,2024-07-09,50
47,only,2020-12-10,2020-12-16,46.0,959.00,Normal,0,1,,,Not Started,6,1,3,2024-07-09,87
48,common,2020-12-17,2020-12-22,47.0,307.00,Normal,0,1,,,Not Started,5,1,11,2024-07-09,31
49,fill,2020-12-24,2020-12-27,48.0,773.00,Normal,0,1,,,Not Started,3,1,20,2024-07-09,46
50,generation,2020-12-28,2021-01-02,49.0,748.00,Normal,0,1,,,Not Started,5,1,6,2024-07-09,51
51,use,2021-01-02,2021-01-09,50.0,404.00,Normal,0,1,,,Not Started,7,1,13,2024-07-09,48
52,back,2021-01-09,2021-01-11,51.0,633.00,Normal,0,1,,,Not Started,2,1,9,2024-07-09,40
53,get,2021-01-11,2021-01-18,52.0,226.00,Normal,0,1,,,Not Started,7,1,4,2024-07-09,64
54,maybe,2021-01-19,2021-01-24,53.0,643.00,Normal,0,1,,,Not Started,5,1,1,2024-07-09,100
55,read,2021-01-24,2021-01-29,54.0,934.00,Normal,0,1,,,Not Started,5,1,9,2024-07-09,88
56,raise,2021-01-28,2021-02-02,55.0,832.00,Normal,0,1,,,Not Started,5,1,13,2024-07-09,41
57,head,2021-02-03,2021-02-08,56.0,560.00,Normal,0,1,,,Not Started,5,1,16,2024-07-09,53
58,take,2021-02-10,2021-02-17,57.0,654.00,Normal,0,1,,,Not Started,7,1,15,2024-07-09,63
59,result,2021-02-17,2021-02-25,58.0,893.00,Normal,0,1,,,Not Started,8,1,20,2024-07-09,55
60,international,2021-02-25,2021-03-05,59.0,903.00,Normal,0,1,,,Not Started,8,1,4,2024-07-09,100
61,trouble,2021-03-05,2021-03-08,60.0,445.00,Normal,0,1,,,Not Started,3,1,19,2024-07-09,63
62,resource,2021-03-08,2021-03-12,61.0,339.00,Normal,0,1,,,Not Started,4,1,13,2024-07-09,49
63,near,2021-03-12,2021-03-15,62.0,936.00,Normal,0,1,,,Not Started,3,1,4,2024-07-09,41
64,must,2021-03-15,2021-03-20,63.0,743.00,Normal,0,1,,,Not Started,5,1,20,2024-07-09,62
65,prevent,2021-03-19,2021-03-23,64.0,786.00,Normal,0,1,,,Not Started,4,1,9,2024-07-09,39
66,dark,2021-03-25,2021-04-01,65.0,905.00,Normal,0,1,,,Not Started,7,1,18,2024-07-09,71
67,area,2021-04-03,2021-04-07,66.0,474.00,Normal,0,1,,,Not Started,4,1,11,2024-07-09,100
68,prevent,2021-04-09,2021-04-15,67.0,713.00,Normal,0,1,,,Not Started,6,1,5,2024-07-09,63
69,detail,2021-04-17,2021-04-22,68.0,479.00,Normal,0,1,,,Not Started,5,1,22,2024-07-09,37
70,several,2021-04-23,2021-04-27,69.0,574.00,Normal,0,1,,,Not Started,4,1,8,2024-07-09,50
71,throw,2021-04-29,2021-05-04,70.0,378.00,Normal,0,1,,,Not Started,5,1,3,2024-07-09,52
72,himself,2021-05-06,2021-05-09,71.0,446.00,Normal,0,1,,,Not Started,3,1,4,2024-07-09,44
73,loss,2021-05-10,2021-05-17,72.0,244.00,Normal,0,1,,,Not Started,7,1,14,2024-07-09,92
74,small,2021-05-18,2021-05-20,73.0,234.00,Normal,0,1,,,Not Started,2,1,4,2024-07-09,52
75,sell,2021-05-20,2021-05-26,74.0,369.00,Normal,0,1,,,Not Started,6,1,13,2024-07-09,42
76,you,2021-05-28,2021-06-04,75.0,359.00,Normal,0,1,,,Not Started,7,1,11,2024-07-09,30
77,commercial,2021-06-04,2021-06-12,76.0,685.00,Normal,0,1,,,Not Started,8,1,15,2024-07-09,30
78,stand,2021-06-13,2021-06-21,77.0,341.00,Normal,0,1,,,Not Started,8,1,16,2024-07-09,89
79,foot,2021-06-23,2021-06-26,78.0,998.00,Normal,0,1,,,Not Started,3,1,8,2024-07-09,43
80,push,2021-06-25,2021-07-02,79.0,410.00,Normal,0,1,,,Not Started,7,1,10,2024-07-09,61
81,establish,2021-07-03,2021-07-09,80.0,424.00,Normal,0,1,,,Not Started,6,1,1,2024-07-09,67
82,whom,2021-07-10,2021-07-14,81.0,765.00,Normal,0,1,,,Not Started,4,1,8,2024-07-09,81
83,say,2021-07-16,2021-07-23,82.0,967.00,Normal,0,1,,,Not Started,7,1,12,2024-07-09,41
84,method,2021-07-25,2021-07-27,83.0,840.00,Normal,0,1,,,Not Started,2,1,15,2024-07-09,79
85,away,2021-07-26,2021-08-01,84.0,440.00,Normal,0,1,,,Not Started,6,1,18,2024-07-09,89
86,doctor,2021-08-02,2021-08-08,85.0,296.00,Normal,0,1,,,Not Started,6,1,9,2024-07-09,84
87,four,2021-08-07,2021-08-14,86.0,480.00,Normal,0,1,,,Not Started,7,1,16,2024-07-09,92
88,high,2020-03-27,2020-04-16,,2056.00,Critical,0,1,,,Not Started,20,1,25,2024-07-09,76
89,budget,2020-04-19,2020-04-25,88.0,421.00,Normal,0,1,,,Not Started,6,1,5,2024-07-09,56
90,forward,2020-04-26,2020-05-01,89.0,877.00,Normal,0,1,,,Not Started,5,1,19,2024-07-09,33
91,house,2020-04-30,2020-05-08,90.0,599.00,Normal,0,1,,,Not Started,8,1,18,2024-07-09,58
92,drop,2020-05-08,2020-05-11,91.0,943.00,Normal,0,1,,,Not Started,3,1,13,2024-07-09,60
93,reason,2020-05-12,2020-05-20,92.0,826.00,Normal,0,1,,,Not Started,8,1,16,2024-07-09,35
94,culture,2020-05-22,2020-05-29,93.0,435.00,Normal,0,1,,,Not Started,7,1,10,2024-07-09,61
95,part,2020-05-29,2020-06-06,94.0,566.00,Normal,0,1,,,Not Started,8,1,6,2024-07-09,45
96,sort,2020-06-06,2020-06-09,95.0,352.00,Normal,0,1,,,Not Started,3,1,1,2024-07-09,66
97,light,2020-06-11,2020-06-13,96.0,467.00,Normal,0,1,,,Not Started,2,1,7,2024-07-09,71
98,level,2020-06-14,2020-06-20,97.0,330.00,Normal,0,1,,,Not Started,6,1,21,2024-07-09,85
99,professor,2020-06-21,2020-06-27,98.0,294.00,Normal,0,1,,,Not Started,6,1,2,2024-07-09,60
100,some,2020-06-27,2020-06-29,99.0,492.00,Normal,0,1,,,Not Started,2,1,4,2024-07-09,100
101,structure,2020-07-01,2020-07-08,100.0,469.00,Normal,0,1,,,Not Started,7,1,9,2024-07-09,86
102,probably,2020-07-08,2020-07-10,101.0,471.00,Normal,0,1,,,Not Started,2,1,16,2024-07-09,97
103,office,2020-07-09,2020-07-17,102.0,822.00,Normal,0,1,,,Not Started,8,1,11,2024-07-09,49
104,speech,2020-07-19,2020-07-24,103.0,594.00,Normal,0,1,,,Not Started,5,1,5,2024-07-09,95
105,claim,2020-07-24,2020-07-30,104.0,608.00,Normal,0,1,,,Not Started,6,1,12,2024-07-09,96
106,Democrat,2020-07-31,2020-08-07,105.0,517.00,Normal,0,1,,,Not Started,7,1,14,2024-07-09,38
107,term,2020-08-08,2020-08-14,106.0,428.00,Normal,0,1,,,Not Started,6,1,5,2024-07-09,43
108,relate,2020-08-16,2020-08-21,107.0,583.00,Normal,0,1,,,Not Started,5,1,17,2024-07-09,38
109,go,2020-08-20,2020-08-25,108.0,840.00,Normal,0,1,,,Not Started,5,1,12,2024-07-09,50
110,happen,2020-08-27,2020-08-29,109.0,613.00,Normal,0,1,,,Not Started,2,1,16,2024-07-09,47
111,organization,2020-08-30,2020-09-05,110.0,483.00,Normal,0,1,,,Not Started,6,1,19,2024-07-09,79
112,seem,2020-09-05,2020-09-13,111.0,894.00,Normal,0,1,,,Not Started,8,1,6,2024-07-09,77
113,bad,2020-09-16,2020-09-22,112.0,614.00,Normal,0,1,,,Not Started,6,1,20,2024-07-09,61
114,enough,2020-09-24,2020-10-01,113.0,811.00,Normal,0,1,,,Not Started,7,1,15,2024-07-09,70
115,section,2020-10-03,2020-10-08,114.0,875.00,Normal,0,1,,,Not Started,5,1,7,2024-07-09,100
116,nature,2020-10-08,2020-10-15,115.0,560.00,Normal,0,1,,,Not Started,7,1,16,2024-07-09,45
117,lay,2020-10-17,2020-10-23,116.0,774.00,Normal,0,1,,,Not Started,6,1,8,2024-07-09,37
118,since,2020-10-24,2020-10-26,117.0,453.00,Normal,0,1,,,Not Started,2,1,14,2024-07-09,71
119,college,2020-10-27,2020-11-01,118.0,569.00,Normal,0,1,,,Not Started,5,1,20,2024-07-09,82
120,them,2020-10-31,2020-11-05,119.0,354.00,Normal,0,1,,,Not Started,5,1,19,2024-07-09,74
121,media,2020-11-05,2020-11-08,120.0,824.00,Normal,0,1,,,Not Started,3,1,5,2024-07-09,41
122,officer,2020-11-07,2020-11-13,121.0,482.00,Normal,0,1,,,Not Started,6,1,18,2024-07-09,73
123,act,2020-11-14,2020-11-18,122.0,596.00,Normal,0,1,,,Not Started,4,1,16,2024-07-09,94
124,agent,2020-11-18,2020-11-23,123.0,208.00,Normal,0,1,,,Not Started,5,1,20,2024-07-09,58
125,cover,2020-11-25,2020-12-03,124.0,654.00,Normal,0,1,,,Not Started,8,1,6,2024-07-09,42
126,computer,2020-12-03,2020-12-07,125.0,670.00,Normal,0,1,,,Not Started,4,1,21,2024-07-09,34
127,law,2020-12-08,2020-12-11,126.0,600.00,Normal,0,1,,,Not Started,3,1,6,2024-07-09,73
128,own,2020-12-12,2020-12-18,127.0,697.00,Normal,0,1,,,Not Started,6,1,5,2024-07-09,84
129,his,2020-12-18,2020-12-20,128.0,500.00,Normal,0,1,,,Not Started,2,1,22,2024-07-09,65
130,professional,2020-12-20,2020-12-27,129.0,978.00,Normal,0,1,,,Not Started,7,1,1,2024-07-09,92
131,significant,2020-12-28,2021-01-05,130.0,248.00,Normal,0,1,,,Not Started,8,1,21,2024-07-09,53
132,fund,2021-01-06,2021-01-11,131.0,271.00,Normal,0,1,,,Not Started,5,1,22,2024-07-09,33
133,form,2021-01-13,2021-01-17,132.0,515.00,Normal,0,1,,,Not Started,4,1,11,2024-07-09,77
134,join,2021-01-18,2021-01-26,133.0,869.00,Normal,0,1,,,Not Started,8,1,11,2024-07-09,79
135,protect,2021-01-28,2021-02-02,134.0,257.00,Normal,0,1,,,Not Started,5,1,19,2024-07-09,93
136,able,2021-02-04,2021-02-11,135.0,315.00,Normal,0,1,,,Not Started,7,1,8,2024-07-09,84
137,partner,2021-02-13,2021-02-21,136.0,695.00,Normal,0,1,,,Not Started,8,1,9,2024-07-09,56
138,drop,2021-02-22,2021-03-01,137.0,592.00,Normal,0,1,,,Not Started,7,1,8,2024-07-09,92
139,agent,2021-03-03,2021-03-05,138.0,918.00,Normal,0,1,,,Not Started,2,1,13,2024-07-09,60
140,market,2021-03-06,2021-03-08,139.0,707.00,Normal,0,1,,,Not Started,2,1,10,2024-07-09,44
141,environment,2021-03-08,2021-03-13,140.0,229.00,Normal,0,1,,,Not Started,5,1,16,2024-07-09,31
142,bar,2021-03-13,2021-03-18,141.0,964.00,Normal,0,1,,,Not Started,5,1,17,2024-07-09,32
143,dream,2020-03-29,2020-04-13,,2799.00,Critical,0,1,,,Not Started,15,1,32,2024-07-09,71
144,buy,2020-04-15,2020-04-20,143.0,809.00,Normal,0,1,,,Not Started,5,1,19,2024-07-09,86
145,store,2020-04-20,2020-04-23,144.0,263.00,Normal,0,1,,,Not Started,3,1,18,2024-07-09,76
146,tell,2020-04-22,2020-04-28,145.0,476.00,Normal,0,1,,,Not Started,6,1,5,2024-07-09,30
147,somebody,2020-04-29,2020-05-02,146.0,919.00,Normal,0,1,,,Not Started,3,1,13,2024-07-09,66
148,husband,2020-05-01,2020-05-04,147.0,423.00,Normal,0,1,,,Not Started,3,1,15,2024-07-09,82
149,feeling,2020-05-05,2020-05-09,148.0,205.00,Normal,0,1,,,Not Started,4,1,22,2024-07-09,70
150,range,2020-02-25,2020-03-06,,2105.00,Critical,0,2,,,Not Started,10,1,33,2024-07-09,97
151,official,2020-03-07,2020-03-14,150.0,406.00,Normal,0,2,,,Not Started,7,1,17,2024-07-09,57
152,degree,2020-03-13,2020-03-18,151.0,374.00,Normal,0,2,,,Not Started,5,1,13,2024-07-09,81
153,management,2020-03-19,2020-03-26,152.0,960.00,Normal,0,2,,,Not Started,7,1,5,2024-07-09,73
154,husband,2020-03-25,2020-03-27,153.0,486.00,Normal,0,2,,,Not Started,2,1,2,2024-07-09,52
155,alone,2020-03-27,2020-03-30,154.0,294.00,Normal,0,2,,,Not Started,3,1,16,2024-07-09,65
156,stuff,2020-03-31,2020-04-06,155.0,579.00,Normal,0,2,,,Not Started,6,1,3,2024-07-09,98
157,current,2020-04-06,2020-04-11,156.0,571.00,Normal,0,2,,,Not Started,5,1,16,2024-07-09,56
158,reach,2020-04-12,2020-04-19,157.0,518.00,Normal,0,2,,,Not Started,7,1,14,2024-07-09,42
159,trade,2020-04-20,2020-04-28,158.0,240.00,Normal,0,2,,,Not Started,8,1,11,2024-07-09,75
160,just,2020-04-27,2020-05-04,159.0,343.00,Normal,0,2,,,Not Started,7,1,5,2024-07-09,91
161,beautiful,2020-05-05,2020-05-13,160.0,406.00,Normal,0,2,,,Not Started,8,1,9,2024-07-09,38
162,why,2020-05-12,2020-05-17,161.0,651.00,Normal,0,2,,,Not Started,5,1,1,2024-07-09,33
163,stop,2020-05-18,2020-05-23,162.0,366.00,Normal,0,2,,,Not Started,5,1,21,2024-07-09,83
164,person,2020-05-24,2020-05-27,163.0,872.00,Normal,0,2,,,Not Started,3,1,18,2024-07-09,31
165,carry,2020-05-26,2020-05-28,164.0,553.00,Normal,0,2,,,Not Started,2,1,2,2024-07-09,99
166,site,2020-05-27,2020-05-29,165.0,662.00,Normal,0,2,,,Not Started,2,1,12,2024-07-09,86
167,either,2020-05-30,2020-06-03,166.0,467.00,Normal,0,2,,,Not Started,4,1,11,2024-07-09,33
168,treatment,2020-06-02,2020-06-04,167.0,351.00,Normal,0,2,,,Not Started,2,1,18,2024-07-09,40
169,will,2020-06-03,2020-06-08,168.0,754.00,Normal,0,2,,,Not Started,5,1,13,2024-07-09,59
170,be,2020-06-08,2020-06-11,169.0,429.00,Normal,0,2,,,Not Started,3,1,15,2024-07-09,58
171,player,2020-06-12,2020-06-20,170.0,449.00,Normal,0,2,,,Not Started,8,1,20,2024-07-09,44
172,ball,2020-06-20,2020-06-24,171.0,961.00,Normal,0,2,,,Not Started,4,1,2,2024-07-09,49
173,eat,2020-06-24,2020-06-27,172.0,925.00,Normal,0,2,,,Not Started,3,1,21,2024-07-09,94
174,number,2020-06-28,2020-07-04,173.0,447.00,Normal,0,2,,,Not Started,6,1,18,2024-07-09,60
175,brother,2020-07-05,2020-07-13,174.0,700.00,Normal,0,2,,,Not Started,8,1,11,2024-07-09,96
176,ahead,2020-07-12,2020-07-16,175.0,406.00,Normal,0,2,,,Not Started,4,1,9,2024-07-09,74
177,career,2020-07-15,2020-07-18,176.0,522.00,Normal,0,2,,,Not Started,3,1,8,2024-07-09,99
178,crime,2020-07-18,2020-07-24,177.0,231.00,Normal,0,2,,,Not Started,6,1,5,2024-07-09,97
179,four,2020-07-24,2020-07-29,178.0,317.00,Normal,0,2,,,Not Started,5,1,2,2024-07-09,61
180,possible,2020-07-30,2020-08-02,179.0,505.00,Normal,0,2,,,Not Started,3,1,6,2024-07-09,31
181,star,2020-08-03,2020-08-05,180.0,715.00,Normal,0,2,,,Not Started,2,1,8,2024-07-09,71
182,assume,2020-08-06,2020-08-09,181.0,872.00,Normal,0,2,,,Not Started,3,1,12,2024-07-09,75
183,much,2020-08-08,2020-08-10,182.0,819.00,Normal,0,2,,,Not Started,2,1,13,2024-07-09,99
184,yard,2020-08-09,2020-08-17,183.0,452.00,Normal,0,2,,,Not Started,8,1,18,2024-07-09,71
185,challenge,2020-08-16,2020-08-21,184.0,442.00,Normal,0,2,,,Not Started,5,1,20,2024-07-09,34
186,vote,2020-08-21,2020-08-25,185.0,704.00,Normal,0,2,,,Not Started,4,1,3,2024-07-09,31
187,clearly,2020-08-26,2020-08-31,186.0,977.00,Normal,0,2,,,Not Started,5,1,19,2024-07-09,56
188,mission,2020-09-01,2020-09-07,187.0,883.00,Normal,0,2,,,Not Started,6,1,10,2024-07-09,33
189,science,2020-09-07,2020-09-12,188.0,318.00,Normal,0,2,,,Not Started,5,1,13,2024-07-09,82
190,bar,2020-09-12,2020-09-19,189.0,201.00,Normal,0,2,,,Not Started,7,1,5,2024-07-09,82
191,believe,2020-09-20,2020-09-25,190.0,736.00,Normal,0,2,,,Not Started,5,1,12,2024-07-09,88
192,international,2020-09-26,2020-10-04,191.0,964.00,Normal,0,2,,,Not Started,8,1,6,2024-07-09,49
193,war,2020-10-03,2020-10-08,192.0,860.00,Normal,0,2,,,Not Started,5,1,2,2024-07-09,52
194,of,2020-10-09,2020-10-11,193.0,302.00,Normal,0,2,,,Not Started,2,1,10,2024-07-09,42
195,really,2020-10-11,2020-10-14,194.0,306.00,Normal,0,2,,,Not Started,3,1,11,2024-07-09,37
196,trouble,2020-10-13,2020-10-20,195.0,903.00,Normal,0,2,,,Not Started,7,1,14,2024-07-09,97
197,anyone,2020-10-19,2020-10-25,196.0,849.00,Normal,0,2,,,Not Started,6,1,16,2024-07-09,41
198,name,2020-10-25,2020-11-01,197.0,895.00,Normal,0,2,,,Not Started,7,1,5,2024-07-09,48
199,save,2020-03-01,2020-03-12,,1735.00,Critical,0,2,,,Not Started,11,1,22,2024-07-09,59
200,here,2020-03-12,2020-03-18,199.0,470.00,Normal,0,2,,,Not Started,6,1,5,2024-07-09,69
201,them,2020-03-18,2020-03-26,200.0,334.00,Normal,0,2,,,Not Started,8,1,20,2024-07-09,53
202,station,2020-03-27,2020-03-31,201.0,341.00,Normal,0,2,,,Not Started,4,1,18,2024-07-09,95
203,successful,2020-03-30,2020-04-07,202.0,531.00,Normal,0,2,,,Not Started,8,1,4,2024-07-09,59
204,evidence,2020-04-08,2020-04-10,203.0,436.00,Normal,0,2,,,Not Started,2,1,2,2024-07-09,51
205,third,2020-04-11,2020-04-19,204.0,908.00,Normal,0,2,,,Not Started,8,1,11,2024-07-09,93
206,feeling,2020-04-19,2020-04-23,205.0,692.00,Normal,0,2,,,Not Started,4,1,18,2024-07-09,89
207,third,2020-04-22,2020-04-27,206.0,783.00,Normal,0,2,,,Not Started,5,1,5,2024-07-09,75
208,perhaps,2020-04-26,2020-04-29,207.0,675.00,Normal,0,2,,,Not Started,3,1,3,2024-07-09,42
209,if,2020-04-28,2020-05-05,208.0,621.00,Normal,0,2,,,Not Started,7,1,1,2024-07-09,83
210,free,2020-05-04,2020-05-12,209.0,201.00,Normal,0,2,,,Not Started,8,1,1,2024-07-09,56
211,fish,2020-05-12,2020-05-19,210.0,865.00,Normal,0,2,,,Not Started,7,1,2,2024-07-09,51
212,both,2020-05-18,2020-05-26,211.0,515.00,Normal,0,2,,,Not Started,8,1,16,2024-07-09,92
213,my,2020-05-27,2020-06-04,212.0,513.00,Normal,0,2,,,Not Started,8,1,6,2024-07-09,72
214,determine,2020-06-04,2020-06-08,213.0,886.00,Normal,0,2,,,Not Started,4,1,19,2024-07-09,75
215,my,2020-06-07,2020-06-09,214.0,985.00,Normal,0,2,,,Not Started,2,1,22,2024-07-09,93
216,simply,2020-06-08,2020-06-14,215.0,779.00,Normal,0,2,,,Not Started,6,1,3,2024-07-09,41
217,glass,2020-06-15,2020-06-18,216.0,281.00,Normal,0,2,,,Not Started,3,1,10,2024-07-09,42
218,nor,2020-06-19,2020-06-24,217.0,539.00,Normal,0,2,,,Not Started,5,1,5,2024-07-09,91
219,ask,2020-06-24,2020-07-02,218.0,507.00,Normal,0,2,,,Not Started,8,1,17,2024-07-09,36
220,teacher,2020-07-02,2020-07-05,219.0,455.00,Normal,0,2,,,Not Started,3,1,21,2024-07-09,63
221,point,2020-07-06,2020-07-09,220.0,398.00,Normal,0,2,,,Not Started,3,1,18,2024-07-09,62
222,quickly,2020-07-10,2020-07-15,221.0,989.00,Normal,0,2,,,Not Started,5,1,16,2024-07-09,76
223,four,2020-07-15,2020-07-17,222.0,384.00,Normal,0,2,,,Not Started,2,1,19,2024-07-09,59
224,such,2020-07-16,2020-07-24,223.0,614.00,Normal,0,2,,,Not Started,8,1,8,2024-07-09,64
225,tend,2020-07-25,2020-07-28,224.0,615.00,Normal,0,2,,,Not Started,3,1,20,2024-07-09,66
226,strategy,2020-07-27,2020-07-31,225.0,749.00,Normal,0,2,,,Not Started,4,1,22,2024-07-09,58
227,issue,2020-07-31,2020-08-03,226.0,710.00,Normal,0,2,,,Not Started,3,1,3,2024-07-09,34
228,policy,2020-08-03,2020-08-11,227.0,247.00,Normal,0,2,,,Not Started,8,1,21,2024-07-09,85
229,road,2020-08-11,2020-08-15,228.0,780.00,Normal,0,2,,,Not Started,4,1,2,2024-07-09,32
230,will,2020-08-14,2020-08-17,229.0,446.00,Normal,0,2,,,Not Started,3,1,13,2024-07-09,94
231,within,2020-08-17,2020-08-21,230.0,671.00,Normal,0,2,,,Not Started,4,1,8,2024-07-09,85
232,major,2020-08-22,2020-08-29,231.0,832.00,Normal,0,2,,,Not Started,7,1,7,2024-07-09,96
233,staff,2020-08-30,2020-09-06,232.0,439.00,Normal,0,2,,,Not Started,7,1,18,2024-07-09,94
234,per,2020-09-06,2020-09-09,233.0,903.00,Normal,0,2,,,Not Started,3,1,16,2024-07-09,58
235,take,2020-09-10,2020-09-16,234.0,275.00,Normal,0,2,,,Not Started,6,1,10,2024-07-09,49
236,sound,2020-09-17,2020-09-19,235.0,790.00,Normal,0,2,,,Not Started,2,1,8,2024-07-09,96
237,upon,2020-09-18,2020-09-22,236.0,546.00,Normal,0,2,,,Not Started,4,1,9,2024-07-09,42
238,well,2020-09-23,2020-09-25,237.0,472.00,Normal,0,2,,,Not Started,2,1,1,2024-07-09,89
239,always,2020-09-26,2020-10-02,238.0,542.00,Normal,0,2,,,Not Started,6,1,18,2024-07-09,64
240,deep,2020-10-02,2020-10-05,239.0,833.00,Normal,0,2,,,Not Started,3,1,16,2024-07-09,90
241,check,2020-10-05,2020-10-07,240.0,826.00,Normal,0,2,,,Not Started,2,1,4,2024-07-09,82
242,teacher,2020-10-07,2020-10-15,241.0,850.00,Normal,0,2,,,Not Started,8,1,3,2024-07-09,53
243,actually,2020-10-15,2020-10-21,242.0,985.00,Normal,0,2,,,Not Started,6,1,16,2024-07-09,32
244,community,2020-10-22,2020-10-29,243.0,566.00,Normal,0,2,,,Not Started,7,1,18,2024-07-09,74
