Date,ProjectID,TotalTask,StartedTask,OnGoingTask,DelayedTask,CompletedTask,WorkDay,TotalSpent,StartDate,EndDate,ActualStartDate,ActualEndDate,WeatherAssessment
2019-03-21,27,119,8,2,2,6,46,6479.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-03-22,27,119,8,2,2,6,46,6479.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-03-23,27,119,8,2,2,6,46,6479.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-03-24,27,119,8,2,2,6,46,6479.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-03-25,27,119,8,2,2,6,46,6479.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-03-26,27,119,9,2,2,7,48,7033.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-03-27,27,119,10,2,2,8,49,7253.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-03-28,27,119,10,2,2,8,50,7253.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-03-29,27,119,10,2,2,8,52,7253.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-03-30,27,119,10,2,2,8,52,7253.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-03-31,27,119,10,2,2,8,52,7253.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-04-01,27,119,11,2,2,9,54,7936.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-04-02,27,119,11,2,2,9,56,7936.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-04-03,27,119,11,2,2,9,58,7936.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-04-04,27,119,11,2,2,9,60,7936.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-04-05,27,119,11,2,2,9,62,7936.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-04-06,27,119,12,2,2,10,64,8187.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-04-07,27,119,12,2,2,10,64,8187.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-04-08,27,119,12,2,2,10,66,8187.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-04-09,27,119,12,2,2,10,66,8187.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-04-10,27,119,13,2,2,11,68,9162.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-04-11,27,119,13,2,2,11,69,9162.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-04-12,27,119,13,2,2,11,71,9162.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-04-13,27,119,13,2,2,11,72,9162.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-04-14,27,119,13,2,2,11,72,9162.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-04-15,27,119,13,2,2,11,74,9162.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-04-16,27,119,14,2,2,12,76,9707.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-04-17,27,119,14,2,2,12,76,9707.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-04-18,27,119,15,2,2,13,78,10663.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-04-19,27,119,15,2,2,13,78,10663.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-04-20,27,119,15,2,2,13,78,10663.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-04-21,27,119,16,2,2,14,80,11295.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-04-22,27,119,16,2,2,14,81,11295.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-04-23,4,91,1,1,0,0,1,0.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
2019-04-23,8,118,2,2,0,0,2,0.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285
2019-04-23,27,119,16,2,2,14,82,11295.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-04-24,4,91,1,1,0,0,2,0.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
2019-04-24,8,118,2,2,0,0,3,0.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285
2019-04-24,27,119,16,2,2,14,83,11295.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-04-25,4,91,1,1,0,0,3,0.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
2019-04-25,8,118,2,2,0,0,4,0.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285
2019-04-25,27,119,17,2,2,15,86,12263.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-04-26,4,91,1,1,0,0,4,0.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
2019-04-26,8,118,2,2,0,0,6,0.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285
2019-04-26,27,119,18,2,2,16,88,12531.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-04-27,4,91,1,1,0,0,4,0.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
2019-04-27,8,118,2,2,0,0,8,0.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285
2019-04-27,27,119,18,2,2,16,90,12531.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-04-28,4,91,1,1,0,0,4,0.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
2019-04-28,8,118,2,2,0,0,8,0.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285
2019-04-28,27,119,19,2,2,17,92,13412.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-04-29,4,91,1,1,0,0,5,0.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
2019-04-29,8,118,2,2,0,0,9,0.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285
2019-04-29,27,119,20,2,2,18,95,13612.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-04-30,4,91,2,2,0,0,7,0.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
2019-04-30,8,118,2,2,0,0,10,0.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285
2019-04-30,27,119,21,2,2,19,98,13896.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-05-01,4,91,2,2,0,0,9,0.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
2019-05-01,8,118,2,2,0,0,12,0.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285
2019-05-01,27,119,21,2,2,19,98,13896.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-05-02,4,91,2,2,0,0,11,0.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
2019-05-02,8,118,2,2,0,0,14,0.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285
2019-05-02,27,119,21,2,2,19,98,13896.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-05-03,4,91,2,2,0,0,13,0.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
2019-05-03,8,118,2,2,0,0,16,0.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285
2019-05-03,27,119,21,2,2,19,99,13896.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-05-04,4,91,2,2,0,0,13,0.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
2019-05-04,8,118,2,2,0,0,17,0.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285
2019-05-04,27,119,21,2,2,19,99,13896.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-05-05,4,91,2,2,1,0,13,0.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
2019-05-05,8,118,2,2,1,0,17,0.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285
2019-05-05,27,119,21,2,2,19,99,13896.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-05-06,4,91,2,2,1,0,15,0.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
2019-05-06,8,118,2,2,1,0,18,0.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285
2019-05-06,27,119,22,2,2,20,101,14164.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-05-07,4,91,2,1,0,1,17,1667.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
2019-05-07,8,118,3,2,0,1,21,2448.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285
2019-05-07,27,119,22,2,2,20,101,14164.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-05-08,4,91,2,1,0,1,17,1667.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
2019-05-08,8,118,3,2,0,1,21,2448.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285
2019-05-08,27,119,23,2,2,21,104,14950.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-05-09,4,91,3,2,1,1,19,1667.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
2019-05-09,8,118,3,2,0,1,22,2448.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285
2019-05-09,27,119,24,2,2,22,107,15291.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-05-10,4,91,3,1,0,2,20,3743.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
2019-05-10,8,118,3,2,0,1,24,2448.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285
2019-05-10,27,119,24,2,2,22,107,15291.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-05-11,4,91,4,2,0,2,20,3743.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
2019-05-11,8,118,3,2,0,1,25,2448.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285
2019-05-11,27,119,24,2,2,22,107,15291.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-05-12,4,91,4,2,0,2,20,3743.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
2019-05-12,8,118,3,2,0,1,25,2448.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285
2019-05-12,27,119,24,2,2,22,107,15291.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-05-13,4,91,4,2,0,2,20,3743.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
2019-05-13,8,118,3,2,2,1,27,2448.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285
2019-05-13,27,119,24,2,2,22,107,15291.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-05-14,4,91,4,2,0,2,21,3743.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
2019-05-14,8,118,3,2,2,1,29,2448.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285
2019-05-14,27,119,24,2,2,22,107,15291.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-05-15,4,91,4,2,1,2,23,3743.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
2019-05-15,8,118,4,2,1,2,32,3249.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285
2019-05-15,27,119,24,2,2,22,108,15291.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-05-16,4,91,4,2,1,2,24,3743.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
2019-05-16,8,118,4,2,1,2,34,3249.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285
2019-05-16,27,119,24,2,2,22,109,15291.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-05-17,4,91,4,2,1,2,25,3743.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
2019-05-17,8,118,5,2,1,3,36,4088.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285
2019-05-17,27,119,25,2,2,23,111,15616.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-05-18,4,91,4,2,1,2,25,3743.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
2019-05-18,8,118,5,2,1,3,37,4088.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285
2019-05-18,27,119,25,2,2,23,112,15616.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-05-19,4,91,4,2,1,2,25,3743.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
2019-05-19,8,118,5,2,1,3,37,4088.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285
2019-05-19,27,119,25,2,2,23,113,15616.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-05-20,4,91,5,2,1,3,28,4574.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
2019-05-20,8,118,5,2,1,3,38,4088.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285
2019-05-20,27,119,25,2,2,23,115,15616.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-05-21,4,91,5,2,1,3,29,4574.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
2019-05-21,8,118,6,2,2,4,41,6941.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285
2019-05-21,27,119,25,2,2,23,115,15616.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-05-22,4,91,5,2,2,3,30,4574.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
2019-05-22,8,118,6,2,2,4,42,6941.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285
2019-05-22,27,119,25,2,2,23,116,15616.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-05-23,4,91,5,2,2,3,32,4574.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
2019-05-23,8,118,6,2,2,4,43,6941.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285
2019-05-23,27,119,26,2,2,24,119,16080.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-05-24,4,91,6,2,1,4,33,5457.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
2019-05-24,8,118,6,2,2,4,44,6941.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285
2019-05-24,27,119,26,2,2,24,120,16080.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-05-25,4,91,6,2,1,4,33,5457.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
2019-05-25,8,118,6,2,2,4,44,6941.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285
2019-05-25,27,119,26,2,2,24,120,16080.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-05-26,4,91,6,2,1,4,33,5457.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
2019-05-26,8,118,6,2,2,4,44,6941.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285
2019-05-26,27,119,26,2,2,24,120,16080.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-05-27,4,91,6,2,2,4,34,5457.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
2019-05-27,8,118,6,2,2,4,44,6941.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285
2019-05-27,27,119,27,2,2,25,122,17043.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-05-28,4,91,6,2,2,4,35,5457.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
2019-05-28,8,118,6,2,2,4,44,6941.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285
2019-05-28,27,119,27,2,2,25,123,17043.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-05-29,4,91,6,2,2,4,36,5457.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
2019-05-29,8,118,6,2,2,4,44,6941.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285
2019-05-29,27,119,27,2,2,25,124,17043.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-05-30,4,91,7,2,2,5,38,5921.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
2019-05-30,8,118,7,2,2,5,45,7429.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285
2019-05-30,27,119,27,2,2,25,125,17043.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-05-31,4,91,7,2,2,5,39,5921.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
2019-05-31,8,118,7,2,2,5,46,7429.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285
2019-05-31,27,119,27,2,2,25,126,17043.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-06-01,4,91,7,2,2,5,39,5921.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
2019-06-01,8,118,7,2,2,5,46,7429.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285
2019-06-01,27,119,27,2,2,25,127,17043.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-06-02,4,91,7,2,2,5,39,5921.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
2019-06-02,8,118,7,2,2,5,46,7429.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285
2019-06-02,27,119,27,2,2,25,128,17043.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-06-03,4,91,8,2,2,6,40,6274.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
2019-06-03,8,118,7,2,2,5,47,7429.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285
2019-06-03,27,119,27,2,2,25,128,17043.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-06-04,4,91,8,2,2,6,40,6274.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
2019-06-04,8,118,7,2,2,5,48,7429.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285
2019-06-04,27,119,28,2,2,26,130,17930.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-06-05,4,91,8,2,2,6,42,6274.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
2019-06-05,8,118,7,2,2,5,50,7429.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285
2019-06-05,27,119,28,2,2,26,131,17930.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-06-06,4,91,8,2,2,6,42,6274.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
2019-06-06,8,118,7,2,2,5,52,7429.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285
2019-06-06,27,119,28,2,2,26,133,17930.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-06-07,4,91,8,2,2,6,43,6274.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
2019-06-07,8,118,7,2,2,5,53,7429.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285
2019-06-07,27,119,28,2,2,26,133,17930.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-06-08,4,91,8,2,2,6,43,6274.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
2019-06-08,8,118,8,2,2,6,54,8129.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285
2019-06-08,27,119,28,2,2,26,133,17930.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-06-09,4,91,8,2,2,6,43,6274.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
2019-06-09,8,118,8,2,2,6,54,8129.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285
2019-06-09,27,119,28,2,2,26,134,17930.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-06-10,4,91,8,2,2,6,44,6274.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
2019-06-10,8,118,8,2,2,6,55,8129.0,2019-04-23,2020-04-25,2019-04-23,2021-04-24,14.285714285714285
2019-06-10,27,119,28,2,2,26,134,17930.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-06-11,4,91,9,2,2,7,46,7158.0,2019-04-23,2020-03-27,2019-04-23,2021-03-02,16.666666666666664
