Cost,Progress,Duration,Trade,TaskLength,Temperature,RainProb,WindSpeed,WorkerScore,WeatherAssessment,StartDelay,TaskDelay,Is_Delayed
896.0,20.0,5,4,3,20.667,100.0,20.6,75,12.5,6,8,1
554.0,0.0,6,3,2,20.667,100.0,20.6,30,12.5,0,29,0
896.0,40.0,5,4,3,19.944,0.0,28.485,75,12.5,6,8,1
554.0,16.666666666666664,6,3,2,19.944,0.0,28.485,30,12.5,0,29,1
896.0,40.0,5,4,3,22.056,100.0,24.14,75,12.5,6,8,1
554.0,16.666666666666664,6,3,2,22.056,100.0,24.14,30,12.5,0,29,1
896.0,60.0,5,4,3,21.667,0.0,28.646,75,12.5,6,8,1
554.0,33.33333333333333,6,3,2,21.667,0.0,28.646,30,12.5,0,29,1
896.0,80.0,5,4,3,22.389,0.0,22.37,75,12.5,6,8,1
554.0,33.33333333333333,6,3,2,22.389,0.0,22.37,30,12.5,0,29,1
896.0,80.0,5,4,3,22.5,0.0,15.932,75,12.5,6,8,1
554.0,33.33333333333333,6,3,2,22.5,0.0,15.932,30,12.5,0,29,1
896.0,80.0,5,4,3,23.5,100.0,27.681,75,12.5,6,8,1
554.0,33.33333333333333,6,3,2,23.5,100.0,27.681,30,12.5,0,29,1
896.0,80.0,5,4,3,22.556,100.0,33.152,75,12.5,6,8,1
554.0,33.33333333333333,6,3,2,22.556,100.0,33.152,30,12.5,0,29,1
896.0,80.0,5,4,3,17.889,100.0,35.245,75,12.5,6,8,1
554.0,33.33333333333333,6,3,2,17.889,100.0,35.245,30,12.5,0,29,1
896.0,100.0,5,4,3,13.5,0.0,27.681,75,12.5,6,8,0
220.0,50.0,2,14,4,13.5,0.0,27.681,33,25.0,14,19,1
554.0,50.0,6,3,2,13.5,0.0,27.681,30,12.5,0,29,1
220.0,50.0,2,14,4,18.111,0.0,24.14,33,25.0,14,19,1
554.0,50.0,6,3,2,18.111,0.0,24.14,30,12.5,0,29,1
220.0,50.0,2,14,4,21.222,100.0,28.163,33,25.0,14,19,1
554.0,50.0,6,3,2,21.222,100.0,28.163,30,12.5,0,29,1
220.0,50.0,2,14,4,19.889,100.0,27.681,33,25.0,14,19,1
554.0,50.0,6,3,2,19.889,100.0,27.681,30,12.5,0,29,1
220.0,50.0,2,14,4,20.222,100.0,26.876,33,25.0,14,19,1
554.0,50.0,6,3,2,20.222,100.0,26.876,30,12.5,0,29,1
220.0,50.0,2,14,4,19.222,0.0,37.015,33,25.0,14,19,1
554.0,66.66666666666666,6,3,2,19.222,0.0,37.015,30,12.5,0,29,1
220.0,50.0,2,14,4,16.222,0.0,26.393,33,25.0,14,19,1
554.0,83.33333333333334,6,3,2,16.222,0.0,26.393,30,12.5,0,29,1
220.0,50.0,2,14,4,19.389,100.0,29.451,33,25.0,14,19,1
554.0,83.33333333333334,6,3,2,19.389,100.0,29.451,30,12.5,0,29,1
220.0,50.0,2,14,4,17.222,100.0,24.301,33,25.0,14,19,1
554.0,83.33333333333334,6,3,2,17.222,100.0,24.301,30,12.5,0,29,1
220.0,50.0,2,14,4,18.167,100.0,33.474,33,25.0,14,19,1
554.0,83.33333333333334,6,3,2,18.167,100.0,33.474,30,12.5,0,29,1
220.0,50.0,2,14,4,18.778,100.0,26.393,33,25.0,14,19,1
554.0,83.33333333333334,6,3,2,18.778,100.0,26.393,30,12.5,0,29,1
220.0,50.0,2,14,4,18.667,100.0,29.451,33,25.0,14,19,1
554.0,83.33333333333334,6,3,2,18.667,100.0,29.451,30,12.5,0,29,1
220.0,50.0,2,14,4,19.5,100.0,20.439,33,25.0,14,19,1
554.0,83.33333333333334,6,3,2,19.5,100.0,20.439,30,12.5,0,29,1
220.0,50.0,2,14,4,19.611,100.0,24.462,33,25.0,14,19,1
554.0,83.33333333333334,6,3,2,19.611,100.0,24.462,30,12.5,0,29,1
220.0,50.0,2,14,4,20.278,100.0,14.806,33,25.0,14,19,1
554.0,83.33333333333334,6,3,2,20.278,100.0,14.806,30,12.5,0,29,1
220.0,50.0,2,14,4,18.833,100.0,16.576,33,25.0,14,19,1
554.0,83.33333333333334,6,3,2,18.833,100.0,16.576,30,12.5,0,29,1
220.0,50.0,2,14,4,17.167,100.0,12.231,33,25.0,14,19,1
554.0,83.33333333333334,6,3,2,17.167,100.0,12.231,30,12.5,0,29,1
220.0,50.0,2,14,4,19.778,100.0,35.245,33,25.0,14,19,1
554.0,83.33333333333334,6,3,2,19.778,100.0,35.245,30,12.5,0,29,1
220.0,50.0,2,14,4,17.5,100.0,44.096,33,25.0,14,19,1
554.0,83.33333333333334,6,3,2,17.5,100.0,44.096,30,12.5,0,29,1
220.0,50.0,2,14,4,14.722,0.0,30.256,33,25.0,14,19,1
554.0,100.0,6,3,2,14.722,0.0,30.256,30,12.5,0,29,0
683.0,33.33333333333333,3,12,3,14.722,0.0,30.256,53,50.0,27,4,1
220.0,100.0,2,14,4,13.889,0.0,21.726,33,25.0,14,19,0
251.0,0.0,7,20,5,13.889,0.0,21.726,99,25.0,31,4,1
683.0,33.33333333333333,3,12,3,13.889,0.0,21.726,53,50.0,27,4,1
251.0,14.285714285714285,7,20,5,15.944,0.0,21.404,99,25.0,31,4,1
683.0,33.33333333333333,3,12,3,15.944,0.0,21.404,53,50.0,27,4,1
251.0,28.57142857142857,7,20,5,16.722,100.0,27.52,99,25.0,31,4,1
683.0,66.66666666666666,3,12,3,16.722,100.0,27.52,53,50.0,27,4,1
251.0,28.57142857142857,7,20,5,12.0,100.0,41.682,99,25.0,31,4,1
683.0,66.66666666666666,3,12,3,12.0,100.0,41.682,53,50.0,27,4,1
251.0,28.57142857142857,7,20,5,10.167,100.0,31.704,99,25.0,31,4,1
683.0,66.66666666666666,3,12,3,10.167,100.0,31.704,53,50.0,27,4,1
251.0,28.57142857142857,7,20,5,11.056,0.0,18.346,99,25.0,31,4,1
683.0,100.0,3,12,3,11.056,0.0,18.346,53,50.0,27,4,0
975.0,12.5,8,3,4,11.056,0.0,18.346,34,62.5,29,2,1
251.0,42.857142857142854,7,20,5,14.389,0.0,13.84,99,25.0,31,4,1
975.0,25.0,8,3,4,14.389,0.0,13.84,34,62.5,29,2,1
251.0,57.14285714285714,7,20,5,16.333,0.0,27.681,99,25.0,31,4,1
975.0,37.5,8,3,4,16.333,0.0,27.681,34,62.5,29,2,1
251.0,71.42857142857143,7,20,5,17.278,100.0,22.37,99,25.0,31,4,1
975.0,50.0,8,3,4,17.278,100.0,22.37,34,62.5,29,2,1
251.0,85.71428571428571,7,20,5,16.333,100.0,18.346,99,25.0,31,4,1
975.0,62.5,8,3,4,16.333,100.0,18.346,34,62.5,29,2,1
251.0,100.0,7,20,5,16.611,0.0,27.681,99,25.0,31,4,0
545.0,0.0,7,12,6,16.611,0.0,27.681,55,50.0,35,4,1
975.0,75.0,8,3,4,16.611,0.0,27.681,34,62.5,29,2,1
545.0,0.0,7,12,6,15.222,0.0,29.934,55,50.0,35,4,1
975.0,75.0,8,3,4,15.222,0.0,29.934,34,62.5,29,2,1
545.0,14.285714285714285,7,12,6,16.333,0.0,33.313,55,50.0,35,4,1
975.0,87.5,8,3,4,16.333,0.0,33.313,34,62.5,29,2,1
545.0,14.285714285714285,7,12,6,15.722,0.0,32.348,55,50.0,35,4,1
975.0,87.5,8,3,4,15.722,0.0,32.348,34,62.5,29,2,1
545.0,28.57142857142857,7,12,6,9.667,0.0,15.611,55,50.0,35,4,1
975.0,100.0,8,3,4,9.667,0.0,15.611,34,62.5,29,2,0
268.0,0.0,4,11,5,9.667,0.0,15.611,32,75.0,31,13,1
545.0,42.857142857142854,7,12,6,11.167,0.0,24.14,55,50.0,35,4,1
268.0,0.0,4,11,5,11.167,0.0,24.14,32,75.0,31,13,1
545.0,57.14285714285714,7,12,6,14.389,0.0,16.576,55,50.0,35,4,1
268.0,25.0,4,11,5,14.389,0.0,16.576,32,75.0,31,13,1
545.0,71.42857142857143,7,12,6,14.111,0.0,20.921,55,50.0,35,4,1
268.0,25.0,4,11,5,14.111,0.0,20.921,32,75.0,31,13,1
545.0,71.42857142857143,7,12,6,15.111,0.0,19.473,55,50.0,35,4,1
268.0,25.0,4,11,5,15.111,0.0,19.473,32,75.0,31,13,1
545.0,85.71428571428571,7,12,6,14.056,0.0,14.806,55,50.0,35,4,1
268.0,50.0,4,11,5,14.056,0.0,14.806,32,75.0,31,13,1
545.0,100.0,7,12,6,14.444,0.0,13.036,55,50.0,35,4,0
956.0,50.0,2,16,7,14.444,0.0,13.036,60,75.0,37,1,1
268.0,50.0,4,11,5,14.444,0.0,13.036,32,75.0,31,13,1
956.0,50.0,2,16,7,15.167,0.0,15.932,60,75.0,37,1,1
268.0,50.0,4,11,5,15.167,0.0,15.932,32,75.0,31,13,1
956.0,100.0,2,16,7,15.389,0.0,23.335,60,75.0,37,1,0
632.0,50.0,2,20,8,15.389,0.0,23.335,55,75.0,37,2,1
268.0,50.0,4,11,5,15.389,0.0,23.335,32,75.0,31,13,1
632.0,50.0,2,20,8,16.722,0.0,13.036,55,75.0,37,2,1
268.0,50.0,4,11,5,16.722,0.0,13.036,32,75.0,31,13,1
632.0,50.0,2,20,8,16.889,0.0,14.162,55,75.0,37,2,1
268.0,50.0,4,11,5,16.889,0.0,14.162,32,75.0,31,13,1
632.0,100.0,2,20,8,16.556,0.0,14.162,55,75.0,37,2,0
968.0,20.0,5,5,9,16.556,0.0,14.162,71,87.5,39,0,1
268.0,50.0,4,11,5,16.556,0.0,14.162,32,75.0,31,13,1
968.0,40.0,5,5,9,16.944,100.0,14.484,71,87.5,39,0,1
268.0,50.0,4,11,5,16.944,100.0,14.484,32,75.0,31,13,1
1667.0,9.090909090909092,11,26,0,16.333,100.0,24.14,60,16.666666666666664,0,0,0
2853.0,5.263157894736842,19,24,0,16.333,100.0,24.14,73,14.285714285714285,0,7,0
2448.0,9.090909090909092,11,24,0,16.333,100.0,24.14,92,14.285714285714285,0,3,0
968.0,60.0,5,5,9,16.333,100.0,24.14,71,87.5,39,0,1
268.0,50.0,4,11,5,16.333,100.0,24.14,32,75.0,31,13,1
1667.0,18.181818181818183,11,26,0,16.556,0.0,16.576,60,16.666666666666664,0,0,0
2853.0,5.263157894736842,19,24,0,16.556,0.0,16.576,73,14.285714285714285,0,7,0
2448.0,18.181818181818183,11,24,0,16.556,0.0,16.576,92,14.285714285714285,0,3,0
968.0,80.0,5,5,9,16.556,0.0,16.576,71,87.5,39,0,1
268.0,50.0,4,11,5,16.556,0.0,16.576,32,75.0,31,13,1
1667.0,27.27272727272727,11,26,0,15.556,0.0,21.565,60,16.666666666666664,0,0,0
2853.0,10.526315789473683,19,24,0,15.556,0.0,21.565,73,14.285714285714285,0,7,0
2448.0,18.181818181818183,11,24,0,15.556,0.0,21.565,92,14.285714285714285,0,3,0
968.0,100.0,5,5,9,15.556,0.0,21.565,71,87.5,39,0,0
268.0,16.666666666666664,6,7,10,15.556,0.0,21.565,70,87.5,37,6,1
268.0,75.0,4,11,5,15.556,0.0,21.565,32,75.0,31,13,1
1667.0,36.36363636363637,11,26,0,14.056,0.0,37.015,60,16.666666666666664,0,0,0
2853.0,15.789473684210526,19,24,0,14.056,0.0,37.015,73,14.285714285714285,0,7,0
2448.0,27.27272727272727,11,24,0,14.056,0.0,37.015,92,14.285714285714285,0,3,0
268.0,16.666666666666664,6,7,10,14.056,0.0,37.015,70,87.5,37,6,1
268.0,100.0,4,11,5,14.056,0.0,37.015,32,75.0,31,13,0
881.0,33.33333333333333,3,22,6,14.056,0.0,37.015,92,87.5,44,0,1
1667.0,36.36363636363637,11,26,0,9.167,0.0,25.91,60,16.666666666666664,0,0,0
2853.0,21.052631578947366,19,24,0,9.167,0.0,25.91,73,14.285714285714285,0,7,0
2448.0,36.36363636363637,11,24,0,9.167,0.0,25.91,92,14.285714285714285,0,3,0
268.0,33.33333333333333,6,7,10,9.167,0.0,25.91,70,87.5,37,6,1
881.0,66.66666666666666,3,22,6,9.167,0.0,25.91,92,87.5,44,0,1
1667.0,36.36363636363637,11,26,0,9.611,0.0,28.324,60,16.666666666666664,0,0,0
2853.0,21.052631578947366,19,24,0,9.611,0.0,28.324,73,14.285714285714285,0,7,0
2448.0,36.36363636363637,11,24,0,9.611,0.0,28.324,92,14.285714285714285,0,3,0
268.0,33.33333333333333,6,7,10,9.611,0.0,28.324,70,87.5,37,6,1
881.0,100.0,3,22,6,9.611,0.0,28.324,92,87.5,44,0,0
200.0,50.0,2,2,7,9.611,0.0,28.324,69,100.0,42,0,1
1667.0,45.45454545454545,11,26,0,10.944,0.0,13.036,60,16.666666666666664,0,0,0
2853.0,21.052631578947366,19,24,0,10.944,0.0,13.036,73,14.285714285714285,0,7,0
2448.0,45.45454545454545,11,24,0,10.944,0.0,13.036,92,14.285714285714285,0,3,0
268.0,50.0,6,7,10,10.944,0.0,13.036,70,87.5,37,6,1
200.0,100.0,2,2,7,10.944,0.0,13.036,69,100.0,42,0,0
284.0,50.0,2,6,8,10.944,0.0,13.036,69,75.0,40,0,1
1667.0,54.54545454545454,11,26,0,13.056,0.0,27.681,60,16.666666666666664,0,0,0
2076.0,12.5,8,35,0,13.056,0.0,27.681,30,50.0,0,1,0
2853.0,21.052631578947366,19,24,0,13.056,0.0,27.681,73,14.285714285714285,0,7,0
2448.0,54.54545454545454,11,24,0,13.056,0.0,27.681,92,14.285714285714285,0,3,0
268.0,66.66666666666666,6,7,10,13.056,0.0,27.681,70,87.5,37,6,1
284.0,100.0,2,6,8,13.056,0.0,27.681,69,75.0,40,0,0
341.0,33.33333333333333,3,19,9,13.056,0.0,27.681,31,62.5,38,7,1
1667.0,63.63636363636363,11,26,0,13.333,100.0,22.37,60,16.666666666666664,0,0,0
2076.0,25.0,8,35,0,13.333,100.0,22.37,30,50.0,0,1,0
2853.0,26.31578947368421,19,24,0,13.333,100.0,22.37,73,14.285714285714285,0,7,0
2448.0,63.63636363636363,11,24,0,13.333,100.0,22.37,92,14.285714285714285,0,3,0
268.0,66.66666666666666,6,7,10,13.333,100.0,22.37,70,87.5,37,6,1
341.0,33.33333333333333,3,19,9,13.333,100.0,22.37,31,62.5,38,7,1
1667.0,72.72727272727273,11,26,0,16.167,100.0,17.703,60,16.666666666666664,0,0,0
2076.0,37.5,8,35,0,16.167,100.0,17.703,30,50.0,0,1,0
2853.0,31.57894736842105,19,24,0,16.167,100.0,17.703,73,14.285714285714285,0,7,0
2448.0,72.72727272727273,11,24,0,16.167,100.0,17.703,92,14.285714285714285,0,3,0
268.0,66.66666666666666,6,7,10,16.167,100.0,17.703,70,87.5,37,6,1
341.0,33.33333333333333,3,19,9,16.167,100.0,17.703,31,62.5,38,7,1
1667.0,81.81818181818183,11,26,0,15.778,100.0,32.187,60,16.666666666666664,0,0,0
2076.0,50.0,8,35,0,15.778,100.0,32.187,30,50.0,0,1,0
2853.0,36.84210526315789,19,24,0,15.778,100.0,32.187,73,14.285714285714285,0,7,0
2448.0,81.81818181818183,11,24,0,15.778,100.0,32.187,92,14.285714285714285,0,3,0
268.0,83.33333333333334,6,7,10,15.778,100.0,32.187,70,87.5,37,6,1
341.0,33.33333333333333,3,19,9,15.778,100.0,32.187,31,62.5,38,7,1
1667.0,81.81818181818183,11,26,0,10.833,100.0,26.071,60,16.666666666666664,0,0,0
2076.0,50.0,8,35,0,10.833,100.0,26.071,30,50.0,0,1,0
2853.0,36.84210526315789,19,24,0,10.833,100.0,26.071,73,14.285714285714285,0,7,0
2448.0,90.9090909090909,11,24,0,10.833,100.0,26.071,92,14.285714285714285,0,3,0
268.0,83.33333333333334,6,7,10,10.833,100.0,26.071,70,87.5,37,6,1
341.0,33.33333333333333,3,19,9,10.833,100.0,26.071,31,62.5,38,7,1
1667.0,81.81818181818183,11,26,0,10.889,100.0,32.509,60,16.666666666666664,0,0,1
2076.0,50.0,8,35,0,10.889,100.0,32.509,30,50.0,0,1,0
2853.0,36.84210526315789,19,24,0,10.889,100.0,32.509,73,14.285714285714285,0,7,0
2448.0,90.9090909090909,11,24,0,10.889,100.0,32.509,92,14.285714285714285,0,3,1
268.0,83.33333333333334,6,7,10,10.889,100.0,32.509,70,87.5,37,6,1
341.0,33.33333333333333,3,19,9,10.889,100.0,32.509,31,62.5,38,7,1
1667.0,90.9090909090909,11,26,0,9.5,0.0,20.6,60,16.666666666666664,0,0,1
2076.0,62.5,8,35,0,9.5,0.0,20.6,30,50.0,0,1,0
2853.0,42.10526315789473,19,24,0,9.5,0.0,20.6,73,14.285714285714285,0,7,0
2448.0,90.9090909090909,11,24,0,9.5,0.0,20.6,92,14.285714285714285,0,3,1
268.0,100.0,6,7,10,9.5,0.0,20.6,70,87.5,37,6,0
786.0,50.0,2,8,11,9.5,0.0,20.6,64,50.0,42,1,1
341.0,33.33333333333333,3,19,9,9.5,0.0,20.6,31,62.5,38,7,1
1667.0,100.0,11,26,0,6.889,0.0,31.704,60,16.666666666666664,0,0,0
2076.0,75.0,8,35,0,6.889,0.0,31.704,30,50.0,0,1,0
2853.0,47.368421052631575,19,24,0,6.889,0.0,31.704,73,14.285714285714285,0,7,0
2448.0,100.0,11,24,0,6.889,0.0,31.704,92,14.285714285714285,0,3,0
801.0,16.666666666666664,6,16,1,6.889,0.0,31.704,39,42.85714285714285,1,2,0
786.0,50.0,2,8,11,6.889,0.0,31.704,64,50.0,42,1,1
341.0,33.33333333333333,3,19,9,6.889,0.0,31.704,31,62.5,38,7,1
2076.0,75.0,8,35,0,8.222,0.0,33.957,30,50.0,0,1,0
2853.0,47.368421052631575,19,24,0,8.222,0.0,33.957,73,14.285714285714285,0,7,0
801.0,16.666666666666664,6,16,1,8.222,0.0,33.957,39,42.85714285714285,1,2,0
786.0,100.0,2,8,11,8.222,0.0,33.957,64,50.0,42,1,0
325.0,20.0,5,4,12,8.222,0.0,33.957,35,37.5,42,5,1
341.0,66.66666666666666,3,19,9,8.222,0.0,33.957,31,62.5,38,7,1
831.0,20.0,5,3,1,7.333,0.0,26.232,55,33.33333333333333,0,5,0
2076.0,87.5,8,35,0,7.333,0.0,26.232,30,50.0,0,1,1
2853.0,47.368421052631575,19,24,0,7.333,0.0,26.232,73,14.285714285714285,0,7,0
801.0,33.33333333333333,6,16,1,7.333,0.0,26.232,39,42.85714285714285,1,2,0
325.0,40.0,5,4,12,7.333,0.0,26.232,35,37.5,42,5,1
341.0,100.0,3,19,9,7.333,0.0,26.232,31,62.5,38,7,0
219.0,12.5,8,18,10,7.333,0.0,26.232,50,37.5,44,33,1
831.0,20.0,5,3,1,6.222,100.0,28.968,55,33.33333333333333,0,5,0
2076.0,100.0,8,35,0,6.222,100.0,28.968,30,50.0,0,1,0
2853.0,52.63157894736842,19,24,0,6.222,100.0,28.968,73,14.285714285714285,0,7,0
801.0,50.0,6,16,1,6.222,100.0,28.968,39,42.85714285714285,1,2,0
325.0,40.0,5,4,12,6.222,100.0,28.968,35,37.5,42,5,1
219.0,12.5,8,18,10,6.222,100.0,28.968,50,37.5,44,33,1
831.0,20.0,5,3,1,9.0,100.0,16.254,55,33.33333333333333,0,5,0
464.0,0.0,8,19,1,9.0,100.0,16.254,64,20.0,0,9,0
2853.0,57.89473684210527,19,24,0,9.0,100.0,16.254,73,14.285714285714285,0,7,0
801.0,50.0,6,16,1,9.0,100.0,16.254,39,42.85714285714285,1,2,0
325.0,40.0,5,4,12,9.0,100.0,16.254,35,37.5,42,5,1
219.0,12.5,8,18,10,9.0,100.0,16.254,50,37.5,44,33,1
831.0,20.0,5,3,1,4.944,100.0,10.139,55,33.33333333333333,0,5,0
464.0,0.0,8,19,1,4.944,100.0,10.139,64,20.0,0,9,0
2853.0,57.89473684210527,19,24,0,4.944,100.0,10.139,73,14.285714285714285,0,7,0
801.0,50.0,6,16,1,4.944,100.0,10.139,39,42.85714285714285,1,2,0
325.0,40.0,5,4,12,4.944,100.0,10.139,35,37.5,42,5,1
219.0,12.5,8,18,10,4.944,100.0,10.139,50,37.5,44,33,1
831.0,20.0,5,3,1,8.389,100.0,19.634,55,33.33333333333333,0,5,0
464.0,0.0,8,19,1,8.389,100.0,19.634,64,20.0,0,9,0
2853.0,63.1578947368421,19,24,0,8.389,100.0,19.634,73,14.285714285714285,0,7,1
801.0,66.66666666666666,6,16,1,8.389,100.0,19.634,39,42.85714285714285,1,2,1
325.0,40.0,5,4,12,8.389,100.0,19.634,35,37.5,42,5,1
219.0,12.5,8,18,10,8.389,100.0,19.634,50,37.5,44,33,1
831.0,40.0,5,3,1,7.667,0.0,14.806,55,33.33333333333333,0,5,0
464.0,0.0,8,19,1,7.667,0.0,14.806,64,20.0,0,9,0
2853.0,68.42105263157895,19,24,0,7.667,0.0,14.806,73,14.285714285714285,0,7,1
801.0,83.33333333333334,6,16,1,7.667,0.0,14.806,39,42.85714285714285,1,2,1
325.0,40.0,5,4,12,7.667,0.0,14.806,35,37.5,42,5,1
219.0,12.5,8,18,10,7.667,0.0,14.806,50,37.5,44,33,1
831.0,60.0,5,3,1,6.5,0.0,13.036,55,33.33333333333333,0,5,1
464.0,12.5,8,19,1,6.5,0.0,13.036,64,20.0,0,9,0
2853.0,73.68421052631578,19,24,0,6.5,0.0,13.036,73,14.285714285714285,0,7,1
801.0,100.0,6,16,1,6.5,0.0,13.036,39,42.85714285714285,1,2,0
839.0,33.33333333333333,3,4,2,6.5,0.0,13.036,99,14.285714285714285,2,0,0
325.0,60.0,5,4,12,6.5,0.0,13.036,35,37.5,42,5,1
219.0,12.5,8,18,10,6.5,0.0,13.036,50,37.5,44,33,1
831.0,80.0,5,3,1,9.5,0.0,11.104,55,33.33333333333333,0,5,1
464.0,12.5,8,19,1,9.5,0.0,11.104,64,20.0,0,9,0
2853.0,78.94736842105263,19,24,0,9.5,0.0,11.104,73,14.285714285714285,0,7,1
839.0,66.66666666666666,3,4,2,9.5,0.0,11.104,99,14.285714285714285,2,0,0
325.0,80.0,5,4,12,9.5,0.0,11.104,35,37.5,42,5,1
219.0,12.5,8,18,10,9.5,0.0,11.104,50,37.5,44,33,1
831.0,80.0,5,3,1,8.667,0.0,16.576,55,33.33333333333333,0,5,1
464.0,25.0,8,19,1,8.667,0.0,16.576,64,20.0,0,9,0
2853.0,84.21052631578947,19,24,0,8.667,0.0,16.576,73,14.285714285714285,0,7,1
839.0,100.0,3,4,2,8.667,0.0,16.576,99,14.285714285714285,2,0,0
488.0,0.0,5,7,3,8.667,0.0,16.576,59,0.0,2,8,0
325.0,100.0,5,4,12,8.667,0.0,16.576,35,37.5,42,5,0
464.0,0.0,4,8,13,8.667,0.0,16.576,91,25.0,45,3,1
219.0,25.0,8,18,10,8.667,0.0,16.576,50,37.5,44,33,1
831.0,80.0,5,3,1,8.0,0.0,9.173,55,33.33333333333333,0,5,1
464.0,25.0,8,19,1,8.0,0.0,9.173,64,20.0,0,9,0
2853.0,89.47368421052632,19,24,0,8.0,0.0,9.173,73,14.285714285714285,0,7,1
488.0,0.0,5,7,3,8.0,0.0,9.173,59,0.0,2,8,0
464.0,25.0,4,8,13,8.0,0.0,9.173,91,25.0,45,3,1
219.0,25.0,8,18,10,8.0,0.0,9.173,50,37.5,44,33,1
831.0,80.0,5,3,1,10.278,0.0,12.553,55,33.33333333333333,0,5,1
464.0,25.0,8,19,1,10.278,0.0,12.553,64,20.0,0,9,0
2853.0,89.47368421052632,19,24,0,10.278,0.0,12.553,73,14.285714285714285,0,7,1
488.0,0.0,5,7,3,10.278,0.0,12.553,59,0.0,2,8,0
