ID,Name,StartDate,EndDate,ParentTaskID,Cost,Priority,Progress,ProjectID,ActualStartDate,ActualEndDate,Status,Duration,AssigneeID,Trade,CreateDate,WeatherAssessment,TaskLength
21,forget,2019-03-02,2019-03-08,20,858.0,Normal,0,1,,,Not Started,6,1,1,2024-03-31,9.523809523809524,20
22,education,2019-03-09,2019-03-19,21,306.0,Normal,0,1,,,Not Started,8,1,2,2024-03-31,4.761904761904762,21
23,your,2019-03-19,2019-03-21,22,937.0,Normal,0,1,,,Not Started,3,1,1,2024-03-31,4.3478260869565215,22
24,owner,2019-03-23,2019-04-02,23,381.0,Normal,0,1,,,Not Started,8,1,2,2024-03-31,4.761904761904762,23
25,defense,2019-04-03,2019-04-12,24,561.0,Normal,0,1,,,Not Started,8,1,1,2024-03-31,0.0,24
26,who,2019-04-14,2019-04-18,25,203.0,Normal,0,1,,,Not Started,5,1,3,2024-03-31,4.545454545454546,25
27,view,2019-04-20,2019-04-25,26,871.0,Normal,0,1,,,Not Started,5,1,4,2024-03-31,4.761904761904762,26
28,at,2019-04-25,2019-05-06,27,405.0,Normal,0,1,,,Not Started,8,1,3,2024-03-31,4.545454545454546,27
29,quite,2019-05-07,2019-05-15,28,412.0,Normal,0,1,,,Not Started,7,1,3,2024-03-31,8.695652173913043,28
30,few,2019-05-16,2019-05-17,29,287.0,Normal,0,1,,,Not Started,2,1,3,2024-03-31,9.090909090909092,29
31,who,2019-05-18,2019-05-27,30,698.0,Normal,0,1,,,Not Started,7,1,4,2024-03-31,9.523809523809524,30
32,key,2019-05-28,2019-05-31,31,953.0,Normal,0,1,,,Not Started,4,1,3,2024-03-31,17.391304347826086,31
33,those,2019-05-31,2019-06-04,32,981.0,Normal,0,1,,,Not Started,3,1,1,2024-03-31,19.047619047619047,32
34,program,2019-06-04,2019-06-06,33,290.0,Normal,0,1,,,Not Started,3,1,3,2024-03-31,21.73913043478261,33
35,build,2019-06-07,2019-06-11,34,649.0,Normal,0,1,,,Not Started,3,1,4,2024-03-31,19.047619047619047,34
36,speak,2019-06-11,2019-06-13,35,728.0,Normal,0,1,,,Not Started,3,1,1,2024-03-31,13.043478260869565,35
37,magazine,2019-06-13,2019-06-18,36,645.0,Normal,0,1,,,Not Started,4,1,2,2024-03-31,18.181818181818183,36
38,return,2019-06-20,2019-06-21,37,368.0,Normal,0,1,,,Not Started,2,1,4,2024-03-31,18.181818181818183,37
39,eat,2019-06-23,2019-06-24,38,565.0,Normal,0,1,,,Not Started,2,1,2,2024-03-31,9.090909090909092,38
40,thank,2019-06-26,2019-07-04,39,538.0,Normal,0,1,,,Not Started,7,1,3,2024-03-31,13.043478260869565,39
41,report,2019-07-05,2019-07-08,40,350.0,Normal,0,1,,,Not Started,2,1,1,2024-03-31,14.285714285714285,40
42,watch,2019-07-10,2019-07-18,41,710.0,Normal,0,1,,,Not Started,7,1,1,2024-03-31,21.73913043478261,41
43,hand,2019-07-20,2019-07-23,42,233.0,Normal,0,1,,,Not Started,3,1,1,2024-03-31,23.809523809523807,42
44,seem,2019-07-23,2019-07-30,43,419.0,Normal,0,1,,,Not Started,6,1,3,2024-03-31,21.73913043478261,43
45,research,2019-07-30,2019-08-02,44,408.0,Normal,0,1,,,Not Started,4,1,4,2024-03-31,21.73913043478261,44
46,much,2019-08-03,2019-08-13,45,690.0,Normal,0,1,,,Not Started,8,1,4,2024-03-31,19.047619047619047,45
47,garden,2019-08-14,2019-08-23,46,573.0,Normal,0,1,,,Not Started,8,1,4,2024-03-31,8.695652173913043,46
48,than,2019-08-23,2019-08-29,47,769.0,Normal,0,1,,,Not Started,5,1,4,2024-03-31,14.285714285714285,47
49,kitchen,2019-08-29,2019-09-02,48,258.0,Normal,0,1,,,Not Started,3,1,3,2024-03-31,9.090909090909092,48
50,decision,2019-09-02,2019-09-11,49,746.0,Normal,0,1,,,Not Started,8,1,1,2024-03-31,8.695652173913043,49
51,game,2019-09-11,2019-09-18,50,408.0,Normal,0,1,,,Not Started,6,1,4,2024-03-31,8.695652173913043,50
52,national,2019-09-19,2019-09-20,51,574.0,Normal,0,1,,,Not Started,2,1,3,2024-03-31,0.0,51
53,training,2019-09-20,2019-10-01,52,296.0,Normal,0,1,,,Not Started,8,1,1,2024-03-31,0.0,52
54,rich,2019-10-03,2019-10-08,53,332.0,Normal,0,1,,,Not Started,4,1,4,2024-03-31,4.545454545454546,53
55,nor,2019-10-09,2019-10-10,54,729.0,Normal,0,1,,,Not Started,2,1,4,2024-03-31,4.3478260869565215,54
56,item,2019-10-11,2019-10-22,55,286.0,Normal,0,1,,,Not Started,8,1,3,2024-03-31,4.761904761904762,55
57,strategy,2019-10-22,2019-10-29,56,705.0,Normal,0,1,,,Not Started,6,1,3,2024-03-31,8.695652173913043,56
58,edge,2019-10-30,2019-11-01,57,379.0,Normal,0,1,,,Not Started,3,1,2,2024-03-31,8.695652173913043,57
59,itself,2019-11-01,2019-11-11,58,644.0,Normal,0,1,,,Not Started,7,1,2,2024-03-31,9.523809523809524,58
60,reflect,2018-10-11,2018-10-24,,1957.0,Critical,0,1,,,Not Started,10,1,4,2024-03-31,9.090909090909092,0
61,country,2018-10-24,2018-10-30,60,533.0,Normal,0,1,,,Not Started,5,1,2,2024-03-31,17.391304347826086,1
62,lose,2018-10-31,2018-11-09,61,833.0,Normal,0,1,,,Not Started,8,1,1,2024-03-31,17.391304347826086,2
63,have,2018-11-11,2018-11-15,62,773.0,Normal,0,1,,,Not Started,5,1,2,2024-03-31,13.636363636363635,3
64,star,2018-11-16,2018-11-22,63,443.0,Normal,0,1,,,Not Started,5,1,3,2024-03-31,19.047619047619047,4
65,security,2018-11-22,2018-11-29,64,572.0,Normal,0,1,,,Not Started,6,1,1,2024-03-31,13.636363636363635,5
66,fight,2018-11-30,2018-12-04,65,656.0,Normal,0,1,,,Not Started,3,1,2,2024-03-31,19.047619047619047,6
67,gas,2018-12-05,2018-12-10,66,743.0,Normal,0,1,,,Not Started,4,1,3,2024-03-31,26.08695652173913,7
68,leave,2018-12-11,2018-12-14,67,530.0,Normal,0,1,,,Not Started,4,1,2,2024-03-31,26.08695652173913,8
69,term,2018-12-14,2018-12-18,68,555.0,Normal,0,1,,,Not Started,3,1,2,2024-03-31,23.809523809523807,9
70,country,2018-12-20,2018-12-27,69,300.0,Normal,0,1,,,Not Started,6,1,1,2024-03-31,45.45454545454545,10
71,your,2018-12-29,2019-01-03,70,281.0,Normal,0,1,,,Not Started,5,1,3,2024-03-31,47.61904761904761,11
72,institution,2019-01-03,2019-01-10,71,291.0,Normal,0,1,,,Not Started,6,1,2,2024-03-31,45.45454545454545,12
73,listen,2019-01-12,2019-01-21,72,829.0,Normal,0,1,,,Not Started,7,1,4,2024-03-31,47.61904761904761,13
74,quite,2019-01-21,2019-01-22,73,746.0,Normal,0,1,,,Not Started,2,1,3,2024-03-31,26.08695652173913,14
75,speech,2019-01-22,2019-01-30,74,499.0,Normal,0,1,,,Not Started,7,1,4,2024-03-31,26.08695652173913,15
76,small,2019-02-01,2019-02-04,75,417.0,Normal,0,1,,,Not Started,2,1,4,2024-03-31,14.285714285714285,16
77,eye,2019-02-05,2019-02-06,76,578.0,Normal,0,1,,,Not Started,2,1,3,2024-03-31,13.043478260869565,17
78,idea,2019-02-06,2019-02-14,77,350.0,Normal,0,1,,,Not Started,7,1,4,2024-03-31,8.695652173913043,18
79,food,2019-02-15,2019-02-22,78,206.0,Normal,0,1,,,Not Started,6,1,3,2024-03-31,4.761904761904762,19
80,center,2019-02-22,2019-03-04,79,356.0,Normal,0,1,,,Not Started,7,1,2,2024-03-31,4.761904761904762,20
81,throw,2019-03-05,2019-03-08,80,977.0,Normal,0,1,,,Not Started,4,1,4,2024-03-31,8.695652173913043,21
82,industry,2019-03-10,2019-03-15,81,887.0,Normal,0,1,,,Not Started,6,1,3,2024-03-31,4.545454545454546,22
83,nearly,2019-03-17,2019-03-20,82,344.0,Normal,0,1,,,Not Started,4,1,4,2024-03-31,4.545454545454546,23
84,play,2019-03-21,2019-03-29,83,848.0,Normal,0,1,,,Not Started,7,1,2,2024-03-31,4.545454545454546,24
85,third,2019-03-31,2019-04-08,84,941.0,Normal,0,1,,,Not Started,7,1,3,2024-03-31,0.0,25
86,hot,2019-04-09,2019-04-18,85,642.0,Normal,0,1,,,Not Started,8,1,1,2024-03-31,0.0,26
87,group,2019-04-19,2019-04-30,86,442.0,Normal,0,1,,,Not Started,8,1,1,2024-03-31,4.761904761904762,27
88,physical,2019-05-01,2019-05-08,87,407.0,Normal,0,1,,,Not Started,6,1,1,2024-03-31,4.3478260869565215,28
89,coach,2019-05-09,2019-05-10,88,489.0,Normal,0,1,,,Not Started,2,1,4,2024-03-31,9.090909090909092,29
90,cut,2019-05-10,2019-05-17,89,484.0,Normal,0,1,,,Not Started,6,1,3,2024-03-31,9.523809523809524,30
91,boy,2019-05-18,2019-05-24,90,572.0,Normal,0,1,,,Not Started,6,1,1,2024-03-31,9.523809523809524,31
92,similar,2019-05-26,2019-05-31,91,329.0,Normal,0,1,,,Not Started,6,1,3,2024-03-31,18.181818181818183,32
93,never,2019-06-01,2019-06-05,92,560.0,Normal,0,1,,,Not Started,4,1,2,2024-03-31,23.809523809523807,33
94,say,2019-06-07,2019-06-13,93,506.0,Normal,0,1,,,Not Started,5,1,4,2024-03-31,19.047619047619047,34
95,season,2019-06-14,2019-06-19,94,423.0,Normal,0,1,,,Not Started,4,1,1,2024-03-31,19.047619047619047,35
96,involve,2019-06-21,2019-06-24,95,615.0,Normal,0,1,,,Not Started,2,1,3,2024-03-31,14.285714285714285,36
97,respond,2019-06-25,2019-06-26,96,278.0,Normal,0,1,,,Not Started,2,1,1,2024-03-31,13.043478260869565,37
98,environmental,2019-06-26,2019-07-05,97,786.0,Normal,0,1,,,Not Started,8,1,2,2024-03-31,13.043478260869565,38
99,Mrs,2019-07-07,2019-07-16,98,586.0,Normal,0,1,,,Not Started,8,1,3,2024-03-31,13.636363636363635,39
100,doctor,2019-07-18,2019-07-26,99,874.0,Normal,0,1,,,Not Started,7,1,2,2024-03-31,22.727272727272727,40
101,suddenly,2019-07-27,2019-08-06,100,488.0,Normal,0,1,,,Not Started,8,1,4,2024-03-31,23.809523809523807,41
102,recently,2019-08-06,2019-08-08,101,828.0,Normal,0,1,,,Not Started,3,1,2,2024-03-31,17.391304347826086,42
103,group,2019-08-08,2019-08-14,102,273.0,Normal,0,1,,,Not Started,5,1,2,2024-03-31,13.636363636363635,43
104,be,2019-08-16,2019-08-19,103,526.0,Normal,0,1,,,Not Started,2,1,1,2024-03-31,4.761904761904762,44
105,as,2019-08-20,2019-08-22,104,871.0,Normal,0,1,,,Not Started,3,1,1,2024-03-31,13.043478260869565,45
106,school,2019-08-24,2019-08-28,105,277.0,Normal,0,1,,,Not Started,4,1,4,2024-03-31,9.523809523809524,46
107,science,2019-08-28,2019-09-03,106,831.0,Normal,0,1,,,Not Started,5,1,1,2024-03-31,8.695652173913043,47
108,significant,2019-09-05,2019-09-10,107,379.0,Normal,0,1,,,Not Started,4,1,1,2024-03-31,9.090909090909092,48
109,although,2019-09-12,2019-09-18,108,862.0,Normal,0,1,,,Not Started,5,1,1,2024-03-31,9.090909090909092,49
110,yet,2019-09-19,2019-09-23,109,246.0,Normal,0,1,,,Not Started,3,1,3,2024-03-31,0.0,50
111,theory,2019-09-23,2019-09-24,110,555.0,Normal,0,1,,,Not Started,2,1,4,2024-03-31,0.0,51
112,possible,2019-09-24,2019-09-30,111,832.0,Normal,0,1,,,Not Started,5,1,3,2024-03-31,0.0,52
113,leave,2019-09-30,2019-10-01,112,650.0,Normal,0,1,,,Not Started,2,1,2,2024-03-31,4.3478260869565215,53
114,stop,2019-10-02,2019-10-03,113,623.0,Normal,0,1,,,Not Started,2,1,4,2024-03-31,4.3478260869565215,54
115,claim,2019-10-04,2019-10-07,114,685.0,Normal,0,1,,,Not Started,2,1,3,2024-03-31,4.761904761904762,55
116,which,2016-03-25,2016-04-07,,1618.0,Critical,0,2,,,Not Started,10,1,6,2024-03-31,0.0,0
117,they,2016-04-09,2016-04-18,116,275.0,Normal,0,2,,,Not Started,7,1,3,2024-03-31,4.761904761904762,1
118,course,2016-04-20,2016-04-21,117,855.0,Normal,0,2,,,Not Started,2,1,3,2024-03-31,8.695652173913043,2
119,cell,2016-04-22,2016-04-25,118,591.0,Normal,0,2,,,Not Started,2,1,1,2024-03-31,9.523809523809524,3
120,debate,2016-04-26,2016-04-29,119,298.0,Normal,0,2,,,Not Started,4,1,1,2024-03-31,8.695652173913043,4
121,us,2016-05-01,2016-05-04,120,735.0,Normal,0,2,,,Not Started,4,1,3,2024-03-31,9.090909090909092,5
122,child,2016-05-05,2016-05-12,121,803.0,Normal,0,2,,,Not Started,6,1,1,2024-03-31,9.090909090909092,6
123,fine,2016-05-12,2016-05-13,122,733.0,Normal,0,2,,,Not Started,2,1,2,2024-03-31,4.545454545454546,7
124,specific,2016-05-13,2016-05-16,123,481.0,Normal,0,2,,,Not Started,2,1,3,2024-03-31,0.0,8
125,quite,2016-05-18,2016-05-24,124,596.0,Normal,0,2,,,Not Started,5,1,4,2024-03-31,21.73913043478261,9
126,television,2016-05-26,2016-05-27,125,792.0,Normal,0,2,,,Not Started,2,1,1,2024-03-31,22.727272727272727,10
127,population,2016-05-29,2016-06-07,126,786.0,Normal,0,2,,,Not Started,8,1,1,2024-03-31,27.27272727272727,11
128,weight,2016-06-09,2016-06-13,127,418.0,Normal,0,2,,,Not Started,3,1,1,2024-03-31,50.0,12
129,per,2016-06-15,2016-06-23,128,927.0,Normal,0,2,,,Not Started,7,1,2,2024-03-31,43.47826086956522,13
130,weight,2016-06-23,2016-06-27,129,491.0,Normal,0,2,,,Not Started,3,1,2,2024-03-31,45.45454545454545,14
131,address,2016-06-29,2016-07-08,130,935.0,Normal,0,2,,,Not Started,8,1,4,2024-03-31,39.130434782608695,15
132,brother,2016-07-08,2016-07-15,131,390.0,Normal,0,2,,,Not Started,6,1,1,2024-03-31,23.809523809523807,16
133,still,2016-07-17,2016-07-19,132,470.0,Normal,0,2,,,Not Started,3,1,3,2024-03-31,18.181818181818183,17
134,son,2016-07-20,2016-07-29,133,969.0,Normal,0,2,,,Not Started,8,1,3,2024-03-31,17.391304347826086,18
135,present,2016-07-29,2016-08-09,134,755.0,Normal,0,2,,,Not Started,8,1,2,2024-03-31,9.523809523809524,19
136,cover,2016-08-11,2016-08-12,135,224.0,Normal,0,2,,,Not Started,2,1,3,2024-03-31,13.636363636363635,20
137,other,2016-08-12,2016-08-19,136,988.0,Normal,0,2,,,Not Started,6,1,2,2024-03-31,14.285714285714285,21
138,heart,2016-08-19,2016-08-29,137,229.0,Normal,0,2,,,Not Started,7,1,3,2024-03-31,9.523809523809524,22
139,very,2016-08-31,2016-09-06,138,580.0,Normal,0,2,,,Not Started,5,1,2,2024-03-31,13.043478260869565,23
140,pay,2016-09-06,2016-09-07,139,977.0,Normal,0,2,,,Not Started,2,1,4,2024-03-31,13.043478260869565,24
141,nature,2016-09-08,2016-09-19,140,849.0,Normal,0,2,,,Not Started,8,1,1,2024-03-31,13.636363636363635,25
142,professional,2016-09-20,2016-09-27,141,398.0,Normal,0,2,,,Not Started,6,1,4,2024-03-31,13.043478260869565,26
143,hospital,2016-09-29,2016-10-07,142,202.0,Normal,0,2,,,Not Started,7,1,2,2024-03-31,9.090909090909092,27
144,get,2016-10-07,2016-10-14,143,442.0,Normal,0,2,,,Not Started,6,1,1,2024-03-31,0.0,28
145,follow,2016-10-14,2016-10-20,144,604.0,Normal,0,2,,,Not Started,5,1,1,2024-03-31,0.0,29
146,least,2016-10-20,2016-10-28,145,799.0,Normal,0,2,,,Not Started,7,1,2,2024-03-31,0.0,30
147,lose,2016-10-30,2016-11-01,146,926.0,Normal,0,2,,,Not Started,3,1,4,2024-03-31,0.0,31
148,quickly,2016-11-01,2016-11-04,147,314.0,Normal,0,2,,,Not Started,4,1,4,2024-03-31,0.0,32
149,writer,2016-11-04,2016-11-10,148,501.0,Normal,0,2,,,Not Started,5,1,2,2024-03-31,0.0,33
150,cup,2016-11-11,2016-11-17,149,468.0,Normal,0,2,,,Not Started,5,1,3,2024-03-31,4.761904761904762,34
151,move,2016-11-17,2016-11-22,150,228.0,Normal,0,2,,,Not Started,4,1,4,2024-03-31,9.090909090909092,35
152,floor,2016-11-22,2016-11-25,151,256.0,Normal,0,2,,,Not Started,4,1,4,2024-03-31,8.695652173913043,36
153,put,2016-11-27,2016-11-28,152,620.0,Normal,0,2,,,Not Started,2,1,1,2024-03-31,9.090909090909092,37
154,PM,2016-11-29,2016-12-06,153,739.0,Normal,0,2,,,Not Started,6,1,4,2024-03-31,8.695652173913043,38
155,sort,2016-12-07,2016-12-16,154,694.0,Normal,0,2,,,Not Started,8,1,3,2024-03-31,8.695652173913043,39
156,throw,2016-12-18,2016-12-21,155,734.0,Normal,0,2,,,Not Started,4,1,1,2024-03-31,13.636363636363635,40
157,difficult,2016-12-21,2016-12-27,156,366.0,Normal,0,2,,,Not Started,5,1,3,2024-03-31,17.391304347826086,41
158,pick,2016-12-27,2017-01-03,157,907.0,Normal,0,2,,,Not Started,6,1,3,2024-03-31,17.391304347826086,42
159,easy,2017-01-03,2017-01-12,158,565.0,Normal,0,2,,,Not Started,8,1,4,2024-03-31,17.391304347826086,43
160,spring,2017-01-14,2017-01-17,159,238.0,Normal,0,2,,,Not Started,3,1,1,2024-03-31,23.809523809523807,44
161,far,2017-01-19,2017-01-25,160,982.0,Normal,0,2,,,Not Started,5,1,4,2024-03-31,18.181818181818183,45
162,different,2017-01-26,2017-02-06,161,610.0,Normal,0,2,,,Not Started,8,1,4,2024-03-31,18.181818181818183,46
163,report,2017-02-06,2017-02-10,162,558.0,Normal,0,2,,,Not Started,5,1,3,2024-03-31,13.043478260869565,47
164,security,2017-02-10,2017-02-21,163,408.0,Normal,0,2,,,Not Started,8,1,3,2024-03-31,9.523809523809524,48
165,sit,2017-02-22,2017-03-02,164,601.0,Normal,0,2,,,Not Started,7,1,2,2024-03-31,13.043478260869565,49
166,station,2017-03-04,2017-03-09,165,910.0,Normal,0,2,,,Not Started,5,1,1,2024-03-31,14.285714285714285,50
167,town,2017-03-11,2017-03-17,166,764.0,Normal,0,2,,,Not Started,6,1,1,2024-03-31,14.285714285714285,51
168,start,2017-03-18,2017-03-27,167,607.0,Normal,0,2,,,Not Started,7,1,3,2024-03-31,9.523809523809524,52
169,page,2017-03-29,2017-04-03,168,509.0,Normal,0,2,,,Not Started,4,1,1,2024-03-31,4.3478260869565215,53
170,later,2017-04-05,2017-04-14,169,576.0,Normal,0,2,,,Not Started,8,1,3,2024-03-31,4.3478260869565215,54
171,up,2017-04-14,2017-04-25,170,694.0,Normal,0,2,,,Not Started,8,1,1,2024-03-31,9.523809523809524,55
172,west,2017-04-27,2017-05-02,171,657.0,Normal,0,2,,,Not Started,4,1,3,2024-03-31,9.090909090909092,56
173,view,2017-05-03,2017-05-04,172,923.0,Normal,0,2,,,Not Started,2,1,4,2024-03-31,21.73913043478261,57
174,top,2017-05-04,2017-05-11,173,434.0,Normal,0,2,,,Not Started,6,1,3,2024-03-31,22.727272727272727,58
175,place,2016-03-29,2016-04-12,,1521.0,Critical,0,2,,,Not Started,11,1,7,2024-03-31,0.0,0
176,attorney,2016-04-14,2016-04-15,175,806.0,Normal,0,2,,,Not Started,2,1,3,2024-03-31,9.090909090909092,1
177,scientist,2016-04-16,2016-04-25,176,549.0,Normal,0,2,,,Not Started,7,1,1,2024-03-31,9.523809523809524,2
178,first,2016-04-25,2016-05-02,177,905.0,Normal,0,2,,,Not Started,6,1,3,2024-03-31,8.695652173913043,3
179,science,2016-05-02,2016-05-10,178,333.0,Normal,0,2,,,Not Started,7,1,4,2024-03-31,8.695652173913043,4
180,local,2016-05-12,2016-05-23,179,992.0,Normal,0,2,,,Not Started,8,1,2,2024-03-31,4.545454545454546,5
181,realize,2016-05-24,2016-05-30,180,538.0,Normal,0,2,,,Not Started,5,1,4,2024-03-31,21.73913043478261,6
182,same,2016-06-01,2016-06-07,181,654.0,Normal,0,2,,,Not Started,5,1,4,2024-03-31,34.78260869565217,7
183,skill,2016-06-09,2016-06-14,182,858.0,Normal,0,2,,,Not Started,4,1,2,2024-03-31,50.0,8
184,political,2016-06-15,2016-06-24,183,251.0,Normal,0,2,,,Not Started,8,1,1,2024-03-31,43.47826086956522,9
185,send,2016-06-26,2016-06-28,184,771.0,Normal,0,2,,,Not Started,3,1,2,2024-03-31,45.45454545454545,10
186,natural,2016-06-28,2016-07-01,185,508.0,Normal,0,2,,,Not Started,4,1,4,2024-03-31,43.47826086956522,11
187,old,2016-07-03,2016-07-05,186,451.0,Normal,0,2,,,Not Started,3,1,1,2024-03-31,31.818181818181817,12
188,child,2016-07-07,2016-07-15,187,285.0,Normal,0,2,,,Not Started,7,1,3,2024-03-31,22.727272727272727,13
189,through,2016-07-15,2016-07-18,188,533.0,Normal,0,2,,,Not Started,2,1,2,2024-03-31,19.047619047619047,14
190,trial,2016-07-19,2016-07-25,189,352.0,Normal,0,2,,,Not Started,5,1,4,2024-03-31,17.391304347826086,15
191,claim,2016-07-27,2016-08-05,190,610.0,Normal,0,2,,,Not Started,8,1,4,2024-03-31,8.695652173913043,16
192,fly,2016-08-07,2016-08-09,191,936.0,Normal,0,2,,,Not Started,3,1,4,2024-03-31,13.636363636363635,17
193,space,2016-08-11,2016-08-12,192,822.0,Normal,0,2,,,Not Started,2,1,4,2024-03-31,13.636363636363635,18
194,letter,2016-08-14,2016-08-23,193,219.0,Normal,0,2,,,Not Started,8,1,2,2024-03-31,9.090909090909092,19
195,popular,2016-08-25,2016-09-02,194,897.0,Normal,0,2,,,Not Started,7,1,2,2024-03-31,9.090909090909092,20
196,class,2016-09-04,2016-09-08,195,309.0,Normal,0,2,,,Not Started,5,1,4,2024-03-31,13.636363636363635,21
197,assume,2016-09-09,2016-09-13,196,460.0,Normal,0,2,,,Not Started,3,1,1,2024-03-31,14.285714285714285,22
198,agreement,2016-09-14,2016-09-19,197,324.0,Normal,0,2,,,Not Started,4,1,2,2024-03-31,13.043478260869565,23
199,international,2016-09-19,2016-09-20,198,924.0,Normal,0,2,,,Not Started,2,1,3,2024-03-31,13.043478260869565,24
200,result,2016-09-20,2016-09-28,199,453.0,Normal,0,2,,,Not Started,7,1,1,2024-03-31,13.043478260869565,25
201,learn,2016-09-29,2016-10-10,200,574.0,Normal,0,2,,,Not Started,8,1,4,2024-03-31,9.090909090909092,26
202,generation,2016-10-12,2016-10-19,201,305.0,Normal,0,2,,,Not Started,6,1,1,2024-03-31,0.0,27
203,two,2016-10-19,2016-10-25,202,847.0,Normal,0,2,,,Not Started,5,1,3,2024-03-31,0.0,28
204,option,2016-10-25,2016-10-27,203,370.0,Normal,0,2,,,Not Started,3,1,2,2024-03-31,0.0,29
205,stand,2016-10-27,2016-10-28,204,748.0,Normal,0,2,,,Not Started,2,1,1,2024-03-31,0.0,30
206,mean,2016-10-28,2016-11-07,205,770.0,Normal,0,2,,,Not Started,7,1,1,2024-03-31,0.0,31
207,world,2016-11-08,2016-11-14,206,217.0,Normal,0,2,,,Not Started,5,1,1,2024-03-31,4.3478260869565215,32
208,buy,2016-11-15,2016-11-24,207,592.0,Normal,0,2,,,Not Started,8,1,2,2024-03-31,4.3478260869565215,33
209,middle,2016-11-26,2016-11-29,208,669.0,Normal,0,2,,,Not Started,3,1,3,2024-03-31,9.523809523809524,34
210,various,2016-11-30,2016-12-09,209,599.0,Normal,0,2,,,Not Started,8,1,4,2024-03-31,13.043478260869565,35
211,picture,2016-12-09,2016-12-16,210,493.0,Normal,0,2,,,Not Started,6,1,4,2024-03-31,9.523809523809524,36
212,turn,2016-12-18,2016-12-23,211,773.0,Normal,0,2,,,Not Started,6,1,2,2024-03-31,13.636363636363635,37
213,when,2016-12-25,2017-01-02,212,373.0,Normal,0,2,,,Not Started,7,1,2,2024-03-31,18.181818181818183,38
214,ten,2017-01-02,2017-01-05,213,616.0,Normal,0,2,,,Not Started,4,1,1,2024-03-31,17.391304347826086,39
215,government,2017-01-05,2017-01-13,214,534.0,Normal,0,2,,,Not Started,7,1,3,2024-03-31,18.181818181818183,40
216,age,2017-01-15,2017-01-24,215,514.0,Normal,0,2,,,Not Started,8,1,2,2024-03-31,22.727272727272727,41
217,agreement,2017-01-24,2017-01-25,216,505.0,Normal,0,2,,,Not Started,2,1,3,2024-03-31,17.391304347826086,42
218,cost,2017-01-27,2017-01-30,217,940.0,Normal,0,2,,,Not Started,2,1,1,2024-03-31,19.047619047619047,43
219,anyone,2017-01-30,2017-02-03,218,486.0,Normal,0,2,,,Not Started,5,1,1,2024-03-31,17.391304347826086,44
220,well,2017-02-05,2017-02-13,219,643.0,Normal,0,2,,,Not Started,7,1,4,2024-03-31,13.636363636363635,45
221,million,2017-02-13,2017-02-16,220,709.0,Normal,0,2,,,Not Started,4,1,1,2024-03-31,8.695652173913043,46
