Date,ID,Name,StartDate,EndDate,Cost,Priority,Progress,ProjectID,Status,Duration,Trade,TaskLength,IsBadWeather,WeatherAssessment,WorkDay,ActualStartDate,ActualEndDate
2018-02-02,1207,without,2018-01-29,2018-02-12,1387.0,Critical,5,11,On Progress,15,5,0,0.0,37.5,127,2018-01-29 00:00:00,2018-02-13
2018-02-02,1291,guy,2018-02-01,2018-02-16,2899.0,Critical,1,11,On Progress,16,4,0,0.0,0.0,127,2018-02-01 00:00:00,2018-02-19
2018-02-02,2996,physical,2018-01-29,2018-02-16,2777.0,Critical,4,27,On Progress,15,7,0,0.0,50.0,31,2018-01-29 00:00:00,2018-02-20
2018-02-02,3048,share,2018-02-01,2018-02-21,1279.0,Critical,2,27,On Progress,15,6,0,0.0,0.0,31,2018-02-01 00:00:00,2018-02-23
2018-02-03,1156,would,2018-01-29,2018-02-13,1269.0,Critical,6,11,On Progress,16,4,0,0.0,37.5,127,2018-01-29 00:00:00,2018-02-15
2018-02-03,1207,without,2018-01-29,2018-02-12,1387.0,Critical,6,11,On Progress,15,5,0,0.0,37.5,127,2018-01-29 00:00:00,2018-02-13
2018-02-03,1291,guy,2018-02-01,2018-02-16,2899.0,Critical,2,11,On Progress,16,4,0,0.0,0.0,127,2018-02-01 00:00:00,2018-02-19
2018-02-03,2996,physical,2018-01-29,2018-02-16,2777.0,Critical,4,27,On Progress,15,7,0,0.0,50.0,31,2018-01-29 00:00:00,2018-02-20
2018-02-03,3048,share,2018-02-01,2018-02-21,1279.0,Critical,2,27,On Progress,15,6,0,0.0,0.0,31,2018-02-01 00:00:00,2018-02-23
2018-02-04,1156,would,2018-01-29,2018-02-13,1269.0,Critical,7,11,On Progress,16,4,0,0.0,37.5,127,2018-01-29 00:00:00,2018-02-15
2018-02-04,1207,without,2018-01-29,2018-02-12,1387.0,Critical,7,11,On Progress,15,5,0,0.0,37.5,127,2018-01-29 00:00:00,2018-02-13
2018-02-04,1291,guy,2018-02-01,2018-02-16,2899.0,Critical,3,11,On Progress,16,4,0,0.0,0.0,127,2018-02-01 00:00:00,2018-02-19
2018-02-04,2996,physical,2018-01-29,2018-02-16,2777.0,Critical,4,27,On Progress,15,7,0,0.0,50.0,31,2018-01-29 00:00:00,2018-02-20
2018-02-04,3048,share,2018-02-01,2018-02-21,1279.0,Critical,2,27,On Progress,15,6,0,0.0,0.0,31,2018-02-01 00:00:00,2018-02-23
2018-02-05,1156,would,2018-01-29,2018-02-13,1269.0,Critical,8,11,On Progress,16,4,0,0.0,37.5,127,2018-01-29 00:00:00,2018-02-15
2018-02-05,1207,without,2018-01-29,2018-02-12,1387.0,Critical,8,11,On Progress,15,5,0,0.0,37.5,127,2018-01-29 00:00:00,2018-02-13
2018-02-05,1291,guy,2018-02-01,2018-02-16,2899.0,Critical,4,11,On Progress,16,4,0,0.0,0.0,127,2018-02-01 00:00:00,2018-02-19
2018-02-05,2996,physical,2018-01-29,2018-02-16,2777.0,Critical,5,27,On Progress,15,7,0,0.0,50.0,31,2018-01-29 00:00:00,2018-02-20
2018-02-05,3048,share,2018-02-01,2018-02-21,1279.0,Critical,3,27,On Progress,15,6,0,0.0,0.0,31,2018-02-01 00:00:00,2018-02-23
2018-02-06,1156,would,2018-01-29,2018-02-13,1269.0,Critical,9,11,On Progress,16,4,0,0.0,37.5,127,2018-01-29 00:00:00,2018-02-15
2018-02-06,1207,without,2018-01-29,2018-02-12,1387.0,Critical,9,11,On Progress,15,5,0,0.0,37.5,127,2018-01-29 00:00:00,2018-02-13
2018-02-06,1291,guy,2018-02-01,2018-02-16,2899.0,Critical,5,11,On Progress,16,4,0,0.0,0.0,127,2018-02-01 00:00:00,2018-02-19
2018-02-06,2996,physical,2018-01-29,2018-02-16,2777.0,Critical,6,27,On Progress,15,7,0,0.0,50.0,31,2018-01-29 00:00:00,2018-02-20
2018-02-06,3048,share,2018-02-01,2018-02-21,1279.0,Critical,4,27,On Progress,15,6,0,0.0,0.0,31,2018-02-01 00:00:00,2018-02-23
2018-02-07,1156,would,2018-01-29,2018-02-13,1269.0,Critical,9,11,On Progress,16,4,0,0.0,37.5,127,2018-01-29 00:00:00,2018-02-15
2018-02-07,1207,without,2018-01-29,2018-02-12,1387.0,Critical,10,11,On Progress,15,5,0,0.0,37.5,127,2018-01-29 00:00:00,2018-02-13
2018-02-07,1291,guy,2018-02-01,2018-02-16,2899.0,Critical,6,11,On Progress,16,4,0,0.0,0.0,127,2018-02-01 00:00:00,2018-02-19
2018-02-07,2996,physical,2018-01-29,2018-02-16,2777.0,Critical,7,27,On Progress,15,7,0,0.0,50.0,31,2018-01-29 00:00:00,2018-02-20
2018-02-07,3048,share,2018-02-01,2018-02-21,1279.0,Critical,5,27,On Progress,15,6,0,0.0,0.0,31,2018-02-01 00:00:00,2018-02-23
2018-02-08,1156,would,2018-01-29,2018-02-13,1269.0,Critical,10,11,On Progress,16,4,0,0.0,37.5,127,2018-01-29 00:00:00,2018-02-15
2018-02-08,1207,without,2018-01-29,2018-02-12,1387.0,Critical,11,11,On Progress,15,5,0,0.0,37.5,127,2018-01-29 00:00:00,2018-02-13
2018-02-08,1291,guy,2018-02-01,2018-02-16,2899.0,Critical,7,11,On Progress,16,4,0,0.0,0.0,127,2018-02-01 00:00:00,2018-02-19
2018-02-08,2996,physical,2018-01-29,2018-02-16,2777.0,Critical,8,27,On Progress,15,7,0,0.0,50.0,31,2018-01-29 00:00:00,2018-02-20
2018-02-08,3048,share,2018-02-01,2018-02-21,1279.0,Critical,5,27,On Progress,15,6,0,0.0,0.0,31,2018-02-01 00:00:00,2018-02-23
2018-02-09,1156,would,2018-01-29,2018-02-13,1269.0,Critical,10,11,On Progress,16,4,0,1.0,37.5,127,2018-01-29 00:00:00,2018-02-15
2018-02-09,1207,without,2018-01-29,2018-02-12,1387.0,Critical,12,11,On Progress,15,5,0,1.0,37.5,127,2018-01-29 00:00:00,2018-02-13
2018-02-09,1291,guy,2018-02-01,2018-02-16,2899.0,Critical,8,11,On Progress,16,4,0,1.0,0.0,127,2018-02-01 00:00:00,2018-02-19
2018-02-09,2996,physical,2018-01-29,2018-02-16,2777.0,Critical,9,27,On Progress,15,7,0,1.0,50.0,31,2018-01-29 00:00:00,2018-02-20
2018-02-09,3048,share,2018-02-01,2018-02-21,1279.0,Critical,6,27,On Progress,15,6,0,1.0,0.0,31,2018-02-01 00:00:00,2018-02-23
2018-02-10,1156,would,2018-01-29,2018-02-13,1269.0,Critical,11,11,On Progress,16,4,0,1.0,37.5,127,2018-01-29 00:00:00,2018-02-15
2018-02-10,1207,without,2018-01-29,2018-02-12,1387.0,Critical,12,11,On Progress,15,5,0,1.0,37.5,127,2018-01-29 00:00:00,2018-02-13
2018-02-10,1291,guy,2018-02-01,2018-02-16,2899.0,Critical,8,11,On Progress,16,4,0,1.0,0.0,127,2018-02-01 00:00:00,2018-02-19
2018-02-10,2996,physical,2018-01-29,2018-02-16,2777.0,Critical,9,27,On Progress,15,7,0,1.0,50.0,31,2018-01-29 00:00:00,2018-02-20
2018-02-10,3048,share,2018-02-01,2018-02-21,1279.0,Critical,6,27,On Progress,15,6,0,1.0,0.0,31,2018-02-01 00:00:00,2018-02-23
2018-02-11,1156,would,2018-01-29,2018-02-13,1269.0,Critical,12,11,On Progress,16,4,0,1.0,37.5,127,2018-01-29 00:00:00,2018-02-15
2018-02-11,1207,without,2018-01-29,2018-02-12,1387.0,Critical,13,11,On Progress,15,5,0,1.0,37.5,127,2018-01-29 00:00:00,2018-02-13
2018-02-11,1291,guy,2018-02-01,2018-02-16,2899.0,Critical,9,11,On Progress,16,4,0,1.0,0.0,127,2018-02-01 00:00:00,2018-02-19
2018-02-11,2996,physical,2018-01-29,2018-02-16,2777.0,Critical,9,27,On Progress,15,7,0,1.0,50.0,31,2018-01-29 00:00:00,2018-02-20
2018-02-11,3048,share,2018-02-01,2018-02-21,1279.0,Critical,6,27,On Progress,15,6,0,1.0,0.0,31,2018-02-01 00:00:00,2018-02-23
2018-02-12,1156,would,2018-01-29,2018-02-13,1269.0,Critical,13,11,On Progress,16,4,0,0.0,37.5,127,2018-01-29 00:00:00,2018-02-15
2018-02-12,1207,without,2018-01-29,2018-02-12,1387.0,Critical,14,11,On Progress,15,5,0,0.0,37.5,127,2018-01-29 00:00:00,2018-02-13
2018-02-12,1291,guy,2018-02-01,2018-02-16,2899.0,Critical,9,11,On Progress,16,4,0,0.0,0.0,127,2018-02-01 00:00:00,2018-02-19
2018-02-12,2996,physical,2018-01-29,2018-02-16,2777.0,Critical,9,27,On Progress,15,7,0,0.0,50.0,31,2018-01-29 00:00:00,2018-02-20
2018-02-12,3048,share,2018-02-01,2018-02-21,1279.0,Critical,7,27,On Progress,15,6,0,0.0,0.0,31,2018-02-01 00:00:00,2018-02-23
2018-02-13,1156,would,2018-01-29,2018-02-13,1269.0,Critical,14,11,On Progress,16,4,0,0.0,37.5,127,2018-01-29 00:00:00,2018-02-15
2018-02-13,1207,without,2018-01-29,2018-02-12,1387.0,Critical,15,11,Completed,15,5,0,0.0,37.5,127,2018-01-29 00:00:00,2018-02-13
2018-02-13,1291,guy,2018-02-01,2018-02-16,2899.0,Critical,10,11,On Progress,16,4,0,0.0,0.0,127,2018-02-01 00:00:00,2018-02-19
2018-02-13,2996,physical,2018-01-29,2018-02-16,2777.0,Critical,10,27,On Progress,15,7,0,0.0,50.0,31,2018-01-29 00:00:00,2018-02-20
2018-02-13,3048,share,2018-02-01,2018-02-21,1279.0,Critical,7,27,On Progress,15,6,0,0.0,0.0,31,2018-02-01 00:00:00,2018-02-23
2018-02-14,1156,would,2018-01-29,2018-02-13,1269.0,Critical,15,11,Delayed,16,4,0,1.0,37.5,127,2018-01-29 00:00:00,2018-02-15
2018-02-14,1208,travel,2018-02-14,2018-02-17,594.0,Normal,1,11,On Progress,4,4,1,1.0,25.0,127,2018-02-14 00:00:00,2018-02-18
2018-02-14,1291,guy,2018-02-01,2018-02-16,2899.0,Critical,11,11,On Progress,16,4,0,1.0,0.0,127,2018-02-01 00:00:00,2018-02-19
2018-02-14,2996,physical,2018-01-29,2018-02-16,2777.0,Critical,11,27,On Progress,15,7,0,1.0,50.0,31,2018-01-29 00:00:00,2018-02-20
2018-02-14,3048,share,2018-02-01,2018-02-21,1279.0,Critical,8,27,On Progress,15,6,0,1.0,0.0,31,2018-02-01 00:00:00,2018-02-23
2018-02-15,1156,would,2018-01-29,2018-02-13,1269.0,Critical,16,11,Completed,16,4,0,0.0,37.5,127,2018-01-29 00:00:00,2018-02-15
2018-02-15,1157,doctor,2018-02-15,2018-02-17,741.0,Normal,1,11,On Progress,3,4,1,0.0,12.5,127,2018-02-15 00:00:00,2018-02-17
2018-02-15,1208,travel,2018-02-14,2018-02-17,594.0,Normal,2,11,On Progress,4,4,1,0.0,25.0,127,2018-02-14 00:00:00,2018-02-18
2018-02-15,1291,guy,2018-02-01,2018-02-16,2899.0,Critical,12,11,On Progress,16,4,0,0.0,0.0,127,2018-02-01 00:00:00,2018-02-19
2018-02-15,2996,physical,2018-01-29,2018-02-16,2777.0,Critical,12,27,On Progress,15,7,0,0.0,50.0,31,2018-01-29 00:00:00,2018-02-20
2018-02-15,3048,share,2018-02-01,2018-02-21,1279.0,Critical,9,27,On Progress,15,6,0,0.0,0.0,31,2018-02-01 00:00:00,2018-02-23
2018-02-16,1157,doctor,2018-02-15,2018-02-17,741.0,Normal,2,11,On Progress,3,4,1,0.0,12.5,127,2018-02-15 00:00:00,2018-02-17
2018-02-16,1208,travel,2018-02-14,2018-02-17,594.0,Normal,3,11,On Progress,4,4,1,0.0,25.0,127,2018-02-14 00:00:00,2018-02-18
2018-02-16,1291,guy,2018-02-01,2018-02-16,2899.0,Critical,13,11,On Progress,16,4,0,0.0,0.0,127,2018-02-01 00:00:00,2018-02-19
2018-02-16,2996,physical,2018-01-29,2018-02-16,2777.0,Critical,13,27,On Progress,15,7,0,0.0,50.0,31,2018-01-29 00:00:00,2018-02-20
2018-02-16,3048,share,2018-02-01,2018-02-21,1279.0,Critical,10,27,On Progress,15,6,0,0.0,0.0,31,2018-02-01 00:00:00,2018-02-23
2018-02-17,1157,doctor,2018-02-15,2018-02-17,741.0,Normal,3,11,Completed,3,4,1,0.0,12.5,127,2018-02-15 00:00:00,2018-02-17
2018-02-17,1158,only,2018-02-17,2018-02-23,847.0,Normal,1,11,On Progress,7,2,2,0.0,25.0,127,2018-02-17 00:00:00,2018-02-23
2018-02-17,1208,travel,2018-02-14,2018-02-17,594.0,Normal,3,11,On Progress,4,4,1,0.0,25.0,127,2018-02-14 00:00:00,2018-02-18
2018-02-17,1291,guy,2018-02-01,2018-02-16,2899.0,Critical,14,11,Delayed,16,4,0,0.0,0.0,127,2018-02-01 00:00:00,2018-02-19
2018-02-17,2996,physical,2018-01-29,2018-02-16,2777.0,Critical,13,27,Delayed,15,7,0,0.0,50.0,31,2018-01-29 00:00:00,2018-02-20
2018-02-17,3048,share,2018-02-01,2018-02-21,1279.0,Critical,10,27,On Progress,15,6,0,0.0,0.0,31,2018-02-01 00:00:00,2018-02-23
2018-02-18,1158,only,2018-02-17,2018-02-23,847.0,Normal,2,11,On Progress,7,2,2,0.0,25.0,127,2018-02-17 00:00:00,2018-02-23
2018-02-18,1208,travel,2018-02-14,2018-02-17,594.0,Normal,4,11,Completed,4,4,1,0.0,25.0,127,2018-02-14 00:00:00,2018-02-18
2018-02-18,1209,third,2018-02-18,2018-02-24,201.0,Normal,1,11,On Progress,7,3,2,0.0,37.5,127,2018-02-18 00:00:00,2018-02-24
2018-02-18,1291,guy,2018-02-01,2018-02-16,2899.0,Critical,15,11,Delayed,16,4,0,0.0,0.0,127,2018-02-01 00:00:00,2018-02-19
2018-02-18,2996,physical,2018-01-29,2018-02-16,2777.0,Critical,13,27,Delayed,15,7,0,0.0,50.0,31,2018-01-29 00:00:00,2018-02-20
2018-02-18,3048,share,2018-02-01,2018-02-21,1279.0,Critical,10,27,On Progress,15,6,0,0.0,0.0,31,2018-02-01 00:00:00,2018-02-23
2018-02-19,1158,only,2018-02-17,2018-02-23,847.0,Normal,3,11,On Progress,7,2,2,0.0,25.0,127,2018-02-17 00:00:00,2018-02-23
2018-02-19,1209,third,2018-02-18,2018-02-24,201.0,Normal,2,11,On Progress,7,3,2,0.0,37.5,127,2018-02-18 00:00:00,2018-02-24
2018-02-19,1291,guy,2018-02-01,2018-02-16,2899.0,Critical,16,11,Completed,16,4,0,0.0,0.0,127,2018-02-01 00:00:00,2018-02-19
2018-02-19,1292,move,2018-02-18,2018-02-21,628.0,Normal,1,11,On Progress,4,4,1,0.0,37.5,127,2018-02-19 00:00:00,2018-02-22
2018-02-19,2996,physical,2018-01-29,2018-02-16,2777.0,Critical,14,27,Delayed,15,7,0,0.0,50.0,31,2018-01-29 00:00:00,2018-02-20
2018-02-19,3048,share,2018-02-01,2018-02-21,1279.0,Critical,11,27,On Progress,15,6,0,0.0,0.0,31,2018-02-01 00:00:00,2018-02-23
2018-02-20,1158,only,2018-02-17,2018-02-23,847.0,Normal,4,11,On Progress,7,2,2,1.0,25.0,127,2018-02-17 00:00:00,2018-02-23
2018-02-20,1209,third,2018-02-18,2018-02-24,201.0,Normal,3,11,On Progress,7,3,2,1.0,37.5,127,2018-02-18 00:00:00,2018-02-24
2018-02-20,1292,move,2018-02-18,2018-02-21,628.0,Normal,2,11,On Progress,4,4,1,1.0,37.5,127,2018-02-19 00:00:00,2018-02-22
2018-02-20,2996,physical,2018-01-29,2018-02-16,2777.0,Critical,15,27,Completed,15,7,0,1.0,50.0,31,2018-01-29 00:00:00,2018-02-20
2018-02-20,2997,everything,2018-02-16,2018-02-19,881.0,Critical,1,27,Delayed,2,3,1,1.0,16.666666666666664,31,2018-02-20 00:00:00,2018-02-21
2018-02-20,3048,share,2018-02-01,2018-02-21,1279.0,Critical,12,27,On Progress,15,6,0,1.0,0.0,31,2018-02-01 00:00:00,2018-02-23
2018-02-21,1158,only,2018-02-17,2018-02-23,847.0,Normal,5,11,On Progress,7,2,2,0.0,25.0,127,2018-02-17 00:00:00,2018-02-23
2018-02-21,1209,third,2018-02-18,2018-02-24,201.0,Normal,4,11,On Progress,7,3,2,0.0,37.5,127,2018-02-18 00:00:00,2018-02-24
2018-02-21,1292,move,2018-02-18,2018-02-21,628.0,Normal,3,11,On Progress,4,4,1,0.0,37.5,127,2018-02-19 00:00:00,2018-02-22
2018-02-21,2997,everything,2018-02-16,2018-02-19,881.0,Critical,2,27,Completed,2,3,1,0.0,16.666666666666664,31,2018-02-20 00:00:00,2018-02-21
2018-02-21,2998,card,2018-02-20,2018-02-26,374.0,Normal,1,27,On Progress,5,4,2,0.0,33.33333333333333,31,2018-02-21 00:00:00,2018-02-28
2018-02-21,3048,share,2018-02-01,2018-02-21,1279.0,Critical,13,27,On Progress,15,6,0,0.0,0.0,31,2018-02-01 00:00:00,2018-02-23
2018-02-22,1158,only,2018-02-17,2018-02-23,847.0,Normal,6,11,On Progress,7,2,2,0.0,25.0,127,2018-02-17 00:00:00,2018-02-23
2018-02-22,1209,third,2018-02-18,2018-02-24,201.0,Normal,5,11,On Progress,7,3,2,0.0,37.5,127,2018-02-18 00:00:00,2018-02-24
2018-02-22,1292,move,2018-02-18,2018-02-21,628.0,Normal,4,11,Completed,4,4,1,0.0,37.5,127,2018-02-19 00:00:00,2018-02-22
2018-02-22,1293,kind,2018-02-22,2018-02-23,706.0,Normal,1,11,On Progress,2,4,2,0.0,37.5,127,2018-02-22 00:00:00,2018-02-23
2018-02-22,2998,card,2018-02-20,2018-02-26,374.0,Normal,2,27,On Progress,5,4,2,0.0,33.33333333333333,31,2018-02-21 00:00:00,2018-02-28
2018-02-22,3048,share,2018-02-01,2018-02-21,1279.0,Critical,14,27,Delayed,15,6,0,0.0,0.0,31,2018-02-01 00:00:00,2018-02-23
2018-02-23,1158,only,2018-02-17,2018-02-23,847.0,Normal,7,11,Completed,7,2,2,0.0,25.0,127,2018-02-17 00:00:00,2018-02-23
2018-02-23,1209,third,2018-02-18,2018-02-24,201.0,Normal,6,11,On Progress,7,3,2,0.0,37.5,127,2018-02-18 00:00:00,2018-02-24
2018-02-23,1293,kind,2018-02-22,2018-02-23,706.0,Normal,2,11,Completed,2,4,2,0.0,37.5,127,2018-02-22 00:00:00,2018-02-23
2018-02-23,2998,card,2018-02-20,2018-02-26,374.0,Normal,3,27,On Progress,5,4,2,0.0,33.33333333333333,31,2018-02-21 00:00:00,2018-02-28
2018-02-23,3048,share,2018-02-01,2018-02-21,1279.0,Critical,15,27,Completed,15,6,0,0.0,0.0,31,2018-02-01 00:00:00,2018-02-23
2018-02-23,3049,cut,2018-02-23,2018-02-27,758.0,Normal,1,27,On Progress,3,3,1,0.0,16.666666666666664,31,2018-02-23 00:00:00,2018-02-28
2018-02-24,1209,third,2018-02-18,2018-02-24,201.0,Normal,7,11,Completed,7,3,2,1.0,37.5,127,2018-02-18 00:00:00,2018-02-24
2018-02-24,1210,tax,2018-02-24,2018-02-25,672.0,Normal,1,11,On Progress,2,1,3,1.0,37.5,127,2018-02-24 00:00:00,2018-02-25
2018-02-24,2998,card,2018-02-20,2018-02-26,374.0,Normal,3,27,On Progress,5,4,2,1.0,33.33333333333333,31,2018-02-21 00:00:00,2018-02-28
2018-02-24,3049,cut,2018-02-23,2018-02-27,758.0,Normal,1,27,On Progress,3,3,1,1.0,16.666666666666664,31,2018-02-23 00:00:00,2018-02-28
2018-02-25,1159,thing,2018-02-25,2018-02-28,783.0,Normal,0,11,On Progress,4,1,3,1.0,25.0,127,2018-02-25 00:00:00,2018-03-02
2018-02-25,1210,tax,2018-02-24,2018-02-25,672.0,Normal,2,11,Completed,2,1,3,1.0,37.5,127,2018-02-24 00:00:00,2018-02-25
2018-02-25,1211,exist,2018-02-25,2018-02-27,216.0,Normal,1,11,On Progress,3,2,4,1.0,25.0,127,2018-02-25 00:00:00,2018-02-27
2018-02-25,1294,impact,2018-02-25,2018-02-26,421.0,Normal,1,11,On Progress,2,2,3,1.0,25.0,127,2018-02-25 00:00:00,2018-02-26
2018-02-25,2998,card,2018-02-20,2018-02-26,374.0,Normal,3,27,On Progress,5,4,2,1.0,33.33333333333333,31,2018-02-21 00:00:00,2018-02-28
2018-02-25,3049,cut,2018-02-23,2018-02-27,758.0,Normal,1,27,On Progress,3,3,1,1.0,16.666666666666664,31,2018-02-23 00:00:00,2018-02-28
2018-02-26,1159,thing,2018-02-25,2018-02-28,783.0,Normal,1,11,On Progress,4,1,3,1.0,25.0,127,2018-02-25 00:00:00,2018-03-02
2018-02-26,1211,exist,2018-02-25,2018-02-27,216.0,Normal,2,11,On Progress,3,2,4,1.0,25.0,127,2018-02-25 00:00:00,2018-02-27
2018-02-26,1294,impact,2018-02-25,2018-02-26,421.0,Normal,2,11,Completed,2,2,3,1.0,25.0,127,2018-02-25 00:00:00,2018-02-26
2018-02-26,1298,learn,2018-02-26,2018-03-09,1387.0,Critical,1,12,On Progress,11,7,0,1.0,28.57142857142857,63,2018-02-26 00:00:00,2018-03-13
2018-02-26,1404,it,2018-02-26,2018-03-06,2866.0,Critical,1,12,On Progress,8,6,0,1.0,28.57142857142857,63,2018-02-26 00:00:00,2018-03-06
2018-02-26,2124,help,2018-02-26,2018-03-15,2305.0,Critical,1,19,On Progress,18,4,0,1.0,25.0,127,2018-02-26 00:00:00,2018-03-15
2018-02-26,2998,card,2018-02-20,2018-02-26,374.0,Normal,3,27,On Progress,5,4,2,1.0,33.33333333333333,31,2018-02-21 00:00:00,2018-02-28
2018-02-26,3049,cut,2018-02-23,2018-02-27,758.0,Normal,1,27,On Progress,3,3,1,1.0,16.666666666666664,31,2018-02-23 00:00:00,2018-02-28
2018-02-27,1159,thing,2018-02-25,2018-02-28,783.0,Normal,2,11,On Progress,4,1,3,0.0,25.0,127,2018-02-25 00:00:00,2018-03-02
2018-02-27,1211,exist,2018-02-25,2018-02-27,216.0,Normal,3,11,Completed,3,2,4,0.0,25.0,127,2018-02-25 00:00:00,2018-02-27
2018-02-27,1298,learn,2018-02-26,2018-03-09,1387.0,Critical,1,12,On Progress,11,7,0,0.0,28.57142857142857,63,2018-02-26 00:00:00,2018-03-13
2018-02-27,1404,it,2018-02-26,2018-03-06,2866.0,Critical,2,12,On Progress,8,6,0,0.0,28.57142857142857,63,2018-02-26 00:00:00,2018-03-06
2018-02-27,2124,help,2018-02-26,2018-03-15,2305.0,Critical,2,19,On Progress,18,4,0,0.0,25.0,127,2018-02-26 00:00:00,2018-03-15
2018-02-27,2998,card,2018-02-20,2018-02-26,374.0,Critical,4,27,Delayed,5,4,2,0.0,33.33333333333333,31,2018-02-21 00:00:00,2018-02-28
2018-02-27,3049,cut,2018-02-23,2018-02-27,758.0,Normal,2,27,On Progress,3,3,1,0.0,16.666666666666664,31,2018-02-23 00:00:00,2018-02-28
2018-02-28,1159,thing,2018-02-25,2018-02-28,783.0,Normal,2,11,On Progress,4,1,3,0.0,25.0,127,2018-02-25 00:00:00,2018-03-02
2018-02-28,1212,than,2018-02-28,2018-03-01,905.0,Normal,0,11,On Progress,2,4,5,0.0,25.0,127,2018-02-28 00:00:00,2018-03-02
2018-02-28,1295,use,2018-02-28,2018-03-05,834.0,Normal,1,11,On Progress,6,3,4,0.0,25.0,127,2018-02-28 00:00:00,2018-03-06
2018-02-28,1298,learn,2018-02-26,2018-03-09,1387.0,Critical,2,12,On Progress,11,7,0,0.0,28.57142857142857,63,2018-02-26 00:00:00,2018-03-13
2018-02-28,1351,himself,2018-02-28,2018-03-12,1789.0,Critical,1,12,On Progress,11,5,0,0.0,28.57142857142857,63,2018-02-28 00:00:00,2018-03-13
2018-02-28,1404,it,2018-02-26,2018-03-06,2866.0,Critical,3,12,On Progress,8,6,0,0.0,28.57142857142857,63,2018-02-26 00:00:00,2018-03-06
2018-02-28,2124,help,2018-02-26,2018-03-15,2305.0,Critical,3,19,On Progress,18,4,0,0.0,25.0,127,2018-02-26 00:00:00,2018-03-15
2018-02-28,2998,card,2018-02-20,2018-02-26,374.0,Critical,5,27,Completed,5,4,2,0.0,33.33333333333333,31,2018-02-21 00:00:00,2018-02-28
2018-02-28,2999,catch,2018-02-28,2018-03-08,668.0,Normal,1,27,On Progress,7,1,3,0.0,33.33333333333333,31,2018-02-28 00:00:00,2018-03-14
2018-02-28,3049,cut,2018-02-23,2018-02-27,758.0,Normal,3,27,Completed,3,3,1,0.0,16.666666666666664,31,2018-02-23 00:00:00,2018-02-28
2018-02-28,3050,sound,2018-02-27,2018-02-28,243.0,Normal,1,27,On Progress,2,3,2,0.0,16.666666666666664,31,2018-02-28 00:00:00,2018-03-02
2018-03-01,1159,thing,2018-02-25,2018-02-28,783.0,Critical,3,11,Delayed,4,1,3,0.0,25.0,127,2018-02-25 00:00:00,2018-03-02
2018-03-01,1212,than,2018-02-28,2018-03-01,905.0,Normal,1,11,On Progress,2,4,5,0.0,25.0,127,2018-02-28 00:00:00,2018-03-02
2018-03-01,1295,use,2018-02-28,2018-03-05,834.0,Normal,2,11,On Progress,6,3,4,0.0,25.0,127,2018-02-28 00:00:00,2018-03-06
