Date,ID,Name,StartDate,EndDate,Cost,Priority,Progress,ProjectID,Status,Duration,Trade,ActualStartDate,ActualEndDate
2024-03-19,40,fact,2024-03-14,2024-03-22,1805.0,Critical,5,2,On Progress,8,3,2024-03-14 00:00:00,2024-03-23
2024-03-19,94,hand,2024-03-18,2024-03-27,1128.0,Critical,2,5,On Progress,9,5,2024-03-18 00:00:00,2024-03-29
2024-03-19,145,develop,2024-03-11,2024-03-19,1478.0,Critical,8,7,Completed,8,5,2024-03-11 00:00:00,2024-03-19
2024-03-19,159,move,2024-03-14,2024-03-21,1575.0,Critical,5,7,On Progress,7,4,2024-03-14 00:00:00,2024-03-22
2024-03-19,161,read,2024-03-18,2024-03-26,1577.0,Critical,1,8,On Progress,7,3,2024-03-18 00:00:00,2024-03-27
2024-03-19,173,trial,2024-03-19,2024-04-02,1142.0,Critical,1,8,On Progress,11,4,2024-03-19 00:00:00,2024-04-02
2024-03-19,473,purpose,2024-03-11,2024-03-20,1088.0,Critical,8,19,On Progress,9,5,2024-03-11 00:00:00,2024-03-20
2024-03-19,484,conference,2024-03-11,2024-03-19,2249.0,Critical,8,19,Completed,8,4,2024-03-11 00:00:00,2024-03-19
2024-03-19,485,protect,2024-03-19,2024-03-21,406.0,Normal,0,19,On Progress,3,1,2024-03-19 00:00:00,2024-03-22
2024-03-19,583,often,2024-03-18,2024-03-29,1442.0,Critical,2,22,On Progress,12,3,2024-03-18 00:00:00,2024-03-30
2024-03-19,853,minute,2024-03-18,2024-03-26,2373.0,Critical,2,29,On Progress,9,3,2024-03-18 00:00:00,2024-03-26
2024-03-19,881,compare,2024-03-19,2024-03-30,2213.0,Critical,1,29,On Progress,12,5,2024-03-19 00:00:00,2024-03-30
2024-03-20,25,look,2024-03-11,2024-03-21,2535.0,Critical,8,2,On Progress,10,5,2024-03-11 00:00:00,2024-03-23
2024-03-20,40,fact,2024-03-14,2024-03-22,1805.0,Critical,5,2,On Progress,8,3,2024-03-14 00:00:00,2024-03-23
2024-03-20,94,hand,2024-03-18,2024-03-27,1128.0,Critical,3,5,On Progress,9,5,2024-03-18 00:00:00,2024-03-29
2024-03-20,146,represent,2024-03-20,2024-03-21,498.0,Normal,0,7,On Progress,2,1,2024-03-20 00:00:00,2024-03-22
2024-03-20,159,move,2024-03-14,2024-03-21,1575.0,Critical,5,7,On Progress,7,4,2024-03-14 00:00:00,2024-03-22
2024-03-20,161,read,2024-03-18,2024-03-26,1577.0,Critical,2,8,On Progress,7,3,2024-03-18 00:00:00,2024-03-27
2024-03-20,173,trial,2024-03-19,2024-04-02,1142.0,Critical,2,8,On Progress,11,4,2024-03-19 00:00:00,2024-04-02
2024-03-20,473,purpose,2024-03-11,2024-03-20,1088.0,Critical,9,19,Completed,9,5,2024-03-11 00:00:00,2024-03-20
2024-03-20,485,protect,2024-03-19,2024-03-21,406.0,Normal,1,19,On Progress,3,1,2024-03-19 00:00:00,2024-03-22
2024-03-20,583,often,2024-03-18,2024-03-29,1442.0,Critical,3,22,On Progress,12,3,2024-03-18 00:00:00,2024-03-30
2024-03-20,623,new,2024-03-20,2024-03-30,2461.0,Critical,1,22,On Progress,11,5,2024-03-20 00:00:00,2024-03-30
2024-03-20,853,minute,2024-03-18,2024-03-26,2373.0,Critical,3,29,On Progress,9,3,2024-03-18 00:00:00,2024-03-26
2024-03-20,867,hour,2024-03-20,2024-03-28,2239.0,Critical,1,29,On Progress,9,3,2024-03-20 00:00:00,2024-03-28
2024-03-20,881,compare,2024-03-19,2024-03-30,2213.0,Critical,2,29,On Progress,12,5,2024-03-19 00:00:00,2024-03-30
2024-03-21,25,look,2024-03-11,2024-03-21,2535.0,Critical,9,2,On Progress,10,5,2024-03-11 00:00:00,2024-03-23
2024-03-21,40,fact,2024-03-14,2024-03-22,1805.0,Critical,6,2,On Progress,8,3,2024-03-14 00:00:00,2024-03-23
2024-03-21,94,hand,2024-03-18,2024-03-27,1128.0,Critical,4,5,On Progress,9,5,2024-03-18 00:00:00,2024-03-29
2024-03-21,104,respond,2024-03-21,2024-03-28,2625.0,Critical,1,5,On Progress,7,5,2024-03-21 00:00:00,2024-03-29
2024-03-21,146,represent,2024-03-20,2024-03-21,498.0,Normal,1,7,On Progress,2,1,2024-03-20 00:00:00,2024-03-22
2024-03-21,159,move,2024-03-14,2024-03-21,1575.0,Critical,6,7,On Progress,7,4,2024-03-14 00:00:00,2024-03-22
2024-03-21,161,read,2024-03-18,2024-03-26,1577.0,Critical,3,8,On Progress,7,3,2024-03-18 00:00:00,2024-03-27
2024-03-21,173,trial,2024-03-19,2024-04-02,1142.0,Critical,3,8,On Progress,11,4,2024-03-19 00:00:00,2024-04-02
2024-03-21,474,other,2024-03-21,2024-03-22,728.0,Normal,1,19,On Progress,2,2,2024-03-21 00:00:00,2024-03-22
2024-03-21,485,protect,2024-03-19,2024-03-21,406.0,Normal,2,19,On Progress,3,1,2024-03-19 00:00:00,2024-03-22
2024-03-21,583,often,2024-03-18,2024-03-29,1442.0,Critical,4,22,On Progress,12,3,2024-03-18 00:00:00,2024-03-30
2024-03-21,603,special,2024-03-21,2024-03-27,2913.0,Critical,1,22,On Progress,7,5,2024-03-21 00:00:00,2024-03-27
2024-03-21,623,new,2024-03-20,2024-03-30,2461.0,Critical,2,22,On Progress,11,5,2024-03-20 00:00:00,2024-03-30
2024-03-21,853,minute,2024-03-18,2024-03-26,2373.0,Critical,4,29,On Progress,9,3,2024-03-18 00:00:00,2024-03-26
2024-03-21,867,hour,2024-03-20,2024-03-28,2239.0,Critical,2,29,On Progress,9,3,2024-03-20 00:00:00,2024-03-28
2024-03-21,881,compare,2024-03-19,2024-03-30,2213.0,Critical,3,29,On Progress,12,5,2024-03-19 00:00:00,2024-03-30
2024-03-22,25,look,2024-03-11,2024-03-21,2535.0,Critical,9,2,Delayed,10,5,2024-03-11 00:00:00,2024-03-23
2024-03-22,40,fact,2024-03-14,2024-03-22,1805.0,Critical,7,2,On Progress,8,3,2024-03-14 00:00:00,2024-03-23
2024-03-22,94,hand,2024-03-18,2024-03-27,1128.0,Critical,5,5,On Progress,9,5,2024-03-18 00:00:00,2024-03-29
2024-03-22,104,respond,2024-03-21,2024-03-28,2625.0,Critical,1,5,On Progress,7,5,2024-03-21 00:00:00,2024-03-29
2024-03-22,146,represent,2024-03-20,2024-03-21,498.0,Normal,2,7,Completed,2,1,2024-03-20 00:00:00,2024-03-22
2024-03-22,147,also,2024-03-21,2024-03-25,216.0,Normal,0,7,On Progress,4,2,2024-03-22 00:00:00,2024-03-27
2024-03-22,159,move,2024-03-14,2024-03-21,1575.0,Critical,7,7,Completed,7,4,2024-03-14 00:00:00,2024-03-22
2024-03-22,160,respond,2024-03-22,2024-03-26,383.0,Normal,1,7,On Progress,4,3,2024-03-22 00:00:00,2024-03-26
2024-03-22,161,read,2024-03-18,2024-03-26,1577.0,Critical,4,8,On Progress,7,3,2024-03-18 00:00:00,2024-03-27
2024-03-22,173,trial,2024-03-19,2024-04-02,1142.0,Critical,4,8,On Progress,11,4,2024-03-19 00:00:00,2024-04-02
2024-03-22,474,other,2024-03-21,2024-03-22,728.0,Normal,2,19,Completed,2,2,2024-03-21 00:00:00,2024-03-22
2024-03-22,475,will,2024-03-22,2024-03-23,675.0,Normal,1,19,On Progress,2,2,2024-03-22 00:00:00,2024-03-23
2024-03-22,485,protect,2024-03-19,2024-03-21,406.0,Normal,3,19,Completed,3,1,2024-03-19 00:00:00,2024-03-22
2024-03-22,583,often,2024-03-18,2024-03-29,1442.0,Critical,4,22,On Progress,12,3,2024-03-18 00:00:00,2024-03-30
2024-03-22,603,special,2024-03-21,2024-03-27,2913.0,Critical,2,22,On Progress,7,5,2024-03-21 00:00:00,2024-03-27
2024-03-22,623,new,2024-03-20,2024-03-30,2461.0,Critical,3,22,On Progress,11,5,2024-03-20 00:00:00,2024-03-30
2024-03-22,853,minute,2024-03-18,2024-03-26,2373.0,Critical,5,29,On Progress,9,3,2024-03-18 00:00:00,2024-03-26
2024-03-22,867,hour,2024-03-20,2024-03-28,2239.0,Critical,3,29,On Progress,9,3,2024-03-20 00:00:00,2024-03-28
2024-03-22,881,compare,2024-03-19,2024-03-30,2213.0,Critical,4,29,On Progress,12,5,2024-03-19 00:00:00,2024-03-30
2024-03-23,25,look,2024-03-11,2024-03-21,2535.0,Critical,10,2,Completed,10,5,2024-03-11 00:00:00,2024-03-23
2024-03-23,26,another,2024-03-22,2024-03-26,859.0,Normal,1,2,On Progress,4,1,2024-03-23 00:00:00,2024-03-27
2024-03-23,40,fact,2024-03-14,2024-03-22,1805.0,Critical,8,2,Completed,8,3,2024-03-14 00:00:00,2024-03-23
2024-03-23,41,plan,2024-03-22,2024-03-25,423.0,Normal,1,2,On Progress,3,3,2024-03-23 00:00:00,2024-03-28
2024-03-23,94,hand,2024-03-18,2024-03-27,1128.0,Critical,6,5,On Progress,9,5,2024-03-18 00:00:00,2024-03-29
2024-03-23,104,respond,2024-03-21,2024-03-28,2625.0,Critical,2,5,On Progress,7,5,2024-03-21 00:00:00,2024-03-29
2024-03-23,147,also,2024-03-21,2024-03-25,216.0,Normal,1,7,On Progress,4,2,2024-03-22 00:00:00,2024-03-27
2024-03-23,160,respond,2024-03-22,2024-03-26,383.0,Normal,2,7,On Progress,4,3,2024-03-22 00:00:00,2024-03-26
2024-03-23,475,will,2024-03-22,2024-03-23,675.0,Normal,2,19,Completed,2,2,2024-03-22 00:00:00,2024-03-23
2024-03-23,583,often,2024-03-18,2024-03-29,1442.0,Critical,5,22,On Progress,12,3,2024-03-18 00:00:00,2024-03-30
2024-03-23,603,special,2024-03-21,2024-03-27,2913.0,Critical,3,22,On Progress,7,5,2024-03-21 00:00:00,2024-03-27
2024-03-23,623,new,2024-03-20,2024-03-30,2461.0,Critical,4,22,On Progress,11,5,2024-03-20 00:00:00,2024-03-30
2024-03-23,853,minute,2024-03-18,2024-03-26,2373.0,Critical,6,29,On Progress,9,3,2024-03-18 00:00:00,2024-03-26
2024-03-23,867,hour,2024-03-20,2024-03-28,2239.0,Critical,4,29,On Progress,9,3,2024-03-20 00:00:00,2024-03-28
2024-03-23,881,compare,2024-03-19,2024-03-30,2213.0,Critical,5,29,On Progress,12,5,2024-03-19 00:00:00,2024-03-30
2024-03-24,583,often,2024-03-18,2024-03-29,1442.0,Critical,6,22,On Progress,12,3,2024-03-18 00:00:00,2024-03-30
2024-03-24,603,special,2024-03-21,2024-03-27,2913.0,Critical,4,22,On Progress,7,5,2024-03-21 00:00:00,2024-03-27
2024-03-24,623,new,2024-03-20,2024-03-30,2461.0,Critical,5,22,On Progress,11,5,2024-03-20 00:00:00,2024-03-30
2024-03-24,853,minute,2024-03-18,2024-03-26,2373.0,Critical,7,29,On Progress,9,3,2024-03-18 00:00:00,2024-03-26
2024-03-24,867,hour,2024-03-20,2024-03-28,2239.0,Critical,5,29,On Progress,9,3,2024-03-20 00:00:00,2024-03-28
2024-03-24,881,compare,2024-03-19,2024-03-30,2213.0,Critical,6,29,On Progress,12,5,2024-03-19 00:00:00,2024-03-30
2024-03-25,26,another,2024-03-22,2024-03-26,859.0,Normal,2,2,On Progress,4,1,2024-03-23 00:00:00,2024-03-27
2024-03-25,41,plan,2024-03-22,2024-03-25,423.0,Normal,1,2,On Progress,3,3,2024-03-23 00:00:00,2024-03-28
2024-03-25,94,hand,2024-03-18,2024-03-27,1128.0,Critical,6,5,On Progress,9,5,2024-03-18 00:00:00,2024-03-29
2024-03-25,104,respond,2024-03-21,2024-03-28,2625.0,Critical,3,5,On Progress,7,5,2024-03-21 00:00:00,2024-03-29
2024-03-25,108,produce,2024-03-25,2024-04-05,2327.0,Critical,0,6,On Progress,12,4,2024-03-25 00:00:00,2024-04-06
2024-03-25,147,also,2024-03-21,2024-03-25,216.0,Normal,2,7,On Progress,4,2,2024-03-22 00:00:00,2024-03-27
2024-03-25,160,respond,2024-03-22,2024-03-26,383.0,Normal,3,7,On Progress,4,3,2024-03-22 00:00:00,2024-03-26
2024-03-25,161,read,2024-03-18,2024-03-26,1577.0,Critical,5,8,On Progress,7,3,2024-03-18 00:00:00,2024-03-27
2024-03-25,173,trial,2024-03-19,2024-04-02,1142.0,Critical,5,8,On Progress,11,4,2024-03-19 00:00:00,2024-04-02
2024-03-25,417,television,2024-03-25,2024-04-03,2866.0,Critical,1,17,On Progress,8,5,2024-03-25 00:00:00,2024-04-05
2024-03-25,476,attorney,2024-03-24,2024-03-26,982.0,Normal,1,19,On Progress,3,3,2024-03-25 00:00:00,2024-03-28
2024-03-25,583,often,2024-03-18,2024-03-29,1442.0,Critical,7,22,On Progress,12,3,2024-03-18 00:00:00,2024-03-30
2024-03-25,603,special,2024-03-21,2024-03-27,2913.0,Critical,5,22,On Progress,7,5,2024-03-21 00:00:00,2024-03-27
2024-03-25,623,new,2024-03-20,2024-03-30,2461.0,Critical,6,22,On Progress,11,5,2024-03-20 00:00:00,2024-03-30
2024-03-25,853,minute,2024-03-18,2024-03-26,2373.0,Critical,8,29,On Progress,9,3,2024-03-18 00:00:00,2024-03-26
2024-03-25,867,hour,2024-03-20,2024-03-28,2239.0,Critical,6,29,On Progress,9,3,2024-03-20 00:00:00,2024-03-28
2024-03-25,881,compare,2024-03-19,2024-03-30,2213.0,Critical,7,29,On Progress,12,5,2024-03-19 00:00:00,2024-03-30
2024-03-26,26,another,2024-03-22,2024-03-26,859.0,Normal,3,2,On Progress,4,1,2024-03-23 00:00:00,2024-03-27
2024-03-26,41,plan,2024-03-22,2024-03-25,423.0,Critical,2,2,Delayed,3,3,2024-03-23 00:00:00,2024-03-28
2024-03-26,94,hand,2024-03-18,2024-03-27,1128.0,Critical,7,5,On Progress,9,5,2024-03-18 00:00:00,2024-03-29
2024-03-26,104,respond,2024-03-21,2024-03-28,2625.0,Critical,4,5,On Progress,7,5,2024-03-21 00:00:00,2024-03-29
2024-03-26,108,produce,2024-03-25,2024-04-05,2327.0,Critical,1,6,On Progress,12,4,2024-03-25 00:00:00,2024-04-06
2024-03-26,140,effect,2024-03-26,2024-04-05,1594.0,Critical,1,6,On Progress,11,3,2024-03-26 00:00:00,2024-04-07
2024-03-26,147,also,2024-03-21,2024-03-25,216.0,Critical,3,7,Delayed,4,2,2024-03-22 00:00:00,2024-03-27
2024-03-26,160,respond,2024-03-22,2024-03-26,383.0,Normal,4,7,Completed,4,3,2024-03-22 00:00:00,2024-03-26
2024-03-26,161,read,2024-03-18,2024-03-26,1577.0,Critical,6,8,On Progress,7,3,2024-03-18 00:00:00,2024-03-27
2024-03-26,173,trial,2024-03-19,2024-04-02,1142.0,Critical,6,8,On Progress,11,4,2024-03-19 00:00:00,2024-04-02
2024-03-26,417,television,2024-03-25,2024-04-03,2866.0,Critical,2,17,On Progress,8,5,2024-03-25 00:00:00,2024-04-05
2024-03-26,476,attorney,2024-03-24,2024-03-26,982.0,Normal,1,19,On Progress,3,3,2024-03-25 00:00:00,2024-03-28
2024-03-26,583,often,2024-03-18,2024-03-29,1442.0,Critical,8,22,On Progress,12,3,2024-03-18 00:00:00,2024-03-30
2024-03-26,603,special,2024-03-21,2024-03-27,2913.0,Critical,6,22,On Progress,7,5,2024-03-21 00:00:00,2024-03-27
2024-03-26,623,new,2024-03-20,2024-03-30,2461.0,Critical,7,22,On Progress,11,5,2024-03-20 00:00:00,2024-03-30
2024-03-26,853,minute,2024-03-18,2024-03-26,2373.0,Critical,9,29,Completed,9,3,2024-03-18 00:00:00,2024-03-26
2024-03-26,867,hour,2024-03-20,2024-03-28,2239.0,Critical,7,29,On Progress,9,3,2024-03-20 00:00:00,2024-03-28
2024-03-26,881,compare,2024-03-19,2024-03-30,2213.0,Critical,8,29,On Progress,12,5,2024-03-19 00:00:00,2024-03-30
2024-03-27,26,another,2024-03-22,2024-03-26,859.0,Normal,4,2,Completed,4,1,2024-03-23 00:00:00,2024-03-27
2024-03-27,27,you,2024-03-26,2024-03-27,794.0,Normal,1,2,On Progress,2,2,2024-03-27 00:00:00,2024-03-29
2024-03-27,41,plan,2024-03-22,2024-03-25,423.0,Critical,2,2,Delayed,3,3,2024-03-23 00:00:00,2024-03-28
2024-03-27,94,hand,2024-03-18,2024-03-27,1128.0,Critical,8,5,On Progress,9,5,2024-03-18 00:00:00,2024-03-29
2024-03-27,104,respond,2024-03-21,2024-03-28,2625.0,Critical,5,5,On Progress,7,5,2024-03-21 00:00:00,2024-03-29
2024-03-27,108,produce,2024-03-25,2024-04-05,2327.0,Critical,2,6,On Progress,12,4,2024-03-25 00:00:00,2024-04-06
2024-03-27,124,send,2024-03-27,2024-04-05,2393.0,Critical,1,6,On Progress,10,4,2024-03-27 00:00:00,2024-04-05
2024-03-27,140,effect,2024-03-26,2024-04-05,1594.0,Critical,2,6,On Progress,11,3,2024-03-26 00:00:00,2024-04-07
2024-03-27,147,also,2024-03-21,2024-03-25,216.0,Critical,4,7,Completed,4,2,2024-03-22 00:00:00,2024-03-27
2024-03-27,148,mouth,2024-03-25,2024-03-26,976.0,Critical,1,7,Delayed,2,3,2024-03-27 00:00:00,2024-03-28
2024-03-27,161,read,2024-03-18,2024-03-26,1577.0,Critical,7,8,Completed,7,3,2024-03-18 00:00:00,2024-03-27
2024-03-27,162,through,2024-03-27,2024-03-28,217.0,Normal,1,8,On Progress,2,1,2024-03-27 00:00:00,2024-03-28
2024-03-27,173,trial,2024-03-19,2024-04-02,1142.0,Critical,7,8,On Progress,11,4,2024-03-19 00:00:00,2024-04-02
2024-03-27,417,television,2024-03-25,2024-04-03,2866.0,Critical,2,17,On Progress,8,5,2024-03-25 00:00:00,2024-04-05
2024-03-27,435,increase,2024-03-27,2024-04-05,1205.0,Critical,1,17,On Progress,8,3,2024-03-27 00:00:00,2024-04-05
2024-03-27,476,attorney,2024-03-24,2024-03-26,982.0,Critical,2,19,Delayed,3,3,2024-03-25 00:00:00,2024-03-28
2024-03-27,583,often,2024-03-18,2024-03-29,1442.0,Critical,9,22,On Progress,12,3,2024-03-18 00:00:00,2024-03-30
2024-03-27,603,special,2024-03-21,2024-03-27,2913.0,Critical,7,22,Completed,7,5,2024-03-21 00:00:00,2024-03-27
2024-03-27,623,new,2024-03-20,2024-03-30,2461.0,Critical,8,22,On Progress,11,5,2024-03-20 00:00:00,2024-03-30
2024-03-27,867,hour,2024-03-20,2024-03-28,2239.0,Critical,8,29,On Progress,9,3,2024-03-20 00:00:00,2024-03-28
2024-03-27,881,compare,2024-03-19,2024-03-30,2213.0,Critical,9,29,On Progress,12,5,2024-03-19 00:00:00,2024-03-30
2024-03-28,27,you,2024-03-26,2024-03-27,794.0,Critical,1,2,Delayed,2,2,2024-03-27 00:00:00,2024-03-29
2024-03-28,41,plan,2024-03-22,2024-03-25,423.0,Critical,3,2,Completed,3,3,2024-03-23 00:00:00,2024-03-28
2024-03-28,42,democratic,2024-03-26,2024-03-28,383.0,Normal,1,2,On Progress,3,1,2024-03-28 00:00:00,2024-03-30
2024-03-28,94,hand,2024-03-18,2024-03-27,1128.0,Critical,8,5,Delayed,9,5,2024-03-18 00:00:00,2024-03-29
2024-03-28,104,respond,2024-03-21,2024-03-28,2625.0,Critical,6,5,On Progress,7,5,2024-03-21 00:00:00,2024-03-29
2024-03-28,108,produce,2024-03-25,2024-04-05,2327.0,Critical,3,6,On Progress,12,4,2024-03-25 00:00:00,2024-04-06
2024-03-28,124,send,2024-03-27,2024-04-05,2393.0,Critical,2,6,On Progress,10,4,2024-03-27 00:00:00,2024-04-05
2024-03-28,140,effect,2024-03-26,2024-04-05,1594.0,Critical,3,6,On Progress,11,3,2024-03-26 00:00:00,2024-04-07
2024-03-28,148,mouth,2024-03-25,2024-03-26,976.0,Critical,2,7,Completed,2,3,2024-03-27 00:00:00,2024-03-28
2024-03-28,149,bill,2024-03-27,2024-03-29,536.0,Normal,1,7,On Progress,3,3,2024-03-28 00:00:00,2024-04-01
2024-03-28,162,through,2024-03-27,2024-03-28,217.0,Normal,2,8,Completed,2,1,2024-03-27 00:00:00,2024-03-28
2024-03-28,163,drive,2024-03-28,2024-04-02,223.0,Normal,1,8,On Progress,4,1,2024-03-28 00:00:00,2024-04-02
2024-03-28,173,trial,2024-03-19,2024-04-02,1142.0,Critical,8,8,On Progress,11,4,2024-03-19 00:00:00,2024-04-02
2024-03-28,417,television,2024-03-25,2024-04-03,2866.0,Critical,3,17,On Progress,8,5,2024-03-25 00:00:00,2024-04-05
2024-03-28,435,increase,2024-03-27,2024-04-05,1205.0,Critical,2,17,On Progress,8,3,2024-03-27 00:00:00,2024-04-05
2024-03-28,476,attorney,2024-03-24,2024-03-26,982.0,Critical,3,19,Completed,3,3,2024-03-25 00:00:00,2024-03-28
2024-03-28,477,clear,2024-03-28,2024-03-29,219.0,Normal,0,19,On Progress,2,2,2024-03-28 00:00:00,2024-03-30
2024-03-28,583,often,2024-03-18,2024-03-29,1442.0,Critical,10,22,On Progress,12,3,2024-03-18 00:00:00,2024-03-30
2024-03-28,623,new,2024-03-20,2024-03-30,2461.0,Critical,9,22,On Progress,11,5,2024-03-20 00:00:00,2024-03-30
2024-03-28,854,important,2024-03-28,2024-03-29,523.0,Normal,1,29,On Progress,2,2,2024-03-28 00:00:00,2024-03-29
2024-03-28,867,hour,2024-03-20,2024-03-28,2239.0,Critical,9,29,Completed,9,3,2024-03-20 00:00:00,2024-03-28
2024-03-28,881,compare,2024-03-19,2024-03-30,2213.0,Critical,10,29,On Progress,12,5,2024-03-19 00:00:00,2024-03-30
2024-03-29,27,you,2024-03-26,2024-03-27,794.0,Critical,2,2,Completed,2,2,2024-03-27 00:00:00,2024-03-29
2024-03-29,28,quality,2024-03-28,2024-03-30,361.0,Normal,1,2,On Progress,3,2,2024-03-29 00:00:00,2024-04-01
2024-03-29,42,democratic,2024-03-26,2024-03-28,383.0,Critical,2,2,Delayed,3,1,2024-03-28 00:00:00,2024-03-30
2024-03-29,94,hand,2024-03-18,2024-03-27,1128.0,Critical,9,5,Completed,9,5,2024-03-18 00:00:00,2024-03-29
