Date,ID,Name,StartDate,EndDate,Cost,Priority,Progress,ProjectID,Status,Duration,Trade,IsBadWeather,WeatherAssessment,ActualStartDate,ActualEndDate
2020-01-22,299,must,2020-01-20,2020-01-29,2486.0,Critical,3,10,On Progress,8,5,0,12.5,2020-01-20 00:00:00,2020-01-29
2020-01-23,66,entire,2020-01-20,2020-01-29,2418.0,Critical,4,3,On Progress,10,5,1,10.0,2020-01-20 00:00:00,2020-01-29
2020-01-23,78,enough,2020-01-23,2020-02-01,1730.0,Critical,1,3,On Progress,10,5,1,40.0,2020-01-23 00:00:00,2020-02-02
2020-01-23,88,arrive,2020-01-20,2020-01-29,1154.0,Critical,3,4,On Progress,10,3,1,10.0,2020-01-20 00:00:00,2020-02-01
2020-01-23,102,away,2020-01-20,2020-01-30,2402.0,Critical,4,4,On Progress,11,5,1,18.181818181818183,2020-01-20 00:00:00,2020-01-31
2020-01-23,116,your,2020-01-20,2020-01-31,2325.0,Critical,3,4,On Progress,12,3,1,25.0,2020-01-20 00:00:00,2020-02-03
2020-01-23,283,simple,2020-01-20,2020-01-29,1389.0,Critical,4,10,On Progress,8,5,1,12.5,2020-01-20 00:00:00,2020-01-29
2020-01-23,299,must,2020-01-20,2020-01-29,2486.0,Critical,4,10,On Progress,8,5,1,12.5,2020-01-20 00:00:00,2020-01-29
2020-01-24,66,entire,2020-01-20,2020-01-29,2418.0,Critical,5,3,On Progress,10,5,0,10.0,2020-01-20 00:00:00,2020-01-29
2020-01-24,78,enough,2020-01-23,2020-02-01,1730.0,Critical,2,3,On Progress,10,5,0,40.0,2020-01-23 00:00:00,2020-02-02
2020-01-24,88,arrive,2020-01-20,2020-01-29,1154.0,Critical,4,4,On Progress,10,3,0,10.0,2020-01-20 00:00:00,2020-02-01
2020-01-24,102,away,2020-01-20,2020-01-30,2402.0,Critical,5,4,On Progress,11,5,0,18.181818181818183,2020-01-20 00:00:00,2020-01-31
2020-01-24,116,your,2020-01-20,2020-01-31,2325.0,Critical,4,4,On Progress,12,3,0,25.0,2020-01-20 00:00:00,2020-02-03
2020-01-24,283,simple,2020-01-20,2020-01-29,1389.0,Critical,5,10,On Progress,8,5,0,12.5,2020-01-20 00:00:00,2020-01-29
2020-01-24,299,must,2020-01-20,2020-01-29,2486.0,Critical,5,10,On Progress,8,5,0,12.5,2020-01-20 00:00:00,2020-01-29
2020-01-25,66,entire,2020-01-20,2020-01-29,2418.0,Critical,6,3,On Progress,10,5,0,10.0,2020-01-20 00:00:00,2020-01-29
2020-01-25,78,enough,2020-01-23,2020-02-01,1730.0,Critical,3,3,On Progress,10,5,0,40.0,2020-01-23 00:00:00,2020-02-02
2020-01-25,88,arrive,2020-01-20,2020-01-29,1154.0,Critical,5,4,On Progress,10,3,0,10.0,2020-01-20 00:00:00,2020-02-01
2020-01-25,102,away,2020-01-20,2020-01-30,2402.0,Critical,5,4,On Progress,11,5,0,18.181818181818183,2020-01-20 00:00:00,2020-01-31
2020-01-25,116,your,2020-01-20,2020-01-31,2325.0,Critical,5,4,On Progress,12,3,0,25.0,2020-01-20 00:00:00,2020-02-03
2020-01-26,66,entire,2020-01-20,2020-01-29,2418.0,Critical,7,3,On Progress,10,5,0,10.0,2020-01-20 00:00:00,2020-01-29
2020-01-26,78,enough,2020-01-23,2020-02-01,1730.0,Critical,4,3,On Progress,10,5,0,40.0,2020-01-23 00:00:00,2020-02-02
2020-01-26,88,arrive,2020-01-20,2020-01-29,1154.0,Critical,6,4,On Progress,10,3,0,10.0,2020-01-20 00:00:00,2020-02-01
2020-01-26,102,away,2020-01-20,2020-01-30,2402.0,Critical,6,4,On Progress,11,5,0,18.181818181818183,2020-01-20 00:00:00,2020-01-31
2020-01-26,116,your,2020-01-20,2020-01-31,2325.0,Critical,6,4,On Progress,12,3,0,25.0,2020-01-20 00:00:00,2020-02-03
2020-01-27,1,shoulder,2020-01-27,2020-02-11,2241.0,Critical,1,1,On Progress,12,3,0,25.0,2020-01-27 00:00:00,2020-02-11
2020-01-27,43,may,2020-01-27,2020-02-03,2879.0,Critical,1,1,On Progress,6,5,0,33.33333333333333,2020-01-27 00:00:00,2020-02-04
2020-01-27,66,entire,2020-01-20,2020-01-29,2418.0,Critical,8,3,On Progress,10,5,0,10.0,2020-01-20 00:00:00,2020-01-29
2020-01-27,78,enough,2020-01-23,2020-02-01,1730.0,Critical,5,3,On Progress,10,5,0,40.0,2020-01-23 00:00:00,2020-02-02
2020-01-27,88,arrive,2020-01-20,2020-01-29,1154.0,Critical,7,4,On Progress,10,3,0,10.0,2020-01-20 00:00:00,2020-02-01
2020-01-27,102,away,2020-01-20,2020-01-30,2402.0,Critical,7,4,On Progress,11,5,0,18.181818181818183,2020-01-20 00:00:00,2020-01-31
2020-01-27,116,your,2020-01-20,2020-01-31,2325.0,Critical,7,4,On Progress,12,3,0,25.0,2020-01-20 00:00:00,2020-02-03
2020-01-27,234,cup,2020-01-27,2020-02-04,2864.0,Critical,1,8,On Progress,8,4,0,37.5,2020-01-27 00:00:00,2020-02-05
2020-01-27,253,magazine,2020-01-27,2020-02-11,2101.0,Critical,0,9,On Progress,12,4,0,25.0,2020-01-27 00:00:00,2020-02-13
2020-01-27,271,themselves,2020-01-27,2020-02-07,1551.0,Critical,1,9,On Progress,10,4,0,20.0,2020-01-27 00:00:00,2020-02-07
2020-01-27,283,simple,2020-01-20,2020-01-29,1389.0,Critical,6,10,On Progress,8,5,0,12.5,2020-01-20 00:00:00,2020-01-29
2020-01-27,299,must,2020-01-20,2020-01-29,2486.0,Critical,6,10,On Progress,8,5,0,12.5,2020-01-20 00:00:00,2020-01-29
2020-01-28,1,shoulder,2020-01-27,2020-02-11,2241.0,Critical,2,1,On Progress,12,3,0,25.0,2020-01-27 00:00:00,2020-02-11
2020-01-28,22,quality,2020-01-28,2020-02-12,2580.0,Critical,1,1,On Progress,12,4,0,25.0,2020-01-28 00:00:00,2020-02-17
2020-01-28,43,may,2020-01-27,2020-02-03,2879.0,Critical,2,1,On Progress,6,5,0,33.33333333333333,2020-01-27 00:00:00,2020-02-04
2020-01-28,66,entire,2020-01-20,2020-01-29,2418.0,Critical,9,3,On Progress,10,5,0,10.0,2020-01-20 00:00:00,2020-01-29
2020-01-28,78,enough,2020-01-23,2020-02-01,1730.0,Critical,6,3,On Progress,10,5,0,40.0,2020-01-23 00:00:00,2020-02-02
2020-01-28,88,arrive,2020-01-20,2020-01-29,1154.0,Critical,8,4,On Progress,10,3,0,10.0,2020-01-20 00:00:00,2020-02-01
2020-01-28,102,away,2020-01-20,2020-01-30,2402.0,Critical,8,4,On Progress,11,5,0,18.181818181818183,2020-01-20 00:00:00,2020-01-31
2020-01-28,116,your,2020-01-20,2020-01-31,2325.0,Critical,8,4,On Progress,12,3,0,25.0,2020-01-20 00:00:00,2020-02-03
2020-01-28,234,cup,2020-01-27,2020-02-04,2864.0,Critical,2,8,On Progress,8,4,0,37.5,2020-01-27 00:00:00,2020-02-05
2020-01-28,253,magazine,2020-01-27,2020-02-11,2101.0,Critical,1,9,On Progress,12,4,0,25.0,2020-01-27 00:00:00,2020-02-13
2020-01-28,271,themselves,2020-01-27,2020-02-07,1551.0,Critical,2,9,On Progress,10,4,0,20.0,2020-01-27 00:00:00,2020-02-07
2020-01-28,283,simple,2020-01-20,2020-01-29,1389.0,Critical,7,10,On Progress,8,5,0,12.5,2020-01-20 00:00:00,2020-01-29
2020-01-28,299,must,2020-01-20,2020-01-29,2486.0,Critical,7,10,On Progress,8,5,0,12.5,2020-01-20 00:00:00,2020-01-29
2020-01-29,1,shoulder,2020-01-27,2020-02-11,2241.0,Critical,3,1,On Progress,12,3,0,25.0,2020-01-27 00:00:00,2020-02-11
2020-01-29,22,quality,2020-01-28,2020-02-12,2580.0,Critical,2,1,On Progress,12,4,0,25.0,2020-01-28 00:00:00,2020-02-17
2020-01-29,43,may,2020-01-27,2020-02-03,2879.0,Critical,3,1,On Progress,6,5,0,33.33333333333333,2020-01-27 00:00:00,2020-02-04
2020-01-29,66,entire,2020-01-20,2020-01-29,2418.0,Critical,10,3,Completed,10,5,0,10.0,2020-01-20 00:00:00,2020-01-29
2020-01-29,67,particularly,2020-01-29,2020-01-31,898.0,Normal,1,3,On Progress,3,2,0,66.66666666666666,2020-01-29 00:00:00,2020-01-31
2020-01-29,78,enough,2020-01-23,2020-02-01,1730.0,Critical,7,3,On Progress,10,5,0,40.0,2020-01-23 00:00:00,2020-02-02
2020-01-29,88,arrive,2020-01-20,2020-01-29,1154.0,Critical,9,4,On Progress,10,3,0,10.0,2020-01-20 00:00:00,2020-02-01
2020-01-29,102,away,2020-01-20,2020-01-30,2402.0,Critical,9,4,On Progress,11,5,0,18.181818181818183,2020-01-20 00:00:00,2020-01-31
2020-01-29,116,your,2020-01-20,2020-01-31,2325.0,Critical,8,4,On Progress,12,3,0,25.0,2020-01-20 00:00:00,2020-02-03
2020-01-29,234,cup,2020-01-27,2020-02-04,2864.0,Critical,3,8,On Progress,8,4,0,37.5,2020-01-27 00:00:00,2020-02-05
2020-01-29,253,magazine,2020-01-27,2020-02-11,2101.0,Critical,2,9,On Progress,12,4,0,25.0,2020-01-27 00:00:00,2020-02-13
2020-01-29,271,themselves,2020-01-27,2020-02-07,1551.0,Critical,3,9,On Progress,10,4,0,20.0,2020-01-27 00:00:00,2020-02-07
2020-01-29,283,simple,2020-01-20,2020-01-29,1389.0,Critical,8,10,Completed,8,5,0,12.5,2020-01-20 00:00:00,2020-01-29
2020-01-29,284,kind,2020-01-29,2020-02-04,921.0,Normal,1,10,On Progress,5,2,0,40.0,2020-01-29 00:00:00,2020-02-05
2020-01-29,299,must,2020-01-20,2020-01-29,2486.0,Critical,8,10,Completed,8,5,0,12.5,2020-01-20 00:00:00,2020-01-29
2020-01-30,1,shoulder,2020-01-27,2020-02-11,2241.0,Critical,4,1,On Progress,12,3,1,25.0,2020-01-27 00:00:00,2020-02-11
2020-01-30,22,quality,2020-01-28,2020-02-12,2580.0,Critical,2,1,On Progress,12,4,1,25.0,2020-01-28 00:00:00,2020-02-17
2020-01-30,43,may,2020-01-27,2020-02-03,2879.0,Critical,4,1,On Progress,6,5,1,33.33333333333333,2020-01-27 00:00:00,2020-02-04
2020-01-30,67,particularly,2020-01-29,2020-01-31,898.0,Normal,2,3,On Progress,3,2,1,66.66666666666666,2020-01-29 00:00:00,2020-01-31
2020-01-30,78,enough,2020-01-23,2020-02-01,1730.0,Critical,7,3,On Progress,10,5,1,40.0,2020-01-23 00:00:00,2020-02-02
2020-01-30,88,arrive,2020-01-20,2020-01-29,1154.0,Critical,9,4,Delayed,10,3,1,10.0,2020-01-20 00:00:00,2020-02-01
2020-01-30,102,away,2020-01-20,2020-01-30,2402.0,Critical,10,4,On Progress,11,5,1,18.181818181818183,2020-01-20 00:00:00,2020-01-31
2020-01-30,116,your,2020-01-20,2020-01-31,2325.0,Critical,8,4,On Progress,12,3,1,25.0,2020-01-20 00:00:00,2020-02-03
2020-01-30,234,cup,2020-01-27,2020-02-04,2864.0,Critical,4,8,On Progress,8,4,1,37.5,2020-01-27 00:00:00,2020-02-05
2020-01-30,245,easy,2020-01-30,2020-02-12,1921.0,Critical,1,8,On Progress,12,4,1,33.33333333333333,2020-01-30 00:00:00,2020-02-13
2020-01-30,253,magazine,2020-01-27,2020-02-11,2101.0,Critical,3,9,On Progress,12,4,1,25.0,2020-01-27 00:00:00,2020-02-13
2020-01-30,271,themselves,2020-01-27,2020-02-07,1551.0,Critical,4,9,On Progress,10,4,1,20.0,2020-01-27 00:00:00,2020-02-07
2020-01-30,284,kind,2020-01-29,2020-02-04,921.0,Normal,1,10,On Progress,5,2,1,40.0,2020-01-29 00:00:00,2020-02-05
2020-01-30,300,offer,2020-01-30,2020-01-31,725.0,Normal,1,10,On Progress,2,2,1,100.0,2020-01-30 00:00:00,2020-02-04
2020-01-31,1,shoulder,2020-01-27,2020-02-11,2241.0,Critical,5,1,On Progress,12,3,1,25.0,2020-01-27 00:00:00,2020-02-11
2020-01-31,22,quality,2020-01-28,2020-02-12,2580.0,Critical,3,1,On Progress,12,4,1,25.0,2020-01-28 00:00:00,2020-02-17
2020-01-31,43,may,2020-01-27,2020-02-03,2879.0,Critical,4,1,On Progress,6,5,1,33.33333333333333,2020-01-27 00:00:00,2020-02-04
2020-01-31,67,particularly,2020-01-29,2020-01-31,898.0,Normal,3,3,Completed,3,2,1,66.66666666666666,2020-01-29 00:00:00,2020-01-31
2020-01-31,78,enough,2020-01-23,2020-02-01,1730.0,Critical,8,3,On Progress,10,5,1,40.0,2020-01-23 00:00:00,2020-02-02
2020-01-31,88,arrive,2020-01-20,2020-01-29,1154.0,Critical,9,4,Delayed,10,3,1,10.0,2020-01-20 00:00:00,2020-02-01
2020-01-31,102,away,2020-01-20,2020-01-30,2402.0,Critical,11,4,Completed,11,5,1,18.181818181818183,2020-01-20 00:00:00,2020-01-31
2020-01-31,116,your,2020-01-20,2020-01-31,2325.0,Critical,9,4,On Progress,12,3,1,25.0,2020-01-20 00:00:00,2020-02-03
2020-01-31,234,cup,2020-01-27,2020-02-04,2864.0,Critical,5,8,On Progress,8,4,1,37.5,2020-01-27 00:00:00,2020-02-05
2020-01-31,245,easy,2020-01-30,2020-02-12,1921.0,Critical,2,8,On Progress,12,4,1,33.33333333333333,2020-01-30 00:00:00,2020-02-13
2020-01-31,253,magazine,2020-01-27,2020-02-11,2101.0,Critical,4,9,On Progress,12,4,1,25.0,2020-01-27 00:00:00,2020-02-13
2020-01-31,271,themselves,2020-01-27,2020-02-07,1551.0,Critical,5,9,On Progress,10,4,1,20.0,2020-01-27 00:00:00,2020-02-07
2020-01-31,284,kind,2020-01-29,2020-02-04,921.0,Normal,2,10,On Progress,5,2,1,40.0,2020-01-29 00:00:00,2020-02-05
2020-01-31,300,offer,2020-01-30,2020-01-31,725.0,Normal,1,10,On Progress,2,2,1,100.0,2020-01-30 00:00:00,2020-02-04
2020-02-01,68,best,2020-02-01,2020-02-04,615.0,Normal,0,3,On Progress,4,3,1,25.0,2020-02-01 00:00:00,2020-02-05
2020-02-01,78,enough,2020-01-23,2020-02-01,1730.0,Critical,9,3,On Progress,10,5,1,40.0,2020-01-23 00:00:00,2020-02-02
2020-02-01,88,arrive,2020-01-20,2020-01-29,1154.0,Critical,10,4,Completed,10,3,1,10.0,2020-01-20 00:00:00,2020-02-01
2020-02-01,89,society,2020-01-30,2020-02-02,230.0,Normal,1,4,On Progress,4,3,1,75.0,2020-02-01 00:00:00,2020-02-04
2020-02-01,103,tree,2020-02-01,2020-02-05,235.0,Normal,1,4,On Progress,5,2,1,20.0,2020-02-01 00:00:00,2020-02-05
2020-02-01,116,your,2020-01-20,2020-01-31,2325.0,Critical,10,4,Delayed,12,3,1,25.0,2020-01-20 00:00:00,2020-02-03
2020-02-01,234,cup,2020-01-27,2020-02-04,2864.0,Critical,6,8,On Progress,8,4,1,37.5,2020-01-27 00:00:00,2020-02-05
2020-02-01,245,easy,2020-01-30,2020-02-12,1921.0,Critical,3,8,On Progress,12,4,1,33.33333333333333,2020-01-30 00:00:00,2020-02-13
2020-02-02,68,best,2020-02-01,2020-02-04,615.0,Normal,1,3,On Progress,4,3,0,25.0,2020-02-01 00:00:00,2020-02-05
2020-02-02,78,enough,2020-01-23,2020-02-01,1730.0,Critical,10,3,Completed,10,5,0,40.0,2020-01-23 00:00:00,2020-02-02
2020-02-02,79,but,2020-02-01,2020-02-02,337.0,Normal,1,3,On Progress,2,3,0,50.0,2020-02-02 00:00:00,2020-02-03
2020-02-02,89,society,2020-01-30,2020-02-02,230.0,Normal,2,4,On Progress,4,3,0,75.0,2020-02-01 00:00:00,2020-02-04
2020-02-02,103,tree,2020-02-01,2020-02-05,235.0,Normal,2,4,On Progress,5,2,0,20.0,2020-02-01 00:00:00,2020-02-05
2020-02-02,116,your,2020-01-20,2020-01-31,2325.0,Critical,11,4,Delayed,12,3,0,25.0,2020-01-20 00:00:00,2020-02-03
2020-02-03,1,shoulder,2020-01-27,2020-02-11,2241.0,Critical,6,1,On Progress,12,3,0,25.0,2020-01-27 00:00:00,2020-02-11
2020-02-03,22,quality,2020-01-28,2020-02-12,2580.0,Critical,4,1,On Progress,12,4,0,25.0,2020-01-28 00:00:00,2020-02-17
2020-02-03,43,may,2020-01-27,2020-02-03,2879.0,Critical,5,1,On Progress,6,5,0,33.33333333333333,2020-01-27 00:00:00,2020-02-04
2020-02-03,68,best,2020-02-01,2020-02-04,615.0,Normal,2,3,On Progress,4,3,0,25.0,2020-02-01 00:00:00,2020-02-05
2020-02-03,79,but,2020-02-01,2020-02-02,337.0,Normal,2,3,Completed,2,3,0,50.0,2020-02-02 00:00:00,2020-02-03
2020-02-03,80,college,2020-02-02,2020-02-05,894.0,Normal,1,3,On Progress,4,3,0,0.0,2020-02-03 00:00:00,2020-02-07
2020-02-03,89,society,2020-01-30,2020-02-02,230.0,Critical,3,4,Delayed,4,3,0,75.0,2020-02-01 00:00:00,2020-02-04
2020-02-03,103,tree,2020-02-01,2020-02-05,235.0,Normal,3,4,On Progress,5,2,0,20.0,2020-02-01 00:00:00,2020-02-05
2020-02-03,116,your,2020-01-20,2020-01-31,2325.0,Critical,12,4,Completed,12,3,0,25.0,2020-01-20 00:00:00,2020-02-03
2020-02-03,117,which,2020-01-31,2020-02-02,547.0,Critical,1,4,Delayed,3,1,0,66.66666666666666,2020-02-03 00:00:00,2020-02-06
2020-02-03,234,cup,2020-01-27,2020-02-04,2864.0,Critical,7,8,On Progress,8,4,0,37.5,2020-01-27 00:00:00,2020-02-05
2020-02-03,245,easy,2020-01-30,2020-02-12,1921.0,Critical,4,8,On Progress,12,4,0,33.33333333333333,2020-01-30 00:00:00,2020-02-13
2020-02-03,253,magazine,2020-01-27,2020-02-11,2101.0,Critical,4,9,On Progress,12,4,0,25.0,2020-01-27 00:00:00,2020-02-13
2020-02-03,271,themselves,2020-01-27,2020-02-07,1551.0,Critical,6,9,On Progress,10,4,0,20.0,2020-01-27 00:00:00,2020-02-07
2020-02-03,284,kind,2020-01-29,2020-02-04,921.0,Normal,3,10,On Progress,5,2,0,40.0,2020-01-29 00:00:00,2020-02-05
2020-02-03,300,offer,2020-01-30,2020-01-31,725.0,Critical,1,10,Delayed,2,2,0,100.0,2020-01-30 00:00:00,2020-02-04
2020-02-04,1,shoulder,2020-01-27,2020-02-11,2241.0,Critical,7,1,On Progress,12,3,0,25.0,2020-01-27 00:00:00,2020-02-11
2020-02-04,22,quality,2020-01-28,2020-02-12,2580.0,Critical,4,1,On Progress,12,4,0,25.0,2020-01-28 00:00:00,2020-02-17
2020-02-04,43,may,2020-01-27,2020-02-03,2879.0,Critical,6,1,Completed,6,5,0,33.33333333333333,2020-01-27 00:00:00,2020-02-04
2020-02-04,68,best,2020-02-01,2020-02-04,615.0,Normal,3,3,On Progress,4,3,0,25.0,2020-02-01 00:00:00,2020-02-05
2020-02-04,80,college,2020-02-02,2020-02-05,894.0,Normal,1,3,On Progress,4,3,0,0.0,2020-02-03 00:00:00,2020-02-07
2020-02-04,89,society,2020-01-30,2020-02-02,230.0,Critical,4,4,Completed,4,3,0,75.0,2020-02-01 00:00:00,2020-02-04
2020-02-04,90,successful,2020-02-03,2020-02-06,357.0,Normal,1,4,On Progress,4,3,0,0.0,2020-02-04 00:00:00,2020-02-07
2020-02-04,103,tree,2020-02-01,2020-02-05,235.0,Normal,4,4,On Progress,5,2,0,20.0,2020-02-01 00:00:00,2020-02-05
2020-02-04,117,which,2020-01-31,2020-02-02,547.0,Critical,2,4,Delayed,3,1,0,66.66666666666666,2020-02-03 00:00:00,2020-02-06
2020-02-04,234,cup,2020-01-27,2020-02-04,2864.0,Critical,7,8,On Progress,8,4,0,37.5,2020-01-27 00:00:00,2020-02-05
2020-02-04,245,easy,2020-01-30,2020-02-12,1921.0,Critical,5,8,On Progress,12,4,0,33.33333333333333,2020-01-30 00:00:00,2020-02-13
2020-02-04,253,magazine,2020-01-27,2020-02-11,2101.0,Critical,5,9,On Progress,12,4,0,25.0,2020-01-27 00:00:00,2020-02-13
2020-02-04,271,themselves,2020-01-27,2020-02-07,1551.0,Critical,7,9,On Progress,10,4,0,20.0,2020-01-27 00:00:00,2020-02-07
2020-02-04,284,kind,2020-01-29,2020-02-04,921.0,Normal,4,10,On Progress,5,2,0,40.0,2020-01-29 00:00:00,2020-02-05
2020-02-04,300,offer,2020-01-30,2020-01-31,725.0,Critical,2,10,Completed,2,2,0,100.0,2020-01-30 00:00:00,2020-02-04
2020-02-04,301,stage,2020-01-31,2020-02-05,370.0,Normal,1,10,On Progress,4,1,0,25.0,2020-02-04 00:00:00,2020-02-10
2020-02-05,1,shoulder,2020-01-27,2020-02-11,2241.0,Critical,8,1,On Progress,12,3,0,25.0,2020-01-27 00:00:00,2020-02-11
2020-02-05,22,quality,2020-01-28,2020-02-12,2580.0,Critical,5,1,On Progress,12,4,0,25.0,2020-01-28 00:00:00,2020-02-17
2020-02-05,44,manage,2020-02-05,2020-02-11,200.0,Normal,0,1,On Progress,5,1,0,20.0,2020-02-05 00:00:00,2020-02-12
2020-02-05,68,best,2020-02-01,2020-02-04,615.0,Normal,4,3,Completed,4,3,0,25.0,2020-02-01 00:00:00,2020-02-05
2020-02-05,80,college,2020-02-02,2020-02-05,894.0,Normal,2,3,On Progress,4,3,0,0.0,2020-02-03 00:00:00,2020-02-07
2020-02-05,90,successful,2020-02-03,2020-02-06,357.0,Normal,2,4,On Progress,4,3,0,0.0,2020-02-04 00:00:00,2020-02-07
2020-02-05,103,tree,2020-02-01,2020-02-05,235.0,Normal,5,4,Completed,5,2,0,20.0,2020-02-01 00:00:00,2020-02-05
2020-02-05,104,hospital,2020-02-05,2020-02-06,589.0,Normal,1,4,On Progress,2,3,0,0.0,2020-02-05 00:00:00,2020-02-06
2020-02-05,117,which,2020-01-31,2020-02-02,547.0,Critical,2,4,Delayed,3,1,0,66.66666666666666,2020-02-03 00:00:00,2020-02-06
2020-02-05,234,cup,2020-01-27,2020-02-04,2864.0,Critical,8,8,Completed,8,4,0,37.5,2020-01-27 00:00:00,2020-02-05
2020-02-05,245,easy,2020-01-30,2020-02-12,1921.0,Critical,6,8,On Progress,12,4,0,33.33333333333333,2020-01-30 00:00:00,2020-02-13
2020-02-05,253,magazine,2020-01-27,2020-02-11,2101.0,Critical,6,9,On Progress,12,4,0,25.0,2020-01-27 00:00:00,2020-02-13
2020-02-05,271,themselves,2020-01-27,2020-02-07,1551.0,Critical,8,9,On Progress,10,4,0,20.0,2020-01-27 00:00:00,2020-02-07
2020-02-05,284,kind,2020-01-29,2020-02-04,921.0,Normal,5,10,Completed,5,2,0,40.0,2020-01-29 00:00:00,2020-02-05
2020-02-05,301,stage,2020-01-31,2020-02-05,370.0,Normal,1,10,On Progress,4,1,0,25.0,2020-02-04 00:00:00,2020-02-10
2020-02-06,1,shoulder,2020-01-27,2020-02-11,2241.0,Critical,9,1,On Progress,12,3,0,25.0,2020-01-27 00:00:00,2020-02-11
2020-02-06,22,quality,2020-01-28,2020-02-12,2580.0,Critical,6,1,On Progress,12,4,0,25.0,2020-01-28 00:00:00,2020-02-17
2020-02-06,44,manage,2020-02-05,2020-02-11,200.0,Normal,1,1,On Progress,5,1,0,20.0,2020-02-05 00:00:00,2020-02-12
2020-02-06,69,operation,2020-02-06,2020-02-08,935.0,Normal,1,3,On Progress,3,3,0,0.0,2020-02-06 00:00:00,2020-02-08
2020-02-06,80,college,2020-02-02,2020-02-05,894.0,Critical,3,3,Delayed,4,3,0,0.0,2020-02-03 00:00:00,2020-02-07
2020-02-06,90,successful,2020-02-03,2020-02-06,357.0,Normal,3,4,On Progress,4,3,0,0.0,2020-02-04 00:00:00,2020-02-07
2020-02-06,104,hospital,2020-02-05,2020-02-06,589.0,Normal,2,4,Completed,2,3,0,0.0,2020-02-05 00:00:00,2020-02-06
2020-02-06,117,which,2020-01-31,2020-02-02,547.0,Critical,3,4,Completed,3,1,0,66.66666666666666,2020-02-03 00:00:00,2020-02-06
2020-02-06,118,right,2020-02-04,2020-02-07,895.0,Normal,1,4,On Progress,4,3,0,0.0,2020-02-06 00:00:00,2020-02-10
2020-02-06,235,nearly,2020-02-06,2020-02-07,643.0,Normal,1,8,On Progress,2,3,0,0.0,2020-02-06 00:00:00,2020-02-07
2020-02-06,245,easy,2020-01-30,2020-02-12,1921.0,Critical,7,8,On Progress,12,4,0,33.33333333333333,2020-01-30 00:00:00,2020-02-13
2020-02-06,253,magazine,2020-01-27,2020-02-11,2101.0,Critical,7,9,On Progress,12,4,0,25.0,2020-01-27 00:00:00,2020-02-13
2020-02-06,271,themselves,2020-01-27,2020-02-07,1551.0,Critical,9,9,On Progress,10,4,0,20.0,2020-01-27 00:00:00,2020-02-07
2020-02-06,285,think,2020-02-06,2020-02-07,908.0,Normal,1,10,On Progress,2,1,0,0.0,2020-02-06 00:00:00,2020-02-07
2020-02-06,301,stage,2020-01-31,2020-02-05,370.0,Critical,2,10,Delayed,4,1,0,25.0,2020-02-04 00:00:00,2020-02-10
