Date,ID,Name,StartDate,EndDate,Cost,Priority,Progress,ProjectID,Status,Duration,Trade,TaskLength,IsBadWeather,WeatherAssessment,ActualStartDate,ActualEndDate
2018-08-18,1411,section,2018-08-13,2018-09-14,1359.0,Critical,6,4,On Progress,29,7,0,0,25.925925925925924,2018-08-13 00:00:00,2018-09-15
2018-08-18,1551,reach,2018-08-15,2018-08-25,2672.0,Critical,4,4,On Progress,10,4,0,0,25.925925925925924,2018-08-15 00:00:00,2018-08-27
2018-08-18,1691,strategy,2018-08-13,2018-09-01,2279.0,Critical,5,4,On Progress,18,6,0,0,25.925925925925924,2018-08-13 00:00:00,2018-09-04
2018-08-20,1411,section,2018-08-13,2018-09-14,1359.0,Critical,7,4,On Progress,29,7,0,1,25.925925925925924,2018-08-13 00:00:00,2018-09-15
2018-08-20,1551,reach,2018-08-15,2018-08-25,2672.0,Critical,5,4,On Progress,10,4,0,1,25.925925925925924,2018-08-15 00:00:00,2018-08-27
2018-08-20,1691,strategy,2018-08-13,2018-09-01,2279.0,Critical,5,4,On Progress,18,6,0,1,25.925925925925924,2018-08-13 00:00:00,2018-09-04
2018-08-20,2701,marriage,2018-08-13,2018-09-06,2173.0,Critical,6,8,On Progress,19,6,0,1,30.434782608695656,2018-08-13 00:00:00,2018-09-12
2018-08-20,2839,name,2018-08-16,2018-09-21,1513.0,Critical,3,8,On Progress,27,7,0,1,31.818181818181817,2018-08-16 00:00:00,2018-09-25
2018-08-20,2977,itself,2018-08-15,2018-09-24,1375.0,Critical,3,8,On Progress,29,7,0,1,30.434782608695656,2018-08-15 00:00:00,2018-09-27
2018-08-20,3361,area,2018-08-13,2018-09-04,1325.0,Critical,6,10,On Progress,17,3,0,1,30.434782608695656,2018-08-13 00:00:00,2018-09-07
2018-08-20,3526,capital,2018-08-13,2018-08-28,1761.0,Critical,5,10,On Progress,12,7,0,1,30.434782608695656,2018-08-13 00:00:00,2018-08-31
2018-08-20,3691,reality,2018-08-16,2018-08-31,1767.0,Critical,3,10,On Progress,12,7,0,1,31.818181818181817,2018-08-16 00:00:00,2018-09-04
2018-08-21,1411,section,2018-08-13,2018-09-14,1359.0,Critical,8,4,On Progress,29,7,0,0,25.925925925925924,2018-08-13 00:00:00,2018-09-15
2018-08-21,1551,reach,2018-08-15,2018-08-25,2672.0,Critical,5,4,On Progress,10,4,0,0,25.925925925925924,2018-08-15 00:00:00,2018-08-27
2018-08-21,1691,strategy,2018-08-13,2018-09-01,2279.0,Critical,6,4,On Progress,18,6,0,0,25.925925925925924,2018-08-13 00:00:00,2018-09-04
2018-08-21,2701,marriage,2018-08-13,2018-09-06,2173.0,Critical,7,8,On Progress,19,6,0,0,30.434782608695656,2018-08-13 00:00:00,2018-09-12
2018-08-21,2839,name,2018-08-16,2018-09-21,1513.0,Critical,4,8,On Progress,27,7,0,0,31.818181818181817,2018-08-16 00:00:00,2018-09-25
2018-08-21,2977,itself,2018-08-15,2018-09-24,1375.0,Critical,4,8,On Progress,29,7,0,0,30.434782608695656,2018-08-15 00:00:00,2018-09-27
2018-08-21,3361,area,2018-08-13,2018-09-04,1325.0,Critical,7,10,On Progress,17,3,0,0,30.434782608695656,2018-08-13 00:00:00,2018-09-07
2018-08-21,3526,capital,2018-08-13,2018-08-28,1761.0,Critical,5,10,On Progress,12,7,0,0,30.434782608695656,2018-08-13 00:00:00,2018-08-31
2018-08-21,3691,reality,2018-08-16,2018-08-31,1767.0,Critical,4,10,On Progress,12,7,0,0,31.818181818181817,2018-08-16 00:00:00,2018-09-04
2018-08-22,1411,section,2018-08-13,2018-09-14,1359.0,Critical,9,4,On Progress,29,7,0,0,25.925925925925924,2018-08-13 00:00:00,2018-09-15
2018-08-22,1551,reach,2018-08-15,2018-08-25,2672.0,Critical,6,4,On Progress,10,4,0,0,25.925925925925924,2018-08-15 00:00:00,2018-08-27
2018-08-22,1691,strategy,2018-08-13,2018-09-01,2279.0,Critical,7,4,On Progress,18,6,0,0,25.925925925925924,2018-08-13 00:00:00,2018-09-04
2018-08-22,2701,marriage,2018-08-13,2018-09-06,2173.0,Critical,8,8,On Progress,19,6,0,0,30.434782608695656,2018-08-13 00:00:00,2018-09-12
2018-08-22,2839,name,2018-08-16,2018-09-21,1513.0,Critical,5,8,On Progress,27,7,0,0,31.818181818181817,2018-08-16 00:00:00,2018-09-25
2018-08-22,2977,itself,2018-08-15,2018-09-24,1375.0,Critical,5,8,On Progress,29,7,0,0,30.434782608695656,2018-08-15 00:00:00,2018-09-27
2018-08-22,3361,area,2018-08-13,2018-09-04,1325.0,Critical,8,10,On Progress,17,3,0,0,30.434782608695656,2018-08-13 00:00:00,2018-09-07
2018-08-22,3526,capital,2018-08-13,2018-08-28,1761.0,Critical,5,10,On Progress,12,7,0,0,30.434782608695656,2018-08-13 00:00:00,2018-08-31
2018-08-22,3691,reality,2018-08-16,2018-08-31,1767.0,Critical,5,10,On Progress,12,7,0,0,31.818181818181817,2018-08-16 00:00:00,2018-09-04
2018-08-23,1411,section,2018-08-13,2018-09-14,1359.0,Critical,10,4,On Progress,29,7,0,0,25.925925925925924,2018-08-13 00:00:00,2018-09-15
2018-08-23,1551,reach,2018-08-15,2018-08-25,2672.0,Critical,7,4,On Progress,10,4,0,0,25.925925925925924,2018-08-15 00:00:00,2018-08-27
2018-08-23,1691,strategy,2018-08-13,2018-09-01,2279.0,Critical,8,4,On Progress,18,6,0,0,25.925925925925924,2018-08-13 00:00:00,2018-09-04
2018-08-23,2701,marriage,2018-08-13,2018-09-06,2173.0,Critical,9,8,On Progress,19,6,0,0,30.434782608695656,2018-08-13 00:00:00,2018-09-12
2018-08-23,2839,name,2018-08-16,2018-09-21,1513.0,Critical,6,8,On Progress,27,7,0,0,31.818181818181817,2018-08-16 00:00:00,2018-09-25
2018-08-23,2977,itself,2018-08-15,2018-09-24,1375.0,Critical,6,8,On Progress,29,7,0,0,30.434782608695656,2018-08-15 00:00:00,2018-09-27
2018-08-23,3361,area,2018-08-13,2018-09-04,1325.0,Critical,9,10,On Progress,17,3,0,0,30.434782608695656,2018-08-13 00:00:00,2018-09-07
2018-08-23,3526,capital,2018-08-13,2018-08-28,1761.0,Critical,6,10,On Progress,12,7,0,0,30.434782608695656,2018-08-13 00:00:00,2018-08-31
2018-08-23,3691,reality,2018-08-16,2018-08-31,1767.0,Critical,6,10,On Progress,12,7,0,0,31.818181818181817,2018-08-16 00:00:00,2018-09-04
2018-08-24,1411,section,2018-08-13,2018-09-14,1359.0,Critical,11,4,On Progress,29,7,0,0,25.925925925925924,2018-08-13 00:00:00,2018-09-15
2018-08-24,1551,reach,2018-08-15,2018-08-25,2672.0,Critical,8,4,On Progress,10,4,0,0,25.925925925925924,2018-08-15 00:00:00,2018-08-27
2018-08-24,1691,strategy,2018-08-13,2018-09-01,2279.0,Critical,9,4,On Progress,18,6,0,0,25.925925925925924,2018-08-13 00:00:00,2018-09-04
2018-08-24,2701,marriage,2018-08-13,2018-09-06,2173.0,Critical,10,8,On Progress,19,6,0,0,30.434782608695656,2018-08-13 00:00:00,2018-09-12
2018-08-24,2839,name,2018-08-16,2018-09-21,1513.0,Critical,7,8,On Progress,27,7,0,0,31.818181818181817,2018-08-16 00:00:00,2018-09-25
2018-08-24,2977,itself,2018-08-15,2018-09-24,1375.0,Critical,7,8,On Progress,29,7,0,0,30.434782608695656,2018-08-15 00:00:00,2018-09-27
2018-08-24,3361,area,2018-08-13,2018-09-04,1325.0,Critical,10,10,On Progress,17,3,0,0,30.434782608695656,2018-08-13 00:00:00,2018-09-07
2018-08-24,3526,capital,2018-08-13,2018-08-28,1761.0,Critical,7,10,On Progress,12,7,0,0,30.434782608695656,2018-08-13 00:00:00,2018-08-31
2018-08-24,3691,reality,2018-08-16,2018-08-31,1767.0,Critical,7,10,On Progress,12,7,0,0,31.818181818181817,2018-08-16 00:00:00,2018-09-04
2018-08-25,1411,section,2018-08-13,2018-09-14,1359.0,Critical,11,4,On Progress,29,7,0,0,25.925925925925924,2018-08-13 00:00:00,2018-09-15
2018-08-25,1551,reach,2018-08-15,2018-08-25,2672.0,Critical,9,4,On Progress,10,4,0,0,25.925925925925924,2018-08-15 00:00:00,2018-08-27
2018-08-25,1691,strategy,2018-08-13,2018-09-01,2279.0,Critical,10,4,On Progress,18,6,0,0,25.925925925925924,2018-08-13 00:00:00,2018-09-04
2018-08-27,1411,section,2018-08-13,2018-09-14,1359.0,Critical,12,4,On Progress,29,7,0,0,25.925925925925924,2018-08-13 00:00:00,2018-09-15
2018-08-27,1551,reach,2018-08-15,2018-08-25,2672.0,Critical,10,4,Completed,10,4,0,0,25.925925925925924,2018-08-15 00:00:00,2018-08-27
2018-08-27,1552,stuff,2018-08-25,2018-08-28,865.0,Normal,1,4,On Progress,3,1,1,0,19.230769230769234,2018-08-27 00:00:00,2018-08-29
2018-08-27,1691,strategy,2018-08-13,2018-09-01,2279.0,Critical,11,4,On Progress,18,6,0,0,25.925925925925924,2018-08-13 00:00:00,2018-09-04
2018-08-27,2701,marriage,2018-08-13,2018-09-06,2173.0,Critical,11,8,On Progress,19,6,0,0,30.434782608695656,2018-08-13 00:00:00,2018-09-12
2018-08-27,2839,name,2018-08-16,2018-09-21,1513.0,Critical,8,8,On Progress,27,7,0,0,31.818181818181817,2018-08-16 00:00:00,2018-09-25
2018-08-27,2977,itself,2018-08-15,2018-09-24,1375.0,Critical,8,8,On Progress,29,7,0,0,30.434782608695656,2018-08-15 00:00:00,2018-09-27
2018-08-27,3361,area,2018-08-13,2018-09-04,1325.0,Critical,11,10,On Progress,17,3,0,0,30.434782608695656,2018-08-13 00:00:00,2018-09-07
2018-08-27,3526,capital,2018-08-13,2018-08-28,1761.0,Critical,8,10,On Progress,12,7,0,0,30.434782608695656,2018-08-13 00:00:00,2018-08-31
2018-08-27,3691,reality,2018-08-16,2018-08-31,1767.0,Critical,8,10,On Progress,12,7,0,0,31.818181818181817,2018-08-16 00:00:00,2018-09-04
2018-08-28,1411,section,2018-08-13,2018-09-14,1359.0,Critical,13,4,On Progress,29,7,0,0,25.925925925925924,2018-08-13 00:00:00,2018-09-15
2018-08-28,1552,stuff,2018-08-25,2018-08-28,865.0,Normal,2,4,On Progress,3,1,1,0,19.230769230769234,2018-08-27 00:00:00,2018-08-29
2018-08-28,1691,strategy,2018-08-13,2018-09-01,2279.0,Critical,12,4,On Progress,18,6,0,0,25.925925925925924,2018-08-13 00:00:00,2018-09-04
2018-08-28,2701,marriage,2018-08-13,2018-09-06,2173.0,Critical,12,8,On Progress,19,6,0,0,30.434782608695656,2018-08-13 00:00:00,2018-09-12
2018-08-28,2839,name,2018-08-16,2018-09-21,1513.0,Critical,9,8,On Progress,27,7,0,0,31.818181818181817,2018-08-16 00:00:00,2018-09-25
2018-08-28,2977,itself,2018-08-15,2018-09-24,1375.0,Critical,9,8,On Progress,29,7,0,0,30.434782608695656,2018-08-15 00:00:00,2018-09-27
2018-08-28,3361,area,2018-08-13,2018-09-04,1325.0,Critical,12,10,On Progress,17,3,0,0,30.434782608695656,2018-08-13 00:00:00,2018-09-07
2018-08-28,3526,capital,2018-08-13,2018-08-28,1761.0,Critical,9,10,On Progress,12,7,0,0,30.434782608695656,2018-08-13 00:00:00,2018-08-31
2018-08-28,3691,reality,2018-08-16,2018-08-31,1767.0,Critical,9,10,On Progress,12,7,0,0,31.818181818181817,2018-08-16 00:00:00,2018-09-04
2018-08-29,1411,section,2018-08-13,2018-09-14,1359.0,Critical,14,4,On Progress,29,7,0,1,25.925925925925924,2018-08-13 00:00:00,2018-09-15
2018-08-29,1552,stuff,2018-08-25,2018-08-28,865.0,Normal,3,4,Completed,3,1,1,1,19.230769230769234,2018-08-27 00:00:00,2018-08-29
2018-08-29,1553,price,2018-08-29,2018-09-05,352.0,Normal,1,4,On Progress,7,1,2,1,18.51851851851852,2018-08-29 00:00:00,2018-09-07
2018-08-29,1691,strategy,2018-08-13,2018-09-01,2279.0,Critical,13,4,On Progress,18,6,0,1,25.925925925925924,2018-08-13 00:00:00,2018-09-04
2018-08-29,2701,marriage,2018-08-13,2018-09-06,2173.0,Critical,12,8,On Progress,19,6,0,1,30.434782608695656,2018-08-13 00:00:00,2018-09-12
2018-08-29,2839,name,2018-08-16,2018-09-21,1513.0,Critical,10,8,On Progress,27,7,0,1,31.818181818181817,2018-08-16 00:00:00,2018-09-25
2018-08-29,2977,itself,2018-08-15,2018-09-24,1375.0,Critical,9,8,On Progress,29,7,0,1,30.434782608695656,2018-08-15 00:00:00,2018-09-27
2018-08-29,3361,area,2018-08-13,2018-09-04,1325.0,Critical,12,10,On Progress,17,3,0,1,30.434782608695656,2018-08-13 00:00:00,2018-09-07
2018-08-29,3526,capital,2018-08-13,2018-08-28,1761.0,Critical,10,10,Delayed,12,7,0,1,30.434782608695656,2018-08-13 00:00:00,2018-08-31
2018-08-29,3691,reality,2018-08-16,2018-08-31,1767.0,Critical,9,10,On Progress,12,7,0,1,31.818181818181817,2018-08-16 00:00:00,2018-09-04
2018-08-30,1411,section,2018-08-13,2018-09-14,1359.0,Critical,15,4,On Progress,29,7,0,1,25.925925925925924,2018-08-13 00:00:00,2018-09-15
2018-08-30,1553,price,2018-08-29,2018-09-05,352.0,Normal,1,4,On Progress,7,1,2,1,18.51851851851852,2018-08-29 00:00:00,2018-09-07
2018-08-30,1691,strategy,2018-08-13,2018-09-01,2279.0,Critical,14,4,On Progress,18,6,0,1,25.925925925925924,2018-08-13 00:00:00,2018-09-04
2018-08-30,2701,marriage,2018-08-13,2018-09-06,2173.0,Critical,12,8,On Progress,19,6,0,1,30.434782608695656,2018-08-13 00:00:00,2018-09-12
2018-08-30,2839,name,2018-08-16,2018-09-21,1513.0,Critical,11,8,On Progress,27,7,0,1,31.818181818181817,2018-08-16 00:00:00,2018-09-25
2018-08-30,2977,itself,2018-08-15,2018-09-24,1375.0,Critical,10,8,On Progress,29,7,0,1,30.434782608695656,2018-08-15 00:00:00,2018-09-27
2018-08-30,3361,area,2018-08-13,2018-09-04,1325.0,Critical,13,10,On Progress,17,3,0,1,30.434782608695656,2018-08-13 00:00:00,2018-09-07
2018-08-30,3526,capital,2018-08-13,2018-08-28,1761.0,Critical,11,10,Delayed,12,7,0,1,30.434782608695656,2018-08-13 00:00:00,2018-08-31
2018-08-30,3691,reality,2018-08-16,2018-08-31,1767.0,Critical,9,10,On Progress,12,7,0,1,31.818181818181817,2018-08-16 00:00:00,2018-09-04
2018-08-31,1411,section,2018-08-13,2018-09-14,1359.0,Critical,16,4,On Progress,29,7,0,1,25.925925925925924,2018-08-13 00:00:00,2018-09-15
2018-08-31,1553,price,2018-08-29,2018-09-05,352.0,Normal,1,4,On Progress,7,1,2,1,18.51851851851852,2018-08-29 00:00:00,2018-09-07
2018-08-31,1691,strategy,2018-08-13,2018-09-01,2279.0,Critical,15,4,On Progress,18,6,0,1,25.925925925925924,2018-08-13 00:00:00,2018-09-04
2018-08-31,2701,marriage,2018-08-13,2018-09-06,2173.0,Critical,12,8,On Progress,19,6,0,1,30.434782608695656,2018-08-13 00:00:00,2018-09-12
2018-08-31,2839,name,2018-08-16,2018-09-21,1513.0,Critical,12,8,On Progress,27,7,0,1,31.818181818181817,2018-08-16 00:00:00,2018-09-25
2018-08-31,2977,itself,2018-08-15,2018-09-24,1375.0,Critical,11,8,On Progress,29,7,0,1,30.434782608695656,2018-08-15 00:00:00,2018-09-27
2018-08-31,3361,area,2018-08-13,2018-09-04,1325.0,Critical,14,10,On Progress,17,3,0,1,30.434782608695656,2018-08-13 00:00:00,2018-09-07
2018-08-31,3526,capital,2018-08-13,2018-08-28,1761.0,Critical,12,10,Completed,12,7,0,1,30.434782608695656,2018-08-13 00:00:00,2018-08-31
2018-08-31,3527,when,2018-08-28,2018-08-30,814.0,Critical,1,10,Delayed,3,3,1,1,21.73913043478261,2018-08-31 00:00:00,2018-09-04
2018-08-31,3691,reality,2018-08-16,2018-08-31,1767.0,Critical,10,10,On Progress,12,7,0,1,31.818181818181817,2018-08-16 00:00:00,2018-09-04
2018-09-01,1411,section,2018-08-13,2018-09-14,1359.0,Critical,17,4,On Progress,29,7,0,0,25.925925925925924,2018-08-13 00:00:00,2018-09-15
2018-09-01,1553,price,2018-08-29,2018-09-05,352.0,Normal,2,4,On Progress,7,1,2,0,18.51851851851852,2018-08-29 00:00:00,2018-09-07
2018-09-01,1691,strategy,2018-08-13,2018-09-01,2279.0,Critical,16,4,On Progress,18,6,0,0,25.925925925925924,2018-08-13 00:00:00,2018-09-04
2018-09-03,1411,section,2018-08-13,2018-09-14,1359.0,Critical,18,4,On Progress,29,7,0,0,25.925925925925924,2018-08-13 00:00:00,2018-09-15
2018-09-03,1553,price,2018-08-29,2018-09-05,352.0,Normal,3,4,On Progress,7,1,2,0,18.51851851851852,2018-08-29 00:00:00,2018-09-07
2018-09-03,1691,strategy,2018-08-13,2018-09-01,2279.0,Critical,17,4,Delayed,18,6,0,0,25.925925925925924,2018-08-13 00:00:00,2018-09-04
2018-09-03,2701,marriage,2018-08-13,2018-09-06,2173.0,Critical,13,8,On Progress,19,6,0,0,30.434782608695656,2018-08-13 00:00:00,2018-09-12
2018-09-03,2839,name,2018-08-16,2018-09-21,1513.0,Critical,13,8,On Progress,27,7,0,0,31.818181818181817,2018-08-16 00:00:00,2018-09-25
2018-09-03,2977,itself,2018-08-15,2018-09-24,1375.0,Critical,12,8,On Progress,29,7,0,0,30.434782608695656,2018-08-15 00:00:00,2018-09-27
2018-09-03,3361,area,2018-08-13,2018-09-04,1325.0,Critical,14,10,On Progress,17,3,0,0,30.434782608695656,2018-08-13 00:00:00,2018-09-07
2018-09-03,3527,when,2018-08-28,2018-08-30,814.0,Critical,2,10,Delayed,3,3,1,0,21.73913043478261,2018-08-31 00:00:00,2018-09-04
2018-09-03,3691,reality,2018-08-16,2018-08-31,1767.0,Critical,11,10,Delayed,12,7,0,0,31.818181818181817,2018-08-16 00:00:00,2018-09-04
2018-09-04,1411,section,2018-08-13,2018-09-14,1359.0,Critical,19,4,On Progress,29,7,0,0,25.925925925925924,2018-08-13 00:00:00,2018-09-15
2018-09-04,1553,price,2018-08-29,2018-09-05,352.0,Normal,4,4,On Progress,7,1,2,0,18.51851851851852,2018-08-29 00:00:00,2018-09-07
2018-09-04,1691,strategy,2018-08-13,2018-09-01,2279.0,Critical,18,4,Completed,18,6,0,0,25.925925925925924,2018-08-13 00:00:00,2018-09-04
2018-09-04,1692,subject,2018-09-02,2018-09-10,954.0,Normal,1,4,On Progress,8,1,1,0,7.6923076923076925,2018-09-04 00:00:00,2018-09-13
2018-09-04,2701,marriage,2018-08-13,2018-09-06,2173.0,Critical,13,8,On Progress,19,6,0,0,30.434782608695656,2018-08-13 00:00:00,2018-09-12
2018-09-04,2839,name,2018-08-16,2018-09-21,1513.0,Critical,14,8,On Progress,27,7,0,0,31.818181818181817,2018-08-16 00:00:00,2018-09-25
2018-09-04,2977,itself,2018-08-15,2018-09-24,1375.0,Critical,13,8,On Progress,29,7,0,0,30.434782608695656,2018-08-15 00:00:00,2018-09-27
2018-09-04,3361,area,2018-08-13,2018-09-04,1325.0,Critical,15,10,On Progress,17,3,0,0,30.434782608695656,2018-08-13 00:00:00,2018-09-07
2018-09-04,3527,when,2018-08-28,2018-08-30,814.0,Critical,3,10,Completed,3,3,1,0,21.73913043478261,2018-08-31 00:00:00,2018-09-04
2018-09-04,3528,else,2018-08-31,2018-09-05,632.0,Normal,0,10,On Progress,4,1,2,0,14.285714285714285,2018-09-04 00:00:00,2018-09-10
2018-09-04,3691,reality,2018-08-16,2018-08-31,1767.0,Critical,12,10,Completed,12,7,0,0,31.818181818181817,2018-08-16 00:00:00,2018-09-04
2018-09-04,3692,billion,2018-08-31,2018-09-04,747.0,Normal,1,10,On Progress,3,2,1,0,14.285714285714285,2018-09-04 00:00:00,2018-09-10
2018-09-05,1411,section,2018-08-13,2018-09-14,1359.0,Critical,20,4,On Progress,29,7,0,0,25.925925925925924,2018-08-13 00:00:00,2018-09-15
2018-09-05,1553,price,2018-08-29,2018-09-05,352.0,Normal,5,4,On Progress,7,1,2,0,18.51851851851852,2018-08-29 00:00:00,2018-09-07
2018-09-05,1692,subject,2018-09-02,2018-09-10,954.0,Normal,2,4,On Progress,8,1,1,0,7.6923076923076925,2018-09-04 00:00:00,2018-09-13
2018-09-05,2701,marriage,2018-08-13,2018-09-06,2173.0,Critical,14,8,On Progress,19,6,0,0,30.434782608695656,2018-08-13 00:00:00,2018-09-12
2018-09-05,2839,name,2018-08-16,2018-09-21,1513.0,Critical,14,8,On Progress,27,7,0,0,31.818181818181817,2018-08-16 00:00:00,2018-09-25
2018-09-05,2977,itself,2018-08-15,2018-09-24,1375.0,Critical,14,8,On Progress,29,7,0,0,30.434782608695656,2018-08-15 00:00:00,2018-09-27
2018-09-05,3361,area,2018-08-13,2018-09-04,1325.0,Critical,16,10,Delayed,17,3,0,0,30.434782608695656,2018-08-13 00:00:00,2018-09-07
2018-09-05,3528,else,2018-08-31,2018-09-05,632.0,Normal,1,10,On Progress,4,1,2,0,14.285714285714285,2018-09-04 00:00:00,2018-09-10
2018-09-05,3692,billion,2018-08-31,2018-09-04,747.0,Critical,2,10,Delayed,3,2,1,0,14.285714285714285,2018-09-04 00:00:00,2018-09-10
2018-09-06,1411,section,2018-08-13,2018-09-14,1359.0,Critical,21,4,On Progress,29,7,0,1,25.925925925925924,2018-08-13 00:00:00,2018-09-15
2018-09-06,1553,price,2018-08-29,2018-09-05,352.0,Critical,6,4,Delayed,7,1,2,1,18.51851851851852,2018-08-29 00:00:00,2018-09-07
2018-09-06,1692,subject,2018-09-02,2018-09-10,954.0,Normal,3,4,On Progress,8,1,1,1,7.6923076923076925,2018-09-04 00:00:00,2018-09-13
2018-09-06,2701,marriage,2018-08-13,2018-09-06,2173.0,Critical,15,8,On Progress,19,6,0,1,30.434782608695656,2018-08-13 00:00:00,2018-09-12
